trial,plan iters,plan time,best cost
0,360,2.5575168132781982,0.02143065248800112
0,380,2.733337163925171,0.021335326158800065
0,390,2.957972288131714,0.021111850846295
0,580,4.667633056640625,0.021055825258773704
0,17240,120,0.021055825258773704
1,18310,120,inf
2,18960,120,inf
3,4670,31.205444812774658,0.04205157508492147
3,8120,56.8133111000061,0.041819924341493266
3,9630,68.18703699111938,0.03172827089432033
3,16070,120,0.03172827089432033
4,450,3.1531996726989746,0.021287435359538795
4,540,4.0946784019470215,0.021238590263774514
4,650,5.13473916053772,0.02122372735428872
4,7000,50.59413552284241,0.02122022368763095
4,17520,120,0.02122022368763095
5,290,2.3715755939483643,2.8023473345305647
5,980,7.853190898895264,2.8022301130896405
5,2260,16.567598342895508,2.8020906530616765
