data_id,trial,plan iters,plan time,best cost
0,0,5290,20,1e-05
1,0,4610,20,1e-05
2,0,3560,20,1e-05
3,0,2680,20,1e-05
4,0,2140,20,1e-05
5,0,1670,20,1e-05
6,0,1460,20,0.008825815279726187
7,0,1110,20,0.05534139950804136
8,0,970,20,0.026463605801609467
9,0,760,20,0.23666162134837743
10,0,700,20,1.06533759792658
11,0,630,20,0.140634073480391
12,0,660,20,0.9356925337133251
13,0,600,20,1.3734358953205001
14,0,500,20,1.8404799356814143
15,0,490,20,inf
16,0,440,20,inf
17,0,360,20,inf
18,0,360,20,1.1106869811012947
19,0,350,20,inf
