n_episode,n_iteration,n_sample,n_horizon,xo,yo,vxo,vyo,xg,yg,thetag,vxg,vyg,omegag
0,0,0,0,1.0236332416534424,4.702088832855225,0.0011420216178521514,-0.2462615966796875,1.0122747421264648,5.112055778503418,-0.0020964997820556164,-0.14621029794216156,-0.2468520551919937,-0.028510550037026405
0,0,0,1,1.0241771936416626,4.662959098815918,0.0066946581937372684,-0.26826179027557373,0.9800481796264648,5.071008682250977,-0.005170711316168308,-0.27901211380958557,-0.2996984124183655,-0.0163442250341177
0,0,0,2,1.0258976221084595,4.614562511444092,0.01643848791718483,-0.34234553575515747,0.9372812509536743,5.02154016494751,-0.007641559466719627,-0.29027900099754333,-0.3614357113838196,-0.021179907023906708
0,0,0,3,1.0292718410491943,4.574845314025879,0.028878239914774895,-0.14584705233573914,0.9038318991661072,4.982519149780273,-0.012969153001904488,-0.15822859108448029,-0.1687639206647873,-0.05043947324156761
0,0,0,4,1.0355082750320435,4.553457260131836,0.057509128004312515,-0.13131994009017944,0.887927770614624,4.958649635314941,-0.030865903943777084,-0.0524832122027874,-0.15052253007888794,-0.18570785224437714
0,0,0,5,1.0482803583145142,4.541626453399658,0.11954928189516068,-0.04043510928750038,0.8799755573272705,4.941381931304932,-0.06386572867631912,-0.04615072160959244,-0.08043994009494781,-0.2539055645465851
0,0,0,6,1.0751800537109375,4.530012130737305,0.24652937054634094,-0.12121693789958954,0.8852023482322693,4.921901702880859,-0.105757936835289,0.12204714119434357,-0.17451493442058563,-0.3046800196170807
0,0,0,7,1.1276957988739014,4.49393367767334,0.4651777744293213,-0.35197314620018005,0.9148910641670227,4.874657154083252,-0.16143441200256348,0.2851720154285431,-0.4462878406047821,-0.4339798092842102
0,0,0,8,1.2140100002288818,4.4627156257629395,0.696071445941925,-0.07213159650564194,0.9686616659164429,4.825030326843262,-0.23727497458457947,0.44286754727363586,-0.2194104790687561,-0.5738047957420349
0,0,0,9,1.348403811454773,4.451733112335205,1.1078426837921143,-0.07176069915294647,1.07004976272583,4.788745880126953,-0.3360881507396698,0.9204867482185364,-0.2551124393939972,-0.7396347522735596
0,0,0,10,1.552890658378601,4.45612907409668,1.629337191581726,0.13685725629329681,1.2436985969543457,4.7607293128967285,-0.4585058391094208,1.4083600044250488,-0.1126210168004036,-0.8873873353004456
0,0,0,11,1.8512481451034546,4.491407871246338,2.3596596717834473,0.3433972895145416,1.513785719871521,4.757290363311768,-0.5999645590782166,2.2007291316986084,0.0802355706691742,-0.9942491054534912
0,0,0,12,2.276550531387329,4.5617876052856445,3.3142547607421875,0.6139805912971497,1.9143320322036743,4.783651351928711,-0.7565613985061646,3.1466431617736816,0.28992578387260437,-1.0889390707015991
0,0,0,13,2.8462698459625244,4.698091506958008,4.285302639007568,1.2097185850143433,2.4626173973083496,4.869356155395508,-0.9282498955726624,4.1606950759887695,0.8662773966789246,-1.1959282159805298
0,0,0,14,3.57552170753479,4.935876369476318,5.441467761993408,1.9675700664520264,3.1785411834716797,5.056856155395508,-1.1134107112884521,5.371169567108154,1.6500639915466309,-1.2688122987747192
0,1,0,0,1.0230580568313599,4.7164626121521,-0.005712723825126886,-0.06974714249372482,0.9850895404815674,5.126500606536865,0.003125408198684454,-0.29042118787765503,-0.08673213422298431,-0.013119138777256012
