data_id,trial,plan_iters,plan_time,best_cost,success_metric,maneuverability_metric
0,0,3460,60,inf,1.0,1.0
1,0,3480,60,inf,0.43076923074623985,0.43076923074623985
2,0,2920,60,inf,0.311873881748301,0.311873881748301
3,0,3610,60,inf,0.41998504383867274,0.41998504383867274
4,0,3620,60,inf,0.408442976668127,0.408442976668127
5,0,3460,60,inf,0.43592842190913694,0.43592842190913694
6,0,3620,60,inf,0.4014765981976067,0.4014765981976067
7,0,2760,60,inf,1.0,1.0
8,0,2660,60,inf,0.3197882030834839,0.3197882030834839
9,0,2560,60,inf,0.14586385406781754,0.14586385406781754
10,0,2710,60,inf,0.1343127268256712,0.1343127268256712
11,0,480,60,inf,1.0,1.0
12,0,490,60,inf,1.0,1.0
13,0,500,60,inf,1.0,1.0
14,0,520,60,inf,1.0,1.0
15,0,550,60,inf,1.0,1.0
16,0,3370,60,inf,0.00032505654156089747,0.00032505654156089747
17,0,3610,60,inf,0.0003309500531334386,0.0003309500531334386
18,0,3960,60,inf,0.0003570457054820064,0.0003570457054820064
19,0,3680,60,inf,0.00032125075582056795,0.00032125075582056795
data_id,trial,plan_iters,plan_time,best_cost,success_metric,maneuverability_metric
0,0,3490,60,inf,1.0,1.0
1,0,3580,60,inf,0.3581134313017733,0.3581134313017733
2,0,3720,60,inf,0.3807205075243214,0.3807205075243214
3,0,3600,60,inf,0.3614357804377767,0.3614357804377767
4,0,3490,60,inf,0.3193190402644631,0.3193190402644631
5,0,3460,60,inf,0.4016932997142951,0.4016932997142951
6,0,1370,60,inf,0.4552116193403385,0.4552116193403385
7,0,2800,60,inf,1.0,1.0
8,0,3740,60,inf,0.35033029910794167,0.35033029910794167
9,0,3660,60,inf,0.37856034012511064,0.37856034012511064
10,0,3360,60,inf,1.0,1.0
11,0,3290,60,inf,1.0,1.0
12,0,3090,60,inf,1.0,1.0
13,0,4090,60,inf,1.0,1.0
14,0,3740,60,inf,0.3233543893902162,0.3233543893902162
15,0,3160,60,inf,1.0,1.0
16,0,3590,60,inf,0.3865982791860516,0.3865982791860516
17,0,460,60,inf,1.0,1.0
18,0,460,60,inf,1.0,1.0
19,0,440,60,inf,1.0,1.0
