data_id,trial,plan_iters,plan_time,best_cost,success_metric,maneuverability_metric
0,0,6740,60,inf,1.0,1.0
1,0,8490,60,0.02986466379015598,0.6561008561680723,0.6561008561680723
2,0,9840,60,0.0014055156725679625,0.7016662810611529,0.7016662810611529
3,0,8860,60,0.009805772226259113,0.7305072398725113,0.7305072398725113
4,0,10130,60,0.004399229659668427,0.8642320743989957,0.8642320743989957
5,0,14130,60,0.013608725997338509,0.2612606602744003,0.2612606602744003
6,0,9170,60,0.02084187587001825,0.7960069970796744,0.7960069970796744
7,0,8490,60,0.042162546286411876,0.6732707279834533,0.6732707279834533
8,0,12990,60,0.0003272701854052844,0.8062017635533332,0.8062017635533332
9,0,14200,60,0.00038561772721189833,0.5197460649274745,0.5197460649274745
10,0,12970,60,4.8629796062839005e-05,0.29430386916582385,0.29430386916582385
11,0,13200,60,3.605408239115704e-05,0.2666001941523636,0.2666001941523636
12,0,11880,60,1e-05,0.17651809792792494,0.17651809792792494
13,0,12840,60,4.7039653006210325e-05,0.08120821915762866,0.08120821915762866
14,0,14590,60,1.3826963983453594e-05,0.05543664842211593,0.05543664842211593
15,0,15250,60,2.7313237673340374e-05,0.017840719042295783,0.017840719042295783
16,0,13220,60,2.687694248854934e-05,0.0017505476230725847,0.0017505476230725847
17,0,11720,60,2.2257238179945737e-05,0.0,0.0
18,0,12620,60,1e-05,0.0,0.0
19,0,12590,60,1e-05,0.0,0.0
data_id,trial,plan_iters,plan_time,best_cost,success_metric,maneuverability_metric
0,0,6420,60,inf,1.0,1.0
1,0,10980,60,0.0014170988288513978,0.6503798869379575,0.6503798869379575
2,0,9820,60,0.004915570841801768,0.7871099995815164,0.7871099995815164
3,0,13680,60,0.017407958862142053,0.29095377435518144,0.29095377435518144
4,0,14790,60,0.008518099545968386,0.5615290456815909,0.5615290456815909
5,0,9030,60,0.0037700237263700504,0.8999252951327449,0.8999252951327449
6,0,8860,60,0.0031240796596198354,0.9928009944842349,0.9928009944842349
7,0,6810,60,0.056959898498252684,0.8504912945221488,0.8504912945221488
8,0,9270,60,0.009104023859581372,0.7543030732614087,0.7543030732614087
9,0,9040,60,0.00847544009089262,0.6977660504518326,0.6977660504518326
10,0,9890,60,0.026244273782387396,0.8562249949335835,0.8562249949335835
11,0,7720,60,0.03500663480565822,0.9988834233286263,0.9988834233286263
12,0,8410,60,0.04034515102634418,0.7969642908147557,0.7969642908147557
13,0,6720,60,0.03345473487087948,0.8089800199255639,0.8089800199255639
14,0,9350,60,0.017379760507369585,0.7081372998357052,0.7081372998357052
15,0,8020,60,0.03034719971112136,0.8533791805691062,0.8533791805691062
16,0,9080,60,0.010874353560671547,0.6065359121775766,0.6065359121775766
17,0,12920,60,0.0009105449791720968,0.686386802986487,0.686386802986487
18,0,11590,60,0.00033114381791907177,0.5564637022189448,0.5564637022189448
19,0,12620,60,0.00046995466465999075,0.5607328876560804,0.5607328876560804
