data_id,trial,plan_iters,plan_time,best_cost,success_metric,maneuverability_metric
0,0,5540,60,inf,1.0,1.0
1,0,5910,60,inf,0.27099039058804175,0.27099039058804175
2,0,5960,60,inf,0.2781480404188148,0.2781480404188148
3,0,5730,60,inf,0.2396695009941453,0.2396695009941453
4,0,5740,60,inf,0.2349656812280968,0.2349656812280968
5,0,6000,60,inf,0.06638509119566038,0.06638509119566038
6,0,5700,60,inf,0.3036118673462983,0.3036118673462983
7,0,5750,60,inf,0.3258338307314903,0.3258338307314903
8,0,5690,60,inf,0.2690322772889223,0.2690322772889223
9,0,5900,60,inf,0.23978471500089038,0.23978471500089038
10,0,5650,60,inf,0.06955751162013302,0.06955751162013302
11,0,5720,60,inf,0.02102078880031011,0.02102078880031011
12,0,6020,60,inf,0.014445859118360493,0.014445859118360493
13,0,5760,60,inf,0.007164595628807446,0.007164595628807446
14,0,5760,60,inf,0.007752240879323469,0.007752240879323469
15,0,5650,60,inf,0.005254178746914362,0.005254178746914362
16,0,5550,60,inf,0.0002475133669543883,0.0002475133669543883
17,0,5650,60,inf,0.0,0.0
18,0,5680,60,inf,0.0,0.0
19,0,5600,60,inf,0.0,0.0
data_id,trial,plan_iters,plan_time,best_cost,success_metric,maneuverability_metric
0,0,5730,60,inf,1.0,1.0
1,0,5750,60,inf,0.2517267391817414,0.2517267391817414
2,0,5840,60,inf,0.23089612397488057,0.23089612397488057
3,0,5910,60,inf,0.08614665076453021,0.08614665076453021
4,0,5970,60,inf,0.06697634243722894,0.06697634243722894
5,0,5760,60,inf,0.33494216647884334,0.33494216647884334
6,0,5680,60,inf,0.32915521112232793,0.32915521112232793
7,0,5810,60,inf,0.8863650026925106,0.8863650026925106
8,0,5930,60,inf,0.25768833861236284,0.25768833861236284
9,0,5670,60,inf,0.23706794423856736,0.23706794423856736
10,0,5870,60,inf,0.2685518612483826,0.2685518612483826
11,0,5690,60,inf,0.44854257386588625,0.44854257386588625
12,0,5830,60,inf,0.5609395836944058,0.5609395836944058
13,0,5760,60,inf,0.4877589096261522,0.4877589096261522
14,0,5940,60,inf,0.2894267582875363,0.2894267582875363
15,0,5790,60,inf,0.48142934591850417,0.48142934591850417
16,0,5720,60,inf,0.27580080840856513,0.27580080840856513
17,0,5830,60,inf,0.30135874848866673,0.30135874848866673
18,0,5780,60,inf,0.2679505873223086,0.2679505873223086
19,0,5640,60,inf,0.14661927362300164,0.14661927362300164
