data_id,trial,plan_iters,plan_time,best_cost,success_metric,maneuverability_metric
0,0,6450,20,0.010269338977233087,1.0,1.0
data_id,trial,plan_iters,plan_time,best_cost,success_metric,maneuverability_metric
0,0,7360,20,0.0005797275460360839,1.0,1.0
data_id,trial,plan_iters,plan_time,best_cost,success_metric,maneuverability_metric
0,0,9600,20,0.011593664359984367,1.0,1.0
data_id,trial,plan_iters,plan_time,best_cost,success_metric,maneuverability_metric
0,0,9010,20,0.002818597051308269,1.0,1.0
data_id,trial,plan_iters,plan_time,best_cost,success_metric,maneuverability_metric
0,0,8650,20,1.0017295530739823e-05,0.5000075129716475,0.5000075129716475
data_id,trial,plan_iters,plan_time,best_cost,success_metric,maneuverability_metric
0,0,8330,20,6.967103930122232e-05,1.0,1.0
data_id,trial,plan_iters,plan_time,best_cost,success_metric,maneuverability_metric
0,0,7500,20,0.0011397718738768714,1.0,1.0
data_id,trial,plan_iters,plan_time,best_cost,success_metric,maneuverability_metric
0,0,5630,20,0.0005351798893734605,0.0,0.0
data_id,trial,plan_iters,plan_time,best_cost,success_metric,maneuverability_metric
0,0,5170,20,0.0010709599267212933,0.0,0.0
data_id,trial,plan_iters,plan_time,best_cost,success_metric,maneuverability_metric
0,0,3870,20,1e-05,0.0,0.0
1,0,5180,20,0.08088423611856606,0.999558507684302,0.999558507684302
1,0,4300,20,0.36979220681275593,1.0,1.0
1,0,4460,20,0.3501077357660193,1.0,1.0
1,0,8190,20,0.003343042914613445,0.96012225357223,0.96012225357223
1,0,7820,20,0.0001624784492962883,0.6667423092710036,0.6667423092710036
1,0,9470,20,0.00031186005334948863,0.7500688459901632,0.7500688459901632
1,0,10890,20,9.317086290888676e-05,1.0,1.0
1,0,10940,20,4.365506475254022e-05,1.0,1.0
1,0,7080,20,0.0009015273187448075,0.0,0.0
1,0,5290,20,0.00023887356590752973,0.0,0.0
2,0,4500,20,0.03593420622273813,1.0,1.0
2,0,5660,20,0.0284755161081115,1.0,1.0
2,0,6150,20,0.011135194776063733,0.9944821771084215,0.9944821771084215
2,0,6340,20,0.009196412851427043,1.0,1.0
2,0,6540,20,0.012547243919160237,1.0,1.0
2,0,7140,20,0.007312699206869506,1.0,1.0
2,0,5310,20,0.01768367936876262,1.0,1.0
2,0,4170,20,0.09461167080705485,0.9993906024357601,0.9993906024357601
2,0,4430,20,0.1772318443071143,0.998913070922908,0.998913070922908
2,0,4540,20,0.11021412166548908,1.0,1.0
3,0,6480,20,0.004692629172865248,1.0,1.0
3,0,7090,20,0.010390271250495398,1.0,1.0
3,0,4510,20,0.03802929356439277,1.0,1.0
3,0,7550,20,0.014819218000078885,1.0,1.0
3,0,8270,20,0.004950361927689696,1.0,1.0
3,0,8190,20,0.002330493943646468,1.0,1.0
3,0,5040,20,0.0011195470275848869,1.0,1.0
3,0,5830,20,0.02770132256413947,0.9951967923007514,0.9951967923007514
3,0,5840,20,0.02402030409415336,0.9988281851772358,0.9988281851772358
3,0,7570,20,0.0010414104944422365,1.0,1.0
4,0,4980,20,0.021301890316801516,0.9988354947097422,0.9988354947097422
4,0,5250,20,0.044844201136981586,0.9992130539734775,0.9992130539734775
4,0,4510,20,0.07998512944010536,1.0,1.0
4,0,4680,20,0.08626101809826897,1.0,1.0
4,0,7390,20,0.001815795307247606,1.0,1.0
4,0,4200,20,0.029141818010135833,1.0,1.0
4,0,7550,20,0.005878057306180679,1.0,1.0
4,0,8430,20,0.0006548698765616,1.0,1.0
4,0,8280,20,0.0034883508223124415,0.950160805193875,0.950160805193875
4,0,10170,20,0.0026300196182219016,1.0,1.0
5,0,5450,20,0.017512432181601627,1.0,1.0
5,0,5420,20,0.022439681398494917,0.9975995099681559,0.9975995099681559
5,0,6410,20,0.0031206333564580933,1.0,1.0
5,0,8140,20,0.0010425244006692404,0.8335778858098276,0.8335778858098276
