data_id,trial,plan_iters,plan_time,best_cost,success_metric,maneuverability_metric
0,0,4710,20,inf,0.45779477818599,0.45779477818599
data_id,trial,plan_iters,plan_time,best_cost,success_metric,maneuverability_metric
0,0,4430,20,inf,0.5551611004805026,0.5551611004805026
data_id,trial,plan_iters,plan_time,best_cost,success_metric,maneuverability_metric
0,0,4500,20,inf,0.42476435063451934,0.42476435063451934
data_id,trial,plan_iters,plan_time,best_cost,success_metric,maneuverability_metric
0,0,4150,20,inf,0.45153516960507567,0.45153516960507567
data_id,trial,plan_iters,plan_time,best_cost,success_metric,maneuverability_metric
0,0,4650,20,inf,0.16170303093920368,0.16170303093920368
data_id,trial,plan_iters,plan_time,best_cost,success_metric,maneuverability_metric
0,0,4700,20,inf,0.047253059244318774,0.047253059244318774
data_id,trial,plan_iters,plan_time,best_cost,success_metric,maneuverability_metric
0,0,4250,20,inf,0.00785243915147249,0.00785243915147249
data_id,trial,plan_iters,plan_time,best_cost,success_metric,maneuverability_metric
0,0,4130,20,inf,0.0,0.0
data_id,trial,plan_iters,plan_time,best_cost,success_metric,maneuverability_metric
0,0,3840,20,inf,0.0,0.0
data_id,trial,plan_iters,plan_time,best_cost,success_metric,maneuverability_metric
0,0,3180,20,inf,0.0,0.0
1,0,4750,20,inf,0.8588739927740378,0.8588739927740378
1,0,4410,20,inf,0.946744301089748,0.946744301089748
1,0,4370,20,inf,0.9533689418259699,0.9533689418259699
1,0,4730,20,inf,0.42403263162882265,0.42403263162882265
1,0,4790,20,inf,0.4060842856182383,0.4060842856182383
1,0,4770,20,inf,0.26298103346374124,0.26298103346374124
1,0,4830,20,inf,0.11097313925225583,0.11097313925225583
1,0,4490,20,inf,0.00779017861688569,0.00779017861688569
1,0,4340,20,inf,0.0,0.0
1,0,4080,20,inf,0.0,0.0
2,0,4560,20,inf,0.8529693408504953,0.8529693408504953
2,0,4600,20,inf,0.7692811452806214,0.7692811452806214
2,0,4940,20,inf,0.7343321215443364,0.7343321215443364
2,0,4830,20,inf,0.7717049578906858,0.7717049578906858
2,0,4810,20,inf,0.7808156125723245,0.7808156125723245
2,0,4650,20,inf,0.8317282228113347,0.8317282228113347
2,0,4430,20,inf,0.7693872696780629,0.7693872696780629
2,0,4390,20,inf,0.861443083667677,0.861443083667677
2,0,4460,20,inf,0.8872972564804299,0.8872972564804299
2,0,4410,20,inf,0.879707701517005,0.879707701517005
3,0,4650,20,inf,0.37032942398841584,0.37032942398841584
3,0,4630,20,inf,0.5462629553771512,0.5462629553771512
3,0,4430,20,inf,0.9454527440384437,0.9454527440384437
3,0,4610,20,inf,0.728142281795294,0.728142281795294
3,0,4920,20,inf,0.7615879175505361,0.7615879175505361
3,0,4440,20,inf,0.37892818078708446,0.37892818078708446
3,0,4850,20,inf,0.5819608922828805,0.5819608922828805
3,0,4810,20,inf,0.5709996422982627,0.5709996422982627
3,0,4780,20,inf,0.5583651276297744,0.5583651276297744
3,0,4730,20,inf,0.39850271732264964,0.39850271732264964
4,0,4680,20,inf,0.7296115902328426,0.7296115902328426
4,0,4730,20,inf,0.7442551617925468,0.7442551617925468
4,0,4340,20,inf,0.9107311565017131,0.9107311565017131
4,0,4730,20,inf,0.8179415887941686,0.8179415887941686
4,0,4670,20,inf,0.5283301423472502,0.5283301423472502
4,0,4580,20,inf,0.8119728925948211,0.8119728925948211
4,0,4770,20,inf,0.5535377716859456,0.5535377716859456
4,0,4790,20,inf,0.4200983382641129,0.4200983382641129
4,0,4530,20,inf,0.5975534785383928,0.5975534785383928
4,0,4760,20,inf,0.16327125023950217,0.16327125023950217
5,0,4630,20,inf,0.6973726844111926,0.6973726844111926
5,0,4640,20,inf,0.7075231530641497,0.7075231530641497
5,0,4650,20,inf,0.4501967143282921,0.4501967143282921
5,0,4760,20,inf,0.3337214877316297,0.3337214877316297
5,0,4470,20,inf,0.17682255815533376,0.17682255815533376
5,0,4620,20,inf,0.05586212388913414,0.05586212388913414
5,0,3600,20,inf,0.00800602291915542,0.00800602291915542
5,0,3450,20,inf,0.0,0.0
5,0,3270,20,inf,0.0,0.0
5,0,13190,20,inf,0.0,0.0
6,0,4770,20,inf,0.6798152417081998,0.6798152417081998
6,0,4730,20,inf,0.672685637128419,0.672685637128419
6,0,4520,20,inf,0.4338559989285574,0.4338559989285574
6,0,4340,20,inf,0.23343632415732596,0.23343632415732596
6,0,4520,20,inf,0.1359386029202695,0.1359386029202695
6,0,4550,20,inf,0.03760295713031747,0.03760295713031747
6,0,4130,20,inf,0.0038525462334996208,0.0038525462334996208
6,0,3380,20,inf,0.0,0.0
6,0,3130,20,inf,0.0,0.0
6,0,13440,20,inf,0.0,0.0
7,0,4720,20,inf,0.8790644822951739,0.8790644822951739
7,0,4270,20,inf,0.9672548426518672,0.9672548426518672
7,0,4390,20,inf,0.9350442792183377,0.9350442792183377
7,0,4400,20,inf,0.9536784838995227,0.9536784838995227
7,0,4390,20,inf,0.9660981279937634,0.9660981279937634
7,0,4540,20,inf,0.9331112868164999,0.9331112868164999
7,0,4620,20,inf,0.9009876467292811,0.9009876467292811
7,0,4780,20,inf,0.7930160086061675,0.7930160086061675
7,0,4850,20,inf,0.6737246755473705,0.6737246755473705
7,0,4590,20,inf,0.7011419082573411,0.7011419082573411
8,0,4640,20,inf,0.782768088049206,0.782768088049206
8,0,4540,20,inf,0.8324467574352665,0.8324467574352665
8,0,4700,20,inf,0.8180333982422825,0.8180333982422825
8,0,4380,20,inf,0.8798690503781654,0.8798690503781654
8,0,4480,20,inf,0.901647255647482,0.901647255647482
8,0,4230,20,inf,0.5712332591284344,0.5712332591284344
8,0,4740,20,inf,0.7377866988263155,0.7377866988263155
8,0,4750,20,inf,0.4240945548162419,0.4240945548162419
8,0,4360,20,inf,0.1379168747190307,0.1379168747190307
8,0,3920,20,inf,0.017812943080039223,0.017812943080039223
9,0,4710,20,inf,0.603035927852207,0.603035927852207
9,0,4870,20,inf,0.6796956857664231,0.6796956857664231
9,0,4190,20,inf,0.42764377834474776,0.42764377834474776
9,0,4140,20,inf,0.3493168746447507,0.3493168746447507
9,0,4150,20,inf,0.09442004583415531,0.09442004583415531
9,0,4450,20,inf,0.04634410629389285,0.04634410629389285
9,0,3910,20,inf,0.009200517916372997,0.009200517916372997
9,0,3710,20,inf,0.0018908442432494788,0.0018908442432494788
9,0,3480,20,inf,0.0013327100603017783,0.0013327100603017783
9,0,3120,20,inf,0.0009124419507686721,0.0009124419507686721
10,0,4620,20,inf,0.8479525491748693,0.8479525491748693
10,0,4360,20,inf,0.9735186427731866,0.9735186427731866
10,0,4270,20,inf,0.9812296359041415,0.9812296359041415
10,0,4510,20,inf,0.9407853983416496,0.9407853983416496
10,0,4410,20,inf,0.9413786263306404,0.9413786263306404
10,0,4380,20,inf,0.9485705342655915,0.9485705342655915
10,0,4440,20,inf,0.9341353983849799,0.9341353983849799
10,0,4330,20,inf,0.9268586295396224,0.9268586295396224
10,0,4680,20,inf,0.4057139408177761,0.4057139408177761
10,0,4650,20,inf,0.49076452704030304,0.49076452704030304
11,0,4410,20,inf,0.9653896326032486,0.9653896326032486
11,0,4680,20,inf,0.9287436021330205,0.9287436021330205
11,0,4400,20,inf,0.2128344002405259,0.2128344002405259
11,0,4780,20,inf,0.37666297110583735,0.37666297110583735
11,0,4790,20,inf,0.2821895840433053,0.2821895840433053
11,0,4430,20,inf,0.1289507053386033,0.1289507053386033
11,0,4300,20,inf,0.06637296173633211,0.06637296173633211
11,0,4090,20,inf,0.00870066493645616,0.00870066493645616
11,0,3830,20,inf,0.0,0.0
