data_id,trial,plan_iters,plan_time,best_cost,success_metric,maneuverability_metric
0,0,3870,25,inf,0.8870637345294619,0.8870637345294619
0,0,3780,25,inf,0.9824362159879516,0.9824362159879516
0,0,3800,25,inf,0.9889162158843376,0.9889162158843376
0,0,3880,25,inf,0.5599233150650436,0.5599233150650436
0,0,3780,25,inf,0.33388951590790183,0.33388951590790183
0,0,3730,25,inf,0.1525558312017652,0.1525558312017652
0,0,3710,25,inf,0.020165213960486428,0.020165213960486428
0,0,3440,25,inf,0.0,0.0
0,0,3530,25,inf,0.0,0.0
0,0,3510,25,inf,0.0,0.0
1,0,3740,25,inf,0.9441116582454503,0.9441116582454503
1,0,3720,25,inf,0.9152638090284017,0.9152638090284017
1,0,3860,25,inf,0.9616765597007825,0.9616765597007825
1,0,3890,25,inf,0.8717298885259112,0.8717298885259112
1,0,3870,25,inf,0.8193057683239131,0.8193057683239131
1,0,3820,25,inf,0.47635979665680295,0.47635979665680295
1,0,3910,25,inf,0.25007959385036427,0.25007959385036427
1,0,3830,25,inf,0.03922967943984823,0.03922967943984823
1,0,3620,25,inf,0.0,0.0
1,0,3650,25,inf,0.0,0.0
2,0,3730,25,inf,0.9519426975688229,0.9519426975688229
2,0,3790,25,inf,0.9381335335697178,0.9381335335697178
2,0,3770,25,inf,0.9603569765670393,0.9603569765670393
2,0,3900,25,inf,0.7976930762120563,0.7976930762120563
2,0,3890,25,inf,0.9154566143330165,0.9154566143330165
2,0,3990,25,inf,0.7788749716049407,0.7788749716049407
2,0,3810,25,inf,0.820364396606249,0.820364396606249
2,0,3810,25,inf,0.8771716264131555,0.8771716264131555
2,0,3790,25,inf,0.8705229229132977,0.8705229229132977
2,0,3890,25,inf,0.9181661008456068,0.9181661008456068
3,0,3710,25,inf,0.8178550637004427,0.8178550637004427
3,0,3740,25,inf,0.946503386998227,0.946503386998227
3,0,3890,25,inf,0.9637046348959858,0.9637046348959858
3,0,3680,25,inf,0.964560714876829,0.964560714876829
3,0,3860,25,inf,0.9729914474062278,0.9729914474062278
3,0,3750,25,inf,0.7802356961034095,0.7802356961034095
3,0,3840,25,inf,0.9070628464983761,0.9070628464983761
3,0,3820,25,inf,0.9132349641424191,0.9132349641424191
3,0,3830,25,inf,0.8997249794957433,0.8997249794957433
3,0,3750,25,inf,0.8927493453743315,0.8927493453743315
4,0,3740,25,inf,0.9394998389575033,0.9394998389575033
4,0,3780,25,inf,0.9375714681116636,0.9375714681116636
4,0,3770,25,inf,0.8462309552692403,0.8462309552692403
4,0,3870,25,inf,0.9250116167139713,0.9250116167139713
4,0,3790,25,inf,0.9128545051626912,0.9128545051626912
4,0,3850,25,inf,0.7385301352091499,0.7385301352091499
4,0,3700,25,inf,0.8714078647737202,0.8714078647737202
4,0,3860,25,inf,0.7414094963300406,0.7414094963300406
4,0,3870,25,inf,0.8019221326087638,0.8019221326087638
4,0,3940,25,inf,0.3288547060103678,0.3288547060103678
5,0,3780,25,inf,0.9105494299381196,0.9105494299381196
5,0,3720,25,inf,0.9023917959183961,0.9023917959183961
5,0,3710,25,inf,0.8675353258763389,0.8675353258763389
5,0,3710,25,inf,0.7083625117747006,0.7083625117747006
5,0,3740,25,inf,0.27960284692902826,0.27960284692902826
5,0,3850,25,inf,0.17957383324929765,0.17957383324929765
5,0,3580,25,inf,0.01113970625772509,0.01113970625772509
5,0,3680,25,inf,0.0,0.0
5,0,3490,25,inf,0.0,0.0
5,0,3510,25,inf,0.0,0.0
6,0,3910,25,inf,0.8983138903227056,0.8983138903227056
6,0,3760,25,inf,0.8943900391974225,0.8943900391974225
6,0,3840,25,inf,0.8143153900980942,0.8143153900980942
6,0,3920,25,inf,0.47468888597518355,0.47468888597518355
6,0,3680,25,inf,0.25176630645541487,0.25176630645541487
6,0,3770,25,inf,0.1006879705665108,0.1006879705665108
6,0,3750,25,inf,0.007481128472717757,0.007481128472717757
6,0,3590,25,inf,0.0,0.0
6,0,3720,25,inf,0.0,0.0
6,0,3180,25,inf,0.0,0.0
7,0,3820,25,inf,0.9853653254860123,0.9853653254860123
7,0,3860,25,inf,0.9051173131059473,0.9051173131059473
7,0,3870,25,inf,0.8467865758147006,0.8467865758147006
7,0,3790,25,inf,0.90957919592174,0.90957919592174
7,0,3800,25,inf,0.8556005717674656,0.8556005717674656
7,0,3880,25,inf,0.9558877467786374,0.9558877467786374
7,0,3920,25,inf,0.9756068671023685,0.9756068671023685
7,0,3810,25,inf,0.97509216616483,0.97509216616483
7,0,3810,25,inf,0.9648256928146322,0.9648256928146322
7,0,3830,25,inf,0.9533926117169751,0.9533926117169751
8,0,3800,25,inf,0.9672974193227946,0.9672974193227946
8,0,3790,25,inf,0.9070123896131767,0.9070123896131767
8,0,3720,25,inf,0.9687291509851342,0.9687291509851342
8,0,3810,25,inf,0.9664140217644939,0.9664140217644939
8,0,3820,25,inf,0.9626697947210306,0.9626697947210306
8,0,3810,25,inf,0.9569075384343367,0.9569075384343367
8,0,3810,25,inf,0.9114043124713607,0.9114043124713607
8,0,3760,25,inf,0.7704119494318669,0.7704119494318669
8,0,3810,25,inf,0.24791044406836682,0.24791044406836682
8,0,3760,25,inf,0.12866861741038615,0.12866861741038615
9,0,3800,25,inf,0.9681548943054284,0.9681548943054284
9,0,3740,25,inf,0.9119141501865271,0.9119141501865271
9,0,3840,25,inf,0.9061473453528723,0.9061473453528723
9,0,3800,25,inf,0.9420393984415231,0.9420393984415231
9,0,3830,25,inf,0.7094225320310945,0.7094225320310945
9,0,3680,25,inf,0.6611399696563505,0.6611399696563505
9,0,3560,25,inf,0.6201958214822882,0.6201958214822882
9,0,3690,25,inf,0.2157249320069008,0.2157249320069008
9,0,3550,25,inf,0.007474827139738238,0.007474827139738238
9,0,3490,25,inf,0.0022222802103845085,0.0022222802103845085
10,0,3670,25,inf,0.9822933997878859,0.9822933997878859
10,0,3800,25,inf,0.9782531148672137,0.9782531148672137
10,0,3710,25,inf,0.9863230374599034,0.9863230374599034
10,0,3720,25,inf,0.986182354236752,0.986182354236752
10,0,3910,25,inf,0.9832813558370765,0.9832813558370765
10,0,3800,25,inf,0.9721228051121573,0.9721228051121573
10,0,3840,25,inf,0.9808576986601827,0.9808576986601827
10,0,3840,25,inf,0.8902231516661792,0.8902231516661792
10,0,3820,25,inf,0.8548979383749458,0.8548979383749458
10,0,3820,25,inf,0.8732832814089986,0.8732832814089986
11,0,3840,25,inf,0.9863807424186692,0.9863807424186692
11,0,3750,25,inf,0.9831168444146798,0.9831168444146798
11,0,3870,25,inf,0.5587724037308115,0.5587724037308115
11,0,3800,25,inf,0.883508739517598,0.883508739517598
11,0,3910,25,inf,0.7042179050920478,0.7042179050920478
11,0,3910,25,inf,0.29735412504518643,0.29735412504518643
11,0,3750,25,inf,0.15093641805848024,0.15093641805848024
11,0,3620,25,inf,0.004677928897336647,0.004677928897336647
11,0,3610,25,inf,0.0,0.0
11,0,3520,25,inf,0.0,0.0
12,0,3860,25,inf,0.9443946664932453,0.9443946664932453
12,0,4000,25,inf,0.8538018650215842,0.8538018650215842
12,0,3850,25,inf,0.74221528248296,0.74221528248296
12,0,3770,25,inf,0.9461967637934801,0.9461967637934801
12,0,3810,25,inf,0.9814245678608781,0.9814245678608781
12,0,3680,25,inf,0.9620916400514283,0.9620916400514283
12,0,3880,25,inf,0.9602127020639233,0.9602127020639233
12,0,3930,25,inf,0.7556907460868365,0.7556907460868365
12,0,3880,25,inf,0.8774132266425796,0.8774132266425796
12,0,3720,25,inf,0.9054131159017363,0.9054131159017363
13,0,3900,25,inf,0.9915460412679217,0.9915460412679217
13,0,3770,25,inf,0.8099787024154564,0.8099787024154564
13,0,3780,25,inf,0.6391076696460034,0.6391076696460034
13,0,3750,25,inf,0.511289397251735,0.511289397251735
13,0,3950,25,inf,0.33257403282715026,0.33257403282715026
13,0,3830,25,inf,0.09679773789536705,0.09679773789536705
13,0,3690,25,inf,0.001626947633201592,0.001626947633201592
13,0,3530,25,inf,0.0,0.0
13,0,3540,25,inf,0.0,0.0
13,0,3390,25,inf,0.0,0.0
14,0,3800,25,inf,0.97077556718334,0.97077556718334
14,0,3860,25,inf,0.9644038632788271,0.9644038632788271
14,0,3740,25,inf,0.9830442992487965,0.9830442992487965
14,0,3850,25,inf,0.9803262333431887,0.9803262333431887
14,0,3760,25,inf,0.6163674002341619,0.6163674002341619
14,0,3700,25,inf,0.27471565082468297,0.27471565082468297
14,0,3860,25,inf,0.08755451417837035,0.08755451417837035
14,0,3620,25,inf,0.018756034479545547,0.018756034479545547
14,0,3660,25,inf,0.0,0.0
14,0,3590,25,inf,0.0,0.0
15,0,3860,25,inf,0.8656896548599204,0.8656896548599204
15,0,3740,25,inf,0.9858548341956089,0.9858548341956089
15,0,3890,25,inf,0.9879025946799443,0.9879025946799443
15,0,3850,25,inf,0.3889545036797579,0.3889545036797579
15,0,3710,25,inf,0.09111546456547104,0.09111546456547104
15,0,3670,25,inf,0.006127138581064284,0.006127138581064284
15,0,3680,25,inf,0.0,0.0
15,0,3460,25,inf,0.0,0.0
15,0,3220,25,inf,0.0,0.0
15,0,3010,25,inf,0.0,0.0
16,0,3780,25,inf,0.9054626259516039,0.9054626259516039
16,0,3720,25,inf,0.9754476026604173,0.9754476026604173
16,0,3820,25,inf,0.9631853046791974,0.9631853046791974
16,0,3960,25,inf,0.6165787244064553,0.6165787244064553
16,0,3880,25,inf,0.2503076159535347,0.2503076159535347
16,0,3860,25,inf,0.09175145848787225,0.09175145848787225
16,0,3690,25,inf,0.009617013900107385,0.009617013900107385
16,0,3750,25,inf,0.0,0.0
16,0,3830,25,inf,0.0,0.0
16,0,3500,25,inf,0.0,0.0
17,0,3780,25,inf,0.9680192856466697,0.9680192856466697
17,0,3770,25,inf,0.9648932529871639,0.9648932529871639
17,0,3780,25,inf,0.95802921363954,0.95802921363954
17,0,3820,25,inf,0.9614666750573385,0.9614666750573385
17,0,3780,25,inf,0.9790225730169416,0.9790225730169416
17,0,3940,25,inf,0.9630733943395446,0.9630733943395446
17,0,3900,25,inf,0.8183756113854205,0.8183756113854205
17,0,3750,25,inf,0.9438826690210715,0.9438826690210715
17,0,3810,25,inf,0.963218040268242,0.963218040268242
17,0,3780,25,inf,0.9524623072497805,0.9524623072497805
18,0,3840,25,inf,0.8991603259531928,0.8991603259531928
18,0,3760,25,inf,0.9167506586214461,0.9167506586214461
18,0,3870,25,inf,0.4941690345478723,0.4941690345478723
18,0,4000,25,inf,0.20965142910373535,0.20965142910373535
18,0,3850,25,inf,0.1362207486209479,0.1362207486209479
18,0,3600,25,inf,0.009595151092163356,0.009595151092163356
18,0,3540,25,inf,0.0,0.0
18,0,3780,25,inf,0.0,0.0
18,0,3730,25,inf,0.0,0.0
18,0,2850,25,inf,0.0,0.0
19,0,3850,25,inf,0.9447048380998182,0.9447048380998182
19,0,3770,25,inf,0.7888236200046463,0.7888236200046463
19,0,3670,25,inf,0.9188013160945958,0.9188013160945958
19,0,3750,25,inf,0.8893829072831814,0.8893829072831814
19,0,3880,25,inf,0.5643655793587838,0.5643655793587838
19,0,3960,25,inf,0.3125558411726631,0.3125558411726631
19,0,3920,25,inf,0.14256102901195322,0.14256102901195322
19,0,3700,25,inf,0.004278122369173465,0.004278122369173465
19,0,3700,25,inf,0.0,0.0
19,0,3700,25,inf,0.0,0.0
