data_id,trial,plan_iters,plan_time,best_cost,success_metric,maneuverability_metric
0,0,5280,75,inf,1.0,1.0
data_id,trial,plan_iters,plan_time,best_cost,success_metric,maneuverability_metric
0,0,4980,75,inf,1.0,1.0
data_id,trial,plan_iters,plan_time,best_cost,success_metric,maneuverability_metric
0,0,6880,75,inf,0.3770075890158726,0.3770075890158726
data_id,trial,plan_iters,plan_time,best_cost,success_metric,maneuverability_metric
0,0,6440,75,inf,0.5342192055385873,0.5342192055385873
data_id,trial,plan_iters,plan_time,best_cost,success_metric,maneuverability_metric
0,0,6930,75,inf,0.2735940027661984,0.2735940027661984
data_id,trial,plan_iters,plan_time,best_cost,success_metric,maneuverability_metric
0,0,6880,75,inf,0.49403125562160854,0.49403125562160854
data_id,trial,plan_iters,plan_time,best_cost,success_metric,maneuverability_metric
0,0,6990,75,inf,0.32246438400560573,0.32246438400560573
data_id,trial,plan_iters,plan_time,best_cost,success_metric,maneuverability_metric
0,0,6810,75,inf,0.18063171740926942,0.18063171740926942
data_id,trial,plan_iters,plan_time,best_cost,success_metric,maneuverability_metric
0,0,6660,75,inf,0.10728690537150509,0.10728690537150509
data_id,trial,plan_iters,plan_time,best_cost,success_metric,maneuverability_metric
0,0,6550,75,inf,0.047553679920386505,0.047553679920386505
1,0,6410,75,inf,0.45042312790476513,0.45042312790476513
1,0,6730,75,inf,0.35078074939813386,0.35078074939813386
1,0,6900,75,inf,0.24683780247240528,0.24683780247240528
1,0,6730,75,inf,0.14145005374209652,0.14145005374209652
1,0,6650,75,inf,0.028515892565339596,0.028515892565339596
1,0,6450,75,inf,0.006888064725464882,0.006888064725464882
1,0,6060,75,inf,0.0002951853210654276,0.0002951853210654276
1,0,5510,75,inf,0.0,0.0
1,0,5120,75,inf,0.0,0.0
1,0,3540,75,inf,0.0,0.0
2,0,6640,75,inf,0.449839691694672,0.449839691694672
2,0,6210,75,inf,0.46859736126595786,0.46859736126595786
2,0,6360,75,inf,0.410225292036677,0.410225292036677
2,0,6820,75,inf,0.46264197651040195,0.46264197651040195
2,0,6920,75,inf,0.2856816344614357,0.2856816344614357
2,0,6530,75,inf,0.3772560291513056,0.3772560291513056
2,0,6530,75,inf,0.3601185977234117,0.3601185977234117
2,0,4810,75,inf,1.0,1.0
2,0,6490,75,inf,0.3414174593493816,0.3414174593493816
2,0,4460,75,inf,1.0,1.0
3,0,4210,75,inf,1.0,1.0
3,0,6720,75,inf,0.4701829905582984,0.4701829905582984
3,0,6270,75,inf,0.41718056494503786,0.41718056494503786
3,0,6680,75,inf,0.4688684233196875,0.4688684233196875
3,0,7080,75,inf,0.353506742738096,0.353506742738096
3,0,6890,75,inf,0.1574964459448852,0.1574964459448852
3,0,6700,75,inf,0.024440233170162418,0.024440233170162418
3,0,6530,75,inf,0.003789180081806398,0.003789180081806398
3,0,6110,75,inf,0.0,0.0
3,0,5880,75,inf,0.0,0.0
4,0,4450,75,inf,1.0,1.0
4,0,5000,75,inf,1.0,1.0
4,0,3800,75,inf,1.0,1.0
4,0,6880,75,inf,0.45065351673060194,0.45065351673060194
4,0,6590,75,inf,0.5651953157988885,0.5651953157988885
4,0,5900,75,inf,0.5373112178830677,0.5373112178830677
