data_id,trial,plan_iters,plan_time,best_cost,success_metric,maneuverability_metric
0,0,6700,45,0.05160773915108479,0.9522061353647194,0.9522061353647194
0,0,7550,45,0.008033133882813522,0.6734918023501848,0.6734918023501848
0,0,6870,45,0.0013687128224654824,0.5910532587583444,0.5910532587583444
0,0,8210,45,0.006667084357257129,0.9221319168198804,0.9221319168198804
0,0,9120,45,0.002084169987439985,0.7713396957349427,0.7713396957349427
0,0,9220,45,0.00156822408018093,0.9886849477285042,0.9886849477285042
0,0,10370,45,0.00013932327244848587,0.5585089088895487,0.5585089088895487
0,0,11860,45,0.0003835658660388784,0.5040316175514195,0.5040316175514195
0,0,8460,45,0.00013008602373456093,0.41392704205261277,0.41392704205261277
0,0,10220,45,2.576731079529041e-05,0.10598370386881928,0.10598370386881928
1,0,10060,45,0.0012722940558214761,0.6607555136045122,0.6607555136045122
1,0,10820,45,6.386301631307537e-05,0.8260735288166671,0.8260735288166671
1,0,10120,45,0.00040266498216175693,0.4854645665135072,0.4854645665135072
1,0,9730,45,8.855394956737428e-05,0.35735439132090174,0.35735439132090174
1,0,11420,45,4.573139028200658e-05,0.1288745853626857,0.1288745853626857
1,0,11090,45,1e-05,0.04185414995958037,0.04185414995958037
1,0,9520,45,1.4738753734446636e-05,0.0002076805502729817,0.0002076805502729817
1,0,9570,45,1e-05,0.0,0.0
1,0,8180,45,3.6157691099878916e-05,0.0,0.0
1,0,5080,45,1e-05,0.0,0.0
2,0,9860,45,0.001325215275861438,0.9244350396790512,0.9244350396790512
2,0,7180,45,0.015933908177114296,0.9098022322984551,0.9098022322984551
2,0,8230,45,0.0029142777917872944,0.6298830355840503,0.6298830355840503
2,0,11180,45,0.0026788358964460013,0.6976765118750141,0.6976765118750141
2,0,11460,45,0.0013624794381726629,0.5873038259384971,0.5873038259384971
2,0,8540,45,0.001302083611103923,0.829233659754358,0.829233659754358
2,0,6960,45,0.004456336302180952,0.5078030574188723,0.5078030574188723
2,0,5250,45,inf,1.0,1.0
2,0,7200,45,0.00631630194267973,0.9659591328391166,0.9659591328391166
2,0,6470,45,0.005481690892324912,0.9562675691382719,0.9562675691382719
3,0,7320,45,0.03872420495368344,0.8224783657360858,0.8224783657360858
3,0,8060,45,0.004414780627876693,0.9686231492228246,0.9686231492228246
3,0,7380,45,0.01368961654619774,0.6420867116827882,0.6420867116827882
3,0,9930,45,0.003633736102070609,0.6876271690532608,0.6876271690532608
3,0,11570,45,0.00011055787791578939,0.6701949944245926,0.6701949944245926
3,0,12960,45,5.771910404696323e-05,0.30732648715921507,0.30732648715921507
3,0,14160,45,2.2979327900168184e-05,0.16241079869635067,0.16241079869635067
3,0,9660,45,3.004516189391432e-05,0.014953746751968033,0.014953746751968033
3,0,12100,45,4.4792795197451385e-05,0.0,0.0
3,0,9420,45,3.000411603639591e-05,0.0,0.0
4,0,7190,45,0.02337575937371132,0.7465549963820233,0.7465549963820233
4,0,7250,45,0.01999025150759523,0.8865149501851196,0.8865149501851196
4,0,5980,45,0.04471687417991814,0.7823290092601177,0.7823290092601177
4,0,8500,45,0.002621867460487013,0.7518438211430186,0.7518438211430186
4,0,7210,45,0.0032718605007474267,0.5356038846625922,0.5356038846625922
4,0,8520,45,0.0026149852281946283,0.656451742335513,0.656451742335513
4,0,7750,45,0.007215876705404324,0.7932546261512203,0.7932546261512203
4,0,8880,45,0.007041650016369925,0.75981892250008,0.75981892250008
4,0,5660,45,inf,1.0,1.0
4,0,5770,45,inf,1.0,1.0
5,0,6180,45,0.02931482117950902,0.9613435368388779,0.9613435368388779
5,0,7480,45,0.025246169661382493,0.8591909450979465,0.8591909450979465
5,0,8360,45,0.0033960824706554347,0.9520614360802219,0.9520614360802219
5,0,8590,45,0.008004771224093004,0.9792954478043495,0.9792954478043495
5,0,7380,45,0.007096020907308131,0.8931526069341642,0.8931526069341642
5,0,8610,45,0.002779308763679546,0.9521284934838291,0.9521284934838291
5,0,8680,45,0.0016698036150402575,0.9942293804559797,0.9942293804559797
5,0,9040,45,0.0011691316661730346,0.765789312090347,0.765789312090347
5,0,8070,45,0.0012791010040907325,0.7604443803485749,0.7604443803485749
5,0,5290,45,inf,1.0,1.0
6,0,7440,45,0.019253051995689507,0.9500180323285932,0.9500180323285932
6,0,5400,45,inf,1.0,1.0
