data_id,trial,plan_iters,plan_time,best_cost,success_metric,maneuverability_metric
0,0,5400,60,inf,1.0,1.0
0,0,5410,60,inf,1.0,1.0
0,0,5210,60,inf,1.0,1.0
0,0,4860,60,inf,1.0,1.0
0,0,5160,60,inf,0.48917867670566395,0.48917867670566395
0,0,5140,60,inf,0.3929409209352578,0.3929409209352578
0,0,5160,60,inf,0.3547450676400986,0.3547450676400986
0,0,5160,60,inf,0.22746063825775897,0.22746063825775897
0,0,5140,60,inf,0.1663531189226367,0.1663531189226367
0,0,5290,60,inf,0.061124297825292384,0.061124297825292384
1,0,5230,60,inf,0.4683426020521505,0.4683426020521505
1,0,5260,60,inf,0.34992579993367656,0.34992579993367656
1,0,5250,60,inf,0.3057401858736428,0.3057401858736428
1,0,5290,60,inf,0.11273524842496652,0.11273524842496652
1,0,5290,60,inf,0.0689854955508169,0.0689854955508169
1,0,5160,60,inf,0.0042423404346337845,0.0042423404346337845
1,0,5240,60,inf,0.00034902259038627204,0.00034902259038627204
1,0,5040,60,inf,0.0,0.0
1,0,4910,60,inf,0.0,0.0
1,0,4420,60,inf,0.0,0.0
2,0,5110,60,inf,0.4385056354557255,0.4385056354557255
2,0,5180,60,inf,0.5420755195175866,0.5420755195175866
2,0,5000,60,inf,0.4461647534291441,0.4461647534291441
2,0,5240,60,inf,0.43442113161331053,0.43442113161331053
2,0,5160,60,inf,0.3596770272833363,0.3596770272833363
2,0,5170,60,inf,0.4976815132975544,0.4976815132975544
2,0,5030,60,inf,0.3778162930875065,0.3778162930875065
2,0,4790,60,inf,1.0,1.0
2,0,5140,60,inf,0.43054708674553466,0.43054708674553466
2,0,4920,60,inf,0.8309558353651829,0.8309558353651829
3,0,5080,60,inf,1.0,1.0
3,0,5020,60,inf,0.6777244426196367,0.6777244426196367
3,0,5010,60,inf,0.3998421349825235,0.3998421349825235
3,0,5090,60,inf,0.4330493003345024,0.4330493003345024
3,0,5290,60,inf,0.3401136771695017,0.3401136771695017
3,0,5430,60,inf,0.18740381481743928,0.18740381481743928
3,0,5270,60,inf,0.034412270292449754,0.034412270292449754
3,0,5100,60,inf,0.00466514723250544,0.00466514723250544
3,0,5060,60,inf,0.0,0.0
3,0,5160,60,inf,0.0,0.0
4,0,4990,60,inf,1.0,1.0
4,0,5160,60,inf,1.0,1.0
4,0,4800,60,inf,1.0,1.0
4,0,5160,60,inf,1.0,1.0
4,0,5400,60,inf,0.5631305407523786,0.5631305407523786
4,0,5110,60,inf,1.0,1.0
4,0,4640,60,inf,1.0,1.0
4,0,5560,60,inf,1.0,1.0
4,0,5410,60,inf,1.0,1.0
4,0,4520,60,inf,1.0,1.0
5,0,5010,60,inf,1.0,1.0
5,0,5350,60,inf,0.5655419829913702,0.5655419829913702
5,0,4920,60,inf,1.0,1.0
5,0,4750,60,inf,1.0,1.0
5,0,4950,60,inf,1.0,1.0
5,0,4780,60,inf,1.0,1.0
5,0,5400,60,inf,1.0,1.0
5,0,5200,60,inf,1.0,1.0
5,0,4830,60,inf,1.0,1.0
5,0,4740,60,inf,1.0,1.0
6,0,4970,60,inf,1.0,1.0
6,0,4790,60,inf,1.0,1.0
6,0,4800,60,inf,1.0,1.0
6,0,5080,60,inf,1.0,1.0
6,0,4890,60,inf,1.0,1.0
6,0,4380,60,inf,1.0,1.0
6,0,4820,60,inf,1.0,1.0
6,0,4660,60,inf,1.0,1.0
6,0,5060,60,inf,0.6598027540992921,0.6598027540992921
6,0,5240,60,inf,0.46383359494210163,0.46383359494210163
7,0,5220,60,inf,0.3990909728431722,0.3990909728431722
7,0,5160,60,inf,0.23543876035407207,0.23543876035407207
7,0,5200,60,inf,0.16079492098726145,0.16079492098726145
7,0,5250,60,inf,0.03747444504542374,0.03747444504542374
7,0,5210,60,inf,0.0008892034537874016,0.0008892034537874016
7,0,4880,60,inf,0.0,0.0
7,0,4870,60,inf,0.0,0.0
7,0,4800,60,inf,0.0,0.0
7,0,4120,60,inf,0.0,0.0
7,0,4300,60,inf,0.0,0.0
8,0,4860,60,inf,1.0,1.0
8,0,5160,60,inf,0.5816115310812335,0.5816115310812335
8,0,4940,60,inf,1.0,1.0
8,0,5370,60,inf,1.0,1.0
8,0,4530,60,inf,1.0,1.0
8,0,5020,60,inf,1.0,1.0
8,0,4450,60,inf,1.0,1.0
8,0,4370,60,inf,1.0,1.0
8,0,4720,60,inf,1.0,1.0
8,0,4920,60,inf,1.0,1.0
9,0,5100,60,inf,1.0,1.0
9,0,5100,60,inf,1.0,1.0
9,0,4670,60,inf,1.0,1.0
9,0,5480,60,inf,1.0,1.0
9,0,4920,60,inf,1.0,1.0
9,0,5240,60,inf,1.0,1.0
9,0,5030,60,inf,1.0,1.0
9,0,5250,60,inf,1.0,1.0
9,0,4860,60,inf,1.0,1.0
9,0,5210,60,inf,1.0,1.0
10,0,4950,60,inf,1.0,1.0
10,0,5170,60,inf,0.42287209761483147,0.42287209761483147
10,0,5510,60,inf,1.0,1.0
10,0,4320,60,inf,1.0,1.0
10,0,5040,60,inf,0.37705894126408646,0.37705894126408646
10,0,5250,60,inf,0.29125134552681864,0.29125134552681864
10,0,5170,60,inf,0.08399500738697474,0.08399500738697474
10,0,5150,60,inf,0.027483530632187336,0.027483530632187336
10,0,5030,60,inf,0.0008847464292454088,0.0008847464292454088
10,0,5310,60,inf,0.0,0.0
11,0,4930,60,inf,1.0,1.0
11,0,4790,60,inf,1.0,1.0
11,0,5200,60,inf,1.0,1.0
11,0,5020,60,inf,1.0,1.0
11,0,4560,60,inf,1.0,1.0
11,0,5030,60,inf,1.0,1.0
11,0,5000,60,inf,1.0,1.0
11,0,5240,60,inf,0.49387792677054787,0.49387792677054787
11,0,5150,60,inf,0.7811660490143346,0.7811660490143346
11,0,5220,60,inf,0.351048975428797,0.351048975428797
12,0,5100,60,inf,1.0,1.0
12,0,4960,60,inf,1.0,1.0
12,0,5250,60,inf,0.4585889394525967,0.4585889394525967
12,0,5090,60,inf,0.4412718527924605,0.4412718527924605
12,0,5240,60,inf,0.45680522905690213,0.45680522905690213
12,0,5490,60,inf,1.0,1.0
12,0,5000,60,inf,0.48019820066713037,0.48019820066713037
12,0,5320,60,inf,0.3745426136922403,0.3745426136922403
12,0,5350,60,inf,0.2659848821111862,0.2659848821111862
12,0,5250,60,inf,0.04885275723976534,0.04885275723976534
13,0,5050,60,inf,0.8327628018677857,0.8327628018677857
13,0,5230,60,inf,1.0,1.0
13,0,4660,60,inf,1.0,1.0
13,0,4610,60,inf,1.0,1.0
13,0,5120,60,inf,0.47462272433741903,0.47462272433741903
13,0,5420,60,inf,0.31166982158750556,0.31166982158750556
13,0,5360,60,inf,0.25141708423106646,0.25141708423106646
13,0,5190,60,inf,0.23729031557020785,0.23729031557020785
13,0,5250,60,inf,0.22648049039535223,0.22648049039535223
13,0,5200,60,inf,0.06553577458494386,0.06553577458494386
14,0,5040,60,inf,1.0,1.0
14,0,5040,60,inf,1.0,1.0
14,0,5020,60,inf,1.0,1.0
14,0,5350,60,inf,1.0,1.0
14,0,5020,60,inf,1.0,1.0
14,0,4800,60,inf,1.0,1.0
14,0,5160,60,inf,0.4276552631835857,0.4276552631835857
14,0,5130,60,inf,0.3825648652009974,0.3825648652009974
14,0,5120,60,inf,0.37168239174354933,0.37168239174354933
14,0,5150,60,inf,0.3208302561371904,0.3208302561371904
15,0,5070,60,inf,1.0,1.0
15,0,5230,60,inf,0.48806873126295525,0.48806873126295525
15,0,5100,60,inf,1.0,1.0
15,0,5040,60,inf,1.0,1.0
15,0,5180,60,inf,0.3103276040924945,0.3103276040924945
15,0,5250,60,inf,0.19738899107679864,0.19738899107679864
15,0,5410,60,inf,0.08144783476092454,0.08144783476092454
15,0,5060,60,inf,0.010694656196631458,0.010694656196631458
15,0,5140,60,inf,0.00042186427858104114,0.00042186427858104114
15,0,5080,60,inf,0.0,0.0
16,0,5040,60,inf,1.0,1.0
16,0,5180,60,inf,1.0,1.0
16,0,5660,60,inf,1.0,1.0
16,0,4950,60,inf,0.4366311527407961,0.4366311527407961
16,0,5160,60,inf,0.4112022532233879,0.4112022532233879
16,0,5130,60,inf,0.3987034898486531,0.3987034898486531
16,0,5210,60,inf,0.2724100566650651,0.2724100566650651
16,0,5340,60,inf,0.08213345586360599,0.08213345586360599
16,0,5210,60,inf,0.014242958341721845,0.014242958341721845
16,0,5260,60,inf,0.0003640913500787546,0.0003640913500787546
17,0,5140,60,inf,0.5902261829947312,0.5902261829947312
17,0,5070,60,inf,0.4171127152114016,0.4171127152114016
17,0,5300,60,inf,0.1819136695543081,0.1819136695543081
17,0,5390,60,inf,0.04985959353217739,0.04985959353217739
17,0,5170,60,inf,0.004545423140845162,0.004545423140845162
17,0,5230,60,inf,0.0,0.0
17,0,5050,60,inf,0.0,0.0
17,0,4820,60,inf,0.0,0.0
17,0,4500,60,inf,0.0,0.0
17,0,4370,60,inf,0.0,0.0
18,0,4830,60,inf,1.0,1.0
18,0,4870,60,inf,1.0,1.0
18,0,5060,60,inf,1.0,1.0
18,0,4750,60,inf,1.0,1.0
18,0,4310,60,inf,1.0,1.0
18,0,5460,60,inf,1.0,1.0
18,0,5390,60,inf,1.0,1.0
18,0,5160,60,inf,0.5898092378275321,0.5898092378275321
18,0,4960,60,inf,0.5027365213434074,0.5027365213434074
18,0,5270,60,inf,0.3457718308028057,0.3457718308028057
19,0,5250,60,inf,0.4236027913361986,0.4236027913361986
19,0,5310,60,inf,0.41821219884005734,0.41821219884005734
19,0,5320,60,inf,0.30939938360414276,0.30939938360414276
19,0,5260,60,inf,0.41408525757459136,0.41408525757459136
19,0,5290,60,inf,0.22370435152440737,0.22370435152440737
19,0,5200,60,inf,0.23663594598274962,0.23663594598274962
19,0,5410,60,inf,0.14853989441289184,0.14853989441289184
19,0,5260,60,inf,0.013898797953476372,0.013898797953476372
19,0,4940,60,inf,0.00046442295507254094,0.00046442295507254094
19,0,5170,60,inf,0.0,0.0
20,0,5510,60,inf,0.40641272421204133,0.40641272421204133
20,0,5120,60,inf,0.041481203444972525,0.041481203444972525
20,0,5140,60,inf,0.00028373530237768563,0.00028373530237768563
20,0,4870,60,inf,0.0,0.0
20,0,5290,60,inf,0.0,0.0
20,0,4200,60,inf,0.0,0.0
20,0,4470,60,inf,0.0,0.0
20,0,4460,60,inf,0.0,0.0
20,0,4440,60,inf,0.0,0.0
20,0,4480,60,inf,0.0,0.0
21,0,5180,60,inf,0.5831432680878058,0.5831432680878058
21,0,5020,60,inf,0.5103418451244726,0.5103418451244726
21,0,5240,60,inf,0.21477362643932119,0.21477362643932119
21,0,5170,60,inf,0.033783114321510155,0.033783114321510155
21,0,5090,60,inf,0.001175826604283392,0.001175826604283392
21,0,4990,60,inf,0.0,0.0
21,0,4940,60,inf,0.0,0.0
21,0,4960,60,inf,0.0,0.0
21,0,4510,60,inf,0.0,0.0
21,0,4400,60,inf,0.0,0.0
22,0,5130,60,inf,0.3236244317598215,0.3236244317598215
22,0,4970,60,inf,0.7235498885052107,0.7235498885052107
22,0,5220,60,inf,0.41949388178238944,0.41949388178238944
22,0,5160,60,inf,0.29593033118178624,0.29593033118178624
22,0,5360,60,inf,0.05748416415881963,0.05748416415881963
22,0,5230,60,inf,0.0015365606383550556,0.0015365606383550556
22,0,4990,60,inf,0.0,0.0
22,0,4930,60,inf,0.0,0.0
22,0,4840,60,inf,0.0,0.0
22,0,4360,60,inf,0.0,0.0
23,0,5400,60,inf,0.1515688474247434,0.1515688474247434
23,0,5400,60,inf,0.012894446653609615,0.012894446653609615
23,0,5090,60,inf,0.0003918536767423264,0.0003918536767423264
23,0,5280,60,inf,0.0,0.0
23,0,5020,60,inf,0.0,0.0
23,0,4390,60,inf,0.0,0.0
23,0,4200,60,inf,0.0,0.0
23,0,4140,60,inf,0.0,0.0
23,0,4160,60,inf,0.0,0.0
