num_traj,data_id,label
0,0,1
0,1,1
0,2,1
0,3,1
0,4,1
0,5,1
0,6,1
0,7,1
0,8,1
0,9,1
1,0,1
1,1,1
1,2,1
1,3,1
1,4,1
1,5,1
1,6,1
1,7,0
1,8,0
1,9,0
2,0,1
2,1,1
2,2,1
2,3,1
2,4,1
2,5,1
2,6,1
2,7,1
2,8,1
2,9,1
3,0,1
3,1,1
3,2,1
3,3,1
3,4,1
3,5,1
3,6,1
3,7,1
3,8,0
3,9,0
4,0,1
4,1,1
4,2,1
4,3,1
4,4,1
4,5,1
4,6,1
4,7,1
4,8,1
4,9,1
5,0,1
5,1,1
5,2,1
5,3,1
5,4,1
5,5,1
5,6,1
5,7,1
5,8,1
5,9,1
6,0,1
6,1,1
6,2,1
6,3,1
6,4,1
6,5,1
6,6,1
6,7,1
6,8,1
6,9,1
7,0,1
7,1,1
7,2,1
7,3,1
7,4,1
7,5,0
7,6,0
7,7,0
7,8,0
7,9,0
8,0,1
8,1,1
8,2,1
8,3,1
8,4,1
8,5,1
8,6,1
8,7,1
8,8,1
8,9,1
9,0,1
9,1,1
9,2,1
9,3,1
9,4,1
9,5,1
9,6,1
9,7,1
9,8,1
9,9,1
10,0,1
10,1,1
10,2,1
10,3,1
10,4,1
10,5,1
10,6,1
10,7,1
10,8,1
10,9,0
11,0,1
11,1,1
11,2,1
11,3,1
11,4,1
11,5,1
11,6,1
11,7,1
11,8,1
11,9,1
12,0,1
12,1,1
12,2,1
12,3,1
12,4,1
12,5,1
12,6,1
12,7,1
12,8,1
12,9,1
13,0,1
13,1,1
13,2,1
13,3,1
13,4,1
13,5,1
13,6,1
13,7,1
13,8,1
13,9,1
14,0,1
14,1,1
14,2,1
14,3,1
14,4,1
14,5,1
14,6,1
14,7,1
14,8,1
14,9,1
15,0,1
15,1,1
15,2,1
15,3,1
15,4,1
15,5,1
15,6,1
15,7,1
15,8,1
15,9,0
16,0,1
16,1,1
16,2,1
16,3,1
16,4,1
16,5,1
16,6,1
16,7,1
16,8,1
16,9,1
17,0,1
17,1,1
17,2,1
17,3,1
17,4,1
17,5,0
17,6,0
17,7,0
17,8,0
17,9,0
18,0,1
18,1,1
18,2,1
18,3,1
18,4,1
18,5,1
18,6,1
18,7,1
18,8,1
18,9,1
19,0,1
19,1,1
19,2,1
19,3,1
19,4,1
19,5,1
19,6,1
19,7,1
19,8,1
19,9,0
20,0,1
20,1,1
20,2,1
20,3,0
20,4,0
20,5,0
20,6,0
20,7,0
20,8,0
20,9,0
21,0,0
21,1,1
21,2,1
21,3,1
21,4,1
21,5,0
21,6,0
21,7,0
21,8,0
21,9,0
22,0,1
22,1,1
22,2,1
22,3,1
22,4,1
22,5,1
22,6,0
22,7,0
22,8,0
22,9,0
23,0,1
23,1,1
23,2,1
23,3,0
23,4,0
23,5,0
23,6,0
23,7,0
23,8,0
23,9,0
24,0,0
24,1,0
24,2,1
24,3,1
24,4,0
24,5,0
24,6,0
24,7,0
24,8,0
24,9,0
25,0,1
25,1,1
25,2,1
25,3,0
25,4,0
25,5,0
25,6,0
25,7,0
25,8,0
25,9,0
26,0,1
26,1,1
26,2,1
26,3,1
26,4,1
26,5,0
26,6,0
26,7,0
26,8,0
26,9,0
27,0,0
27,1,1
27,2,1
27,3,1
27,4,1
27,5,1
27,6,0
27,7,0
27,8,0
27,9,0
28,0,1
28,1,1
28,2,1
28,3,1
28,4,0
28,5,0
28,6,0
28,7,0
28,8,0
28,9,0
29,0,1
29,1,1
29,2,1
29,3,0
29,4,0
29,5,0
29,6,0
29,7,0
29,8,0
29,9,0
