data_id,trial,plan_iters,plan_time,best_cost,success_metric,maneuverability_metric
0,0,5450,60,inf,1.0,1.0
1,0,5790,60,inf,1.0,1.0
2,0,5950,60,inf,1.0,1.0
3,0,5530,60,inf,0.23234830854519395,0.23234830854519395
4,0,5560,60,inf,0.23579943758425115,0.23579943758425115
5,0,5530,60,inf,0.1876260549392127,0.1876260549392127
6,0,5500,60,inf,0.2766497977330452,0.2766497977330452
7,0,5520,60,inf,0.4009107883183721,0.4009107883183721
8,0,5410,60,inf,0.24402415203133343,0.24402415203133343
9,0,5490,60,inf,0.26570380993486664,0.26570380993486664
10,0,5650,60,inf,0.17826359113487766,0.17826359113487766
11,0,5520,60,inf,0.03348065104519116,0.03348065104519116
12,0,5500,60,inf,0.01374939356653937,0.01374939356653937
13,0,5480,60,inf,0.006370551988477691,0.006370551988477691
14,0,5420,60,inf,0.005321609596042665,0.005321609596042665
15,0,5550,60,inf,0.00731325954993256,0.00731325954993256
16,0,5660,60,inf,0.0009552671323934669,0.0009552671323934669
17,0,5350,60,inf,0.0,0.0
18,0,5530,60,inf,0.0,0.0
19,0,5250,60,inf,0.0,0.0
data_id,trial,plan_iters,plan_time,best_cost,success_metric,maneuverability_metric
0,0,5640,60,inf,1.0,1.0
1,0,5530,60,inf,0.25090087401417926,0.25090087401417926
2,0,5560,60,inf,0.2298572319579536,0.2298572319579536
3,0,5410,60,inf,0.17573695078987217,0.17573695078987217
4,0,5560,60,inf,0.19098174125808975,0.19098174125808975
5,0,5550,60,inf,0.48430381561219227,0.48430381561219227
6,0,5560,60,inf,0.8745022363994384,0.8745022363994384
7,0,5560,60,inf,1.0,1.0
8,0,5150,60,inf,1.0,1.0
9,0,5530,60,inf,1.0,1.0
10,0,5600,60,inf,0.29742629887997585,0.29742629887997585
11,0,5560,60,inf,1.0,1.0
12,0,4910,60,inf,1.0,1.0
13,0,5100,60,inf,1.0,1.0
14,0,5550,60,inf,0.33489402212964603,0.33489402212964603
15,0,5130,60,inf,1.0,1.0
16,0,5480,60,inf,1.0,1.0
17,0,5370,60,inf,0.28738476201010643,0.28738476201010643
18,0,5460,60,inf,0.27782863780976885,0.27782863780976885
19,0,5500,60,inf,0.16104912405782723,0.16104912405782723
