n_episode,n_iteration,label
0,0,1
0,1,0
0,2,0
0,3,1
0,4,1
0,5,1
0,6,1
0,7,1
1,0,1
1,1,1
1,2,0
1,3,0
1,4,1
1,5,1
1,6,1
1,7,0
1,8,1
2,0,0
2,1,0
2,2,0
2,3,0
2,4,0
2,5,0
2,6,0
2,7,0
2,8,0
2,9,0
2,10,0
2,11,0
2,12,0
2,13,0
2,14,0
2,15,1
2,16,1
2,17,1
2,18,1
2,19,1
3,0,1
3,1,1
3,2,1
3,3,1
3,4,0
3,5,0
3,6,0
3,7,0
3,8,1
3,9,1
3,10,1
3,11,1
3,12,1
4,0,1
4,1,1
4,2,1
4,3,1
4,4,1
4,5,1
4,6,1
4,7,1
5,0,0
5,1,0
5,2,0
5,3,0
5,4,0
5,5,0
5,6,0
5,7,0
5,8,0
5,9,1
5,10,0
5,11,0
5,12,0
5,13,0
5,14,1
5,15,1
5,16,0
5,17,0
5,18,0
5,19,0
6,0,0
6,1,0
6,2,0
6,3,0
6,4,0
6,5,0
6,6,0
6,7,0
6,8,0
6,9,0
6,10,0
6,11,0
6,12,0
6,13,0
6,14,0
6,15,0
6,16,0
6,17,0
6,18,0
6,19,0
7,0,1
7,1,1
7,2,0
7,3,0
7,4,0
7,5,1
7,6,1
7,7,0
7,8,0
7,9,0
8,0,1
8,1,0
8,2,0
8,3,0
8,4,0
8,5,0
8,6,0
8,7,0
8,8,0
8,9,0
8,10,0
8,11,1
8,12,0
8,13,0
8,14,0
8,15,0
8,16,0
8,17,0
8,18,0
8,19,0
9,0,1
9,1,1
9,2,1
9,3,0
9,4,1
9,5,1
9,6,1
9,7,1
9,8,1
9,9,0
10,0,0
10,1,0
10,2,0
10,3,0
10,4,0
10,5,0
10,6,0
10,7,1
10,8,1
10,9,1
10,10,1
10,11,1
10,12,1
11,0,0
11,1,1
11,2,1
11,3,1
11,4,1
11,5,1
11,6,1
11,7,0
12,0,0
12,1,0
12,2,0
12,3,1
12,4,1
12,5,1
12,6,1
12,7,0
12,8,0
12,9,0
12,10,0
12,11,0
12,12,0
12,13,0
12,14,0
12,15,0
12,16,0
12,17,0
12,18,0
12,19,0
13,0,0
13,1,0
13,2,0
13,3,0
13,4,1
13,5,1
13,6,1
13,7,1
13,8,1
13,9,1
13,10,1
14,0,0
14,1,0
14,2,1
14,3,1
14,4,1
14,5,0
14,6,0
14,7,0
15,0,0
15,1,0
15,2,0
15,3,0
15,4,0
15,5,0
15,6,1
15,7,0
15,8,0
15,9,0
15,10,0
15,11,1
15,12,1
15,13,1
15,14,1
15,15,1
15,16,1
15,17,1
16,0,0
16,1,0
16,2,0
16,3,0
16,4,0
16,5,0
16,6,0
16,7,0
16,8,0
16,9,0
16,10,0
16,11,0
16,12,0
16,13,0
16,14,0
16,15,0
16,16,0
16,17,0
16,18,0
16,19,0
17,0,0
17,1,0
17,2,0
17,3,0
17,4,1
17,5,1
17,6,1
17,7,1
17,8,1
17,9,1
18,0,0
18,1,0
18,2,0
18,3,0
18,4,0
18,5,1
18,6,1
18,7,1
18,8,1
18,9,1
18,10,0
18,11,0
18,12,1
18,13,1
18,14,1
18,15,0
18,16,1
18,17,0
18,18,0
18,19,1
19,0,1
19,1,0
19,2,0
19,3,0
19,4,1
19,5,1
19,6,1
19,7,1
19,8,0
20,0,1
20,1,1
20,2,0
20,3,1
20,4,1
20,5,1
20,6,1
20,7,1
20,8,0
20,9,0
20,10,1
20,11,1
20,12,1
20,13,1
20,14,1
21,0,0
21,1,1
21,2,1
21,3,1
21,4,1
21,5,1
21,6,1
21,7,1
21,8,1
21,9,1
22,0,1
22,1,0
22,2,0
22,3,0
22,4,0
22,5,0
22,6,1
22,7,0
22,8,0
22,9,0
22,10,0
22,11,0
22,12,0
22,13,0
22,14,1
22,15,1
22,16,1
22,17,0
22,18,0
23,0,1
23,1,1
23,2,1
23,3,1
23,4,1
23,5,1
23,6,1
23,7,1
23,8,1
23,9,1
23,10,1
24,0,0
24,1,0
24,2,0
24,3,0
24,4,0
24,5,0
24,6,0
24,7,0
24,8,0
24,9,0
24,10,0
24,11,0
24,12,0
24,13,0
24,14,0
24,15,0
24,16,0
24,17,0
24,18,0
24,19,0
25,0,0
25,1,0
25,2,0
25,3,0
25,4,0
25,5,0
25,6,0
25,7,0
25,8,1
25,9,1
25,10,1
25,11,1
25,12,1
25,13,1
25,14,1
26,0,0
26,1,0
26,2,1
26,3,0
26,4,0
26,5,0
26,6,0
26,7,0
26,8,0
26,9,0
26,10,0
26,11,0
26,12,0
26,13,0
26,14,0
26,15,0
26,16,0
26,17,0
26,18,0
26,19,0
27,0,1
27,1,0
27,2,1
27,3,1
27,4,1
27,5,1
27,6,1
27,7,1
27,8,1
27,9,1
27,10,1
27,11,1
27,12,1
27,13,0
27,14,0
28,0,0
28,1,1
28,2,1
28,3,1
28,4,0
28,5,1
28,6,1
28,7,1
28,8,1
28,9,0
28,10,0
28,11,0
28,12,0
28,13,0
28,14,0
29,0,1
29,1,1
29,2,1
29,3,0
29,4,0
29,5,0
29,6,1
29,7,1
29,8,1
29,9,0
29,10,0
30,0,1
30,1,0
30,2,0
30,3,0
30,4,0
30,5,0
30,6,1
30,7,1
30,8,1
30,9,1
30,10,0
31,0,0
31,1,0
31,2,0
31,3,0
31,4,0
31,5,0
31,6,0
31,7,0
31,8,0
31,9,0
31,10,0
31,11,0
31,12,1
31,13,1
31,14,1
31,15,0
31,16,0
31,17,0
32,0,1
32,1,1
32,2,1
32,3,0
32,4,0
32,5,0
32,6,0
32,7,0
32,8,1
32,9,1
32,10,1
32,11,1
32,12,1
32,13,1
32,14,1
32,15,1
33,0,0
33,1,0
33,2,0
33,3,0
33,4,0
33,5,0
33,6,0
33,7,0
33,8,0
33,9,0
33,10,0
33,11,0
33,12,0
33,13,0
33,14,0
33,15,0
33,16,0
33,17,0
33,18,0
33,19,0
34,0,0
34,1,0
34,2,0
34,3,0
34,4,0
34,5,0
34,6,1
34,7,0
34,8,1
34,9,1
34,10,1
34,11,1
34,12,1
34,13,1
34,14,1
34,15,1
34,16,1
34,17,1
35,0,1
35,1,1
35,2,1
35,3,0
35,4,0
35,5,0
35,6,0
35,7,0
35,8,0
35,9,0
35,10,0
35,11,0
35,12,0
35,13,0
35,14,0
35,15,0
35,16,0
35,17,0
35,18,0
35,19,0
36,0,1
36,1,1
36,2,1
36,3,1
36,4,0
36,5,1
36,6,1
36,7,0
36,8,1
36,9,1
36,10,1
36,11,1
36,12,1
36,13,1
36,14,1
36,15,1
37,0,0
37,1,1
37,2,1
37,3,1
37,4,1
37,5,1
37,6,1
37,7,1
37,8,1
37,9,0
38,0,1
38,1,0
38,2,1
38,3,0
38,4,0
38,5,0
38,6,0
38,7,0
38,8,0
38,9,0
38,10,0
38,11,1
38,12,1
38,13,1
38,14,1
38,15,1
38,16,1
38,17,0
39,0,1
39,1,0
39,2,1
39,3,1
39,4,1
39,5,1
39,6,0
39,7,0
39,8,0
39,9,0
39,10,0
39,11,0
39,12,1
39,13,0
39,14,1
39,15,0
39,16,0
39,17,1
39,18,1
39,19,1
40,0,1
40,1,0
40,2,0
40,3,0
40,4,0
40,5,0
40,6,0
40,7,0
40,8,0
40,9,0
40,10,0
40,11,0
40,12,0
40,13,0
40,14,0
40,15,0
40,16,0
40,17,0
40,18,0
40,19,0
41,0,0
41,1,0
41,2,1
41,3,1
41,4,1
41,5,1
41,6,1
41,7,1
41,8,1
41,9,1
41,10,1
42,0,1
42,1,1
42,2,1
42,3,1
42,4,1
42,5,0
42,6,0
42,7,0
43,0,0
43,1,0
43,2,0
43,3,0
43,4,0
43,5,0
43,6,0
43,7,0
43,8,0
43,9,0
43,10,0
43,11,0
43,12,0
43,13,0
43,14,0
43,15,0
43,16,0
43,17,0
43,18,0
43,19,0
44,0,1
44,1,1
44,2,0
44,3,0
44,4,0
44,5,0
44,6,0
44,7,0
44,8,0
44,9,1
44,10,1
44,11,0
44,12,0
44,13,0
44,14,0
44,15,0
44,16,0
44,17,0
44,18,0
44,19,0
45,0,1
45,1,0
45,2,0
45,3,0
45,4,0
45,5,0
45,6,0
45,7,0
45,8,0
45,9,0
45,10,0
45,11,0
45,12,0
45,13,0
45,14,0
45,15,0
45,16,0
45,17,0
45,18,0
45,19,0
46,0,0
46,1,0
46,2,0
46,3,0
46,4,0
46,5,0
46,6,0
46,7,0
46,8,0
46,9,0
46,10,0
46,11,0
46,12,0
46,13,0
46,14,0
46,15,0
46,16,0
46,17,0
46,18,0
46,19,0
47,0,1
47,1,1
47,2,1
47,3,1
47,4,1
47,5,1
47,6,1
47,7,1
47,8,1
47,9,1
47,10,1
48,0,1
48,1,0
48,2,0
48,3,0
48,4,0
48,5,0
48,6,0
48,7,0
48,8,0
48,9,0
48,10,0
48,11,0
48,12,0
48,13,0
48,14,0
48,15,0
48,16,0
48,17,0
48,18,0
48,19,0
49,0,1
49,1,1
49,2,1
49,3,1
49,4,1
49,5,0
49,6,0
50,0,0
50,1,0
50,2,0
50,3,0
50,4,0
50,5,0
50,6,0
50,7,0
50,8,0
50,9,0
50,10,0
50,11,0
50,12,0
50,13,0
50,14,1
50,15,1
50,16,1
50,17,1
50,18,1
50,19,1
51,0,0
51,1,0
51,2,0
51,3,0
51,4,0
51,5,0
51,6,0
51,7,0
51,8,0
51,9,0
51,10,0
51,11,0
51,12,0
51,13,0
51,14,0
51,15,0
51,16,0
51,17,0
51,18,0
51,19,0
52,0,1
52,1,1
52,2,1
52,3,1
52,4,0
52,5,0
52,6,1
52,7,1
52,8,1
52,9,1
52,10,1
52,11,1
52,12,1
52,13,1
52,14,1
53,0,1
53,1,1
53,2,0
53,3,1
53,4,1
53,5,1
53,6,1
53,7,1
53,8,1
54,0,0
54,1,0
54,2,0
54,3,0
54,4,0
54,5,0
54,6,0
54,7,0
54,8,0
54,9,0
54,10,1
54,11,1
54,12,0
54,13,0
54,14,1
54,15,1
54,16,1
54,17,0
54,18,0
55,0,0
55,1,1
55,2,1
55,3,1
55,4,1
55,5,0
55,6,1
55,7,0
56,0,0
56,1,0
56,2,0
56,3,0
56,4,0
56,5,0
56,6,0
56,7,0
56,8,0
56,9,0
56,10,0
56,11,0
56,12,0
56,13,1
56,14,0
56,15,0
56,16,0
56,17,0
56,18,0
56,19,0
57,0,0
57,1,0
57,2,0
57,3,0
57,4,0
57,5,0
57,6,0
57,7,0
57,8,0
57,9,0
57,10,0
57,11,0
57,12,0
57,13,0
57,14,0
57,15,0
57,16,0
57,17,0
57,18,0
57,19,0
58,0,1
58,1,1
58,2,1
58,3,1
58,4,1
58,5,1
58,6,1
58,7,1
58,8,1
58,9,1
58,10,1
59,0,0
59,1,1
59,2,0
59,3,1
59,4,1
59,5,1
59,6,1
59,7,1
59,8,1
59,9,1
59,10,1
59,11,1
59,12,0
60,0,0
60,1,0
60,2,0
60,3,0
60,4,0
60,5,0
60,6,0
60,7,1
60,8,0
60,9,1
60,10,0
60,11,0
60,12,0
60,13,1
60,14,1
60,15,1
60,16,1
60,17,1
61,0,1
61,1,0
61,2,0
61,3,0
61,4,1
61,5,0
61,6,0
61,7,0
61,8,0
61,9,0
61,10,1
61,11,1
61,12,1
61,13,1
61,14,1
61,15,0
62,0,1
62,1,1
62,2,0
62,3,0
62,4,0
62,5,0
62,6,0
62,7,1
62,8,1
62,9,1
62,10,1
62,11,1
62,12,0
62,13,0
62,14,0
62,15,0
62,16,0
62,17,0
62,18,0
62,19,0
63,0,1
63,1,0
63,2,0
63,3,1
63,4,1
63,5,1
63,6,1
63,7,1
63,8,1
64,0,1
64,1,0
64,2,0
64,3,0
64,4,0
64,5,0
64,6,0
64,7,0
64,8,0
64,9,0
64,10,0
64,11,0
64,12,0
64,13,0
64,14,0
64,15,0
64,16,0
64,17,1
64,18,1
64,19,1
65,0,0
65,1,0
65,2,0
65,3,0
65,4,0
65,5,0
65,6,0
65,7,0
65,8,0
65,9,0
65,10,0
65,11,0
65,12,0
65,13,0
65,14,0
65,15,0
65,16,0
65,17,0
65,18,0
65,19,0
66,0,0
66,1,0
66,2,0
66,3,0
66,4,0
66,5,0
66,6,0
66,7,0
66,8,0
66,9,0
66,10,0
66,11,0
66,12,0
66,13,0
66,14,0
66,15,0
66,16,0
66,17,0
66,18,0
66,19,0
67,0,0
67,1,0
67,2,0
67,3,0
67,4,1
67,5,0
67,6,0
67,7,1
67,8,1
67,9,1
67,10,1
67,11,0
68,0,1
68,1,0
68,2,0
68,3,0
68,4,0
68,5,0
68,6,0
68,7,0
68,8,0
68,9,0
68,10,0
68,11,1
68,12,1
68,13,1
68,14,0
68,15,0
68,16,0
68,17,0
69,0,0
69,1,1
69,2,1
69,3,1
69,4,1
69,5,1
69,6,1
69,7,1
69,8,1
69,9,1
69,10,1
70,0,0
70,1,1
70,2,1
70,3,1
70,4,1
70,5,0
70,6,0
70,7,0
70,8,0
70,9,0
70,10,1
70,11,0
70,12,1
70,13,0
70,14,0
70,15,0
70,16,0
70,17,0
70,18,0
70,19,0
71,0,0
71,1,0
71,2,0
71,3,0
71,4,0
71,5,0
71,6,0
71,7,0
71,8,0
71,9,0
71,10,0
71,11,0
71,12,0
71,13,0
71,14,1
71,15,1
71,16,1
71,17,1
71,18,1
71,19,1
72,0,0
72,1,0
72,2,0
72,3,0
72,4,0
72,5,0
72,6,0
72,7,0
72,8,0
72,9,0
72,10,0
72,11,0
72,12,0
72,13,0
72,14,0
72,15,0
72,16,0
72,17,0
72,18,0
72,19,0
73,0,1
73,1,1
73,2,1
73,3,1
73,4,1
73,5,1
73,6,1
73,7,1
73,8,1
73,9,1
73,10,1
73,11,1
73,12,1
74,0,0
74,1,0
74,2,1
74,3,1
74,4,0
74,5,1
74,6,1
74,7,1
74,8,1
74,9,1
74,10,0
75,0,1
75,1,1
75,2,1
75,3,1
75,4,1
75,5,1
75,6,1
75,7,1
75,8,1
75,9,0
75,10,0
75,11,0
76,0,0
76,1,1
76,2,0
76,3,0
76,4,0
76,5,0
76,6,0
76,7,0
76,8,0
76,9,0
76,10,0
76,11,0
76,12,0
76,13,0
76,14,0
76,15,0
76,16,0
76,17,0
76,18,0
76,19,0
77,0,0
77,1,1
77,2,1
77,3,1
77,4,0
77,5,1
77,6,1
77,7,1
77,8,1
77,9,1
77,10,1
78,0,1
78,1,1
78,2,1
78,3,1
78,4,1
78,5,0
78,6,0
78,7,0
78,8,1
78,9,0
78,10,1
78,11,1
78,12,1
78,13,1
78,14,1
78,15,1
78,16,0
78,17,1
78,18,1
78,19,1
79,0,0
79,1,0
79,2,0
79,3,0
79,4,0
79,5,0
79,6,1
79,7,0
79,8,1
79,9,1
79,10,0
79,11,0
