n_episode,label
0,1
1,1
2,0
3,1
4,1
5,0
6,0
7,1
8,0
9,1
10,1
11,1
12,0
13,1
14,1
15,1
16,0
17,1
18,0
19,1
20,1
21,1
22,1
23,1
24,0
25,1
26,0
27,1
28,1
29,1
30,1
31,1
32,1
33,0
34,1
35,0
36,1
37,1
38,1
39,0
40,0
41,1
42,1
43,0
44,0
45,0
46,0
47,1
48,0
49,1
50,0
51,0
52,1
53,1
54,1
55,1
56,0
57,0
58,1
59,1
60,1
61,1
62,0
63,1
64,0
65,0
66,0
67,1
68,1
69,1
70,0
71,1
72,0
73,1
74,1
75,1
76,0
77,1
78,0
79,1
80,1
81,1
82,0
83,1
84,0
85,0
86,1
87,1
88,0
89,1
90,1
91,1
92,0
93,1
94,1
95,0
96,1
97,1
98,1
99,1
