offset,distance,xo,yo,thetao,vxo,vyo,omegao,xg,yg,thetag,vxg,vyg,omegag
0,0,5,4.3,0.0,0.0,0.0,0.0,4.45,4.0,0.0,0.0,1.0,0.0
0,1,5,4.8,0.0,0.0,0.0,0.0,4.45,4.5,0.0,0.0,1.0,0.0
0,2,5,5.3,0.0,0.0,0.0,0.0,4.45,5.0,0.0,0.0,1.0,0.0
0,3,5,5.8,0.0,0.0,0.0,0.0,4.45,5.5,0.0,0.0,1.0,0.0
0,4,5,6.3,0.0,0.0,0.0,0.0,4.45,6.0,0.0,0.0,1.0,0.0
0,5,5,6.8,0.0,0.0,0.0,0.0,4.45,6.5,0.0,0.0,1.0,0.0
0,6,5,7.3,0.0,0.0,0.0,0.0,4.45,7.0,0.0,0.0,1.0,0.0
0,7,5,7.8,0.0,0.0,0.0,0.0,4.45,7.5,0.0,0.0,1.0,0.0
0,8,5,8.3,0.0,0.0,0.0,0.0,4.45,8.0,0.0,0.0,1.0,0.0
0,9,5,8.8,0.0,0.0,0.0,0.0,4.45,8.5,0.0,0.0,1.0,0.0
1,0,5,4.3,0.0,0.0,0.0,0.0,4.5,4.0,0.0,0.0,1.0,0.0
1,1,5,4.8,0.0,0.0,0.0,0.0,4.5,4.5,0.0,0.0,1.0,0.0
1,2,5,5.3,0.0,0.0,0.0,0.0,4.5,5.0,0.0,0.0,1.0,0.0
1,3,5,5.8,0.0,0.0,0.0,0.0,4.5,5.5,0.0,0.0,1.0,0.0
1,4,5,6.3,0.0,0.0,0.0,0.0,4.5,6.0,0.0,0.0,1.0,0.0
1,5,5,6.8,0.0,0.0,0.0,0.0,4.5,6.5,0.0,0.0,1.0,0.0
1,6,5,7.3,0.0,0.0,0.0,0.0,4.5,7.0,0.0,0.0,1.0,0.0
1,7,5,7.8,0.0,0.0,0.0,0.0,4.5,7.5,0.0,0.0,1.0,0.0
1,8,5,8.3,0.0,0.0,0.0,0.0,4.5,8.0,0.0,0.0,1.0,0.0
1,9,5,8.8,0.0,0.0,0.0,0.0,4.5,8.5,0.0,0.0,1.0,0.0
2,0,5,4.3,0.0,0.0,0.0,0.0,4.55,4.0,0.0,0.0,1.0,0.0
2,1,5,4.8,0.0,0.0,0.0,0.0,4.55,4.5,0.0,0.0,1.0,0.0
2,2,5,5.3,0.0,0.0,0.0,0.0,4.55,5.0,0.0,0.0,1.0,0.0
2,3,5,5.8,0.0,0.0,0.0,0.0,4.55,5.5,0.0,0.0,1.0,0.0
2,4,5,6.3,0.0,0.0,0.0,0.0,4.55,6.0,0.0,0.0,1.0,0.0
2,5,5,6.8,0.0,0.0,0.0,0.0,4.55,6.5,0.0,0.0,1.0,0.0
2,6,5,7.3,0.0,0.0,0.0,0.0,4.55,7.0,0.0,0.0,1.0,0.0
2,7,5,7.8,0.0,0.0,0.0,0.0,4.55,7.5,0.0,0.0,1.0,0.0
2,8,5,8.3,0.0,0.0,0.0,0.0,4.55,8.0,0.0,0.0,1.0,0.0
2,9,5,8.8,0.0,0.0,0.0,0.0,4.55,8.5,0.0,0.0,1.0,0.0
3,0,5,4.3,0.0,0.0,0.0,0.0,4.6,4.0,0.0,0.0,1.0,0.0
3,1,5,4.8,0.0,0.0,0.0,0.0,4.6,4.5,0.0,0.0,1.0,0.0
3,2,5,5.3,0.0,0.0,0.0,0.0,4.6,5.0,0.0,0.0,1.0,0.0
3,3,5,5.8,0.0,0.0,0.0,0.0,4.6,5.5,0.0,0.0,1.0,0.0
3,4,5,6.3,0.0,0.0,0.0,0.0,4.6,6.0,0.0,0.0,1.0,0.0
3,5,5,6.8,0.0,0.0,0.0,0.0,4.6,6.5,0.0,0.0,1.0,0.0
3,6,5,7.3,0.0,0.0,0.0,0.0,4.6,7.0,0.0,0.0,1.0,0.0
3,7,5,7.8,0.0,0.0,0.0,0.0,4.6,7.5,0.0,0.0,1.0,0.0
3,8,5,8.3,0.0,0.0,0.0,0.0,4.6,8.0,0.0,0.0,1.0,0.0
3,9,5,8.8,0.0,0.0,0.0,0.0,4.6,8.5,0.0,0.0,1.0,0.0
4,0,5,4.3,0.0,0.0,0.0,0.0,4.6499999999999995,4.0,0.0,0.0,1.0,0.0
4,1,5,4.8,0.0,0.0,0.0,0.0,4.6499999999999995,4.5,0.0,0.0,1.0,0.0
4,2,5,5.3,0.0,0.0,0.0,0.0,4.6499999999999995,5.0,0.0,0.0,1.0,0.0
4,3,5,5.8,0.0,0.0,0.0,0.0,4.6499999999999995,5.5,0.0,0.0,1.0,0.0
4,4,5,6.3,0.0,0.0,0.0,0.0,4.6499999999999995,6.0,0.0,0.0,1.0,0.0
4,5,5,6.8,0.0,0.0,0.0,0.0,4.6499999999999995,6.5,0.0,0.0,1.0,0.0
4,6,5,7.3,0.0,0.0,0.0,0.0,4.6499999999999995,7.0,0.0,0.0,1.0,0.0
4,7,5,7.8,0.0,0.0,0.0,0.0,4.6499999999999995,7.5,0.0,0.0,1.0,0.0
4,8,5,8.3,0.0,0.0,0.0,0.0,4.6499999999999995,8.0,0.0,0.0,1.0,0.0
4,9,5,8.8,0.0,0.0,0.0,0.0,4.6499999999999995,8.5,0.0,0.0,1.0,0.0
5,0,5,4.3,0.0,0.0,0.0,0.0,4.699999999999999,4.0,0.0,0.0,1.0,0.0
5,1,5,4.8,0.0,0.0,0.0,0.0,4.699999999999999,4.5,0.0,0.0,1.0,0.0
5,2,5,5.3,0.0,0.0,0.0,0.0,4.699999999999999,5.0,0.0,0.0,1.0,0.0
5,3,5,5.8,0.0,0.0,0.0,0.0,4.699999999999999,5.5,0.0,0.0,1.0,0.0
5,4,5,6.3,0.0,0.0,0.0,0.0,4.699999999999999,6.0,0.0,0.0,1.0,0.0
5,5,5,6.8,0.0,0.0,0.0,0.0,4.699999999999999,6.5,0.0,0.0,1.0,0.0
5,6,5,7.3,0.0,0.0,0.0,0.0,4.699999999999999,7.0,0.0,0.0,1.0,0.0
5,7,5,7.8,0.0,0.0,0.0,0.0,4.699999999999999,7.5,0.0,0.0,1.0,0.0
5,8,5,8.3,0.0,0.0,0.0,0.0,4.699999999999999,8.0,0.0,0.0,1.0,0.0
5,9,5,8.8,0.0,0.0,0.0,0.0,4.699999999999999,8.5,0.0,0.0,1.0,0.0
6,0,5,4.3,0.0,0.0,0.0,0.0,4.749999999999999,4.0,0.0,0.0,1.0,0.0
6,1,5,4.8,0.0,0.0,0.0,0.0,4.749999999999999,4.5,0.0,0.0,1.0,0.0
6,2,5,5.3,0.0,0.0,0.0,0.0,4.749999999999999,5.0,0.0,0.0,1.0,0.0
6,3,5,5.8,0.0,0.0,0.0,0.0,4.749999999999999,5.5,0.0,0.0,1.0,0.0
6,4,5,6.3,0.0,0.0,0.0,0.0,4.749999999999999,6.0,0.0,0.0,1.0,0.0
6,5,5,6.8,0.0,0.0,0.0,0.0,4.749999999999999,6.5,0.0,0.0,1.0,0.0
6,6,5,7.3,0.0,0.0,0.0,0.0,4.749999999999999,7.0,0.0,0.0,1.0,0.0
6,7,5,7.8,0.0,0.0,0.0,0.0,4.749999999999999,7.5,0.0,0.0,1.0,0.0
6,8,5,8.3,0.0,0.0,0.0,0.0,4.749999999999999,8.0,0.0,0.0,1.0,0.0
6,9,5,8.8,0.0,0.0,0.0,0.0,4.749999999999999,8.5,0.0,0.0,1.0,0.0
7,0,5,4.3,0.0,0.0,0.0,0.0,4.799999999999999,4.0,0.0,0.0,1.0,0.0
7,1,5,4.8,0.0,0.0,0.0,0.0,4.799999999999999,4.5,0.0,0.0,1.0,0.0
7,2,5,5.3,0.0,0.0,0.0,0.0,4.799999999999999,5.0,0.0,0.0,1.0,0.0
7,3,5,5.8,0.0,0.0,0.0,0.0,4.799999999999999,5.5,0.0,0.0,1.0,0.0
7,4,5,6.3,0.0,0.0,0.0,0.0,4.799999999999999,6.0,0.0,0.0,1.0,0.0
7,5,5,6.8,0.0,0.0,0.0,0.0,4.799999999999999,6.5,0.0,0.0,1.0,0.0
7,6,5,7.3,0.0,0.0,0.0,0.0,4.799999999999999,7.0,0.0,0.0,1.0,0.0
7,7,5,7.8,0.0,0.0,0.0,0.0,4.799999999999999,7.5,0.0,0.0,1.0,0.0
7,8,5,8.3,0.0,0.0,0.0,0.0,4.799999999999999,8.0,0.0,0.0,1.0,0.0
7,9,5,8.8,0.0,0.0,0.0,0.0,4.799999999999999,8.5,0.0,0.0,1.0,0.0
8,0,5,4.3,0.0,0.0,0.0,0.0,4.849999999999999,4.0,0.0,0.0,1.0,0.0
8,1,5,4.8,0.0,0.0,0.0,0.0,4.849999999999999,4.5,0.0,0.0,1.0,0.0
8,2,5,5.3,0.0,0.0,0.0,0.0,4.849999999999999,5.0,0.0,0.0,1.0,0.0
8,3,5,5.8,0.0,0.0,0.0,0.0,4.849999999999999,5.5,0.0,0.0,1.0,0.0
8,4,5,6.3,0.0,0.0,0.0,0.0,4.849999999999999,6.0,0.0,0.0,1.0,0.0
8,5,5,6.8,0.0,0.0,0.0,0.0,4.849999999999999,6.5,0.0,0.0,1.0,0.0
8,6,5,7.3,0.0,0.0,0.0,0.0,4.849999999999999,7.0,0.0,0.0,1.0,0.0
8,7,5,7.8,0.0,0.0,0.0,0.0,4.849999999999999,7.5,0.0,0.0,1.0,0.0
8,8,5,8.3,0.0,0.0,0.0,0.0,4.849999999999999,8.0,0.0,0.0,1.0,0.0
8,9,5,8.8,0.0,0.0,0.0,0.0,4.849999999999999,8.5,0.0,0.0,1.0,0.0
9,0,5,4.3,0.0,0.0,0.0,0.0,4.899999999999999,4.0,0.0,0.0,1.0,0.0
9,1,5,4.8,0.0,0.0,0.0,0.0,4.899999999999999,4.5,0.0,0.0,1.0,0.0
9,2,5,5.3,0.0,0.0,0.0,0.0,4.899999999999999,5.0,0.0,0.0,1.0,0.0
9,3,5,5.8,0.0,0.0,0.0,0.0,4.899999999999999,5.5,0.0,0.0,1.0,0.0
9,4,5,6.3,0.0,0.0,0.0,0.0,4.899999999999999,6.0,0.0,0.0,1.0,0.0
9,5,5,6.8,0.0,0.0,0.0,0.0,4.899999999999999,6.5,0.0,0.0,1.0,0.0
9,6,5,7.3,0.0,0.0,0.0,0.0,4.899999999999999,7.0,0.0,0.0,1.0,0.0
9,7,5,7.8,0.0,0.0,0.0,0.0,4.899999999999999,7.5,0.0,0.0,1.0,0.0
9,8,5,8.3,0.0,0.0,0.0,0.0,4.899999999999999,8.0,0.0,0.0,1.0,0.0
9,9,5,8.8,0.0,0.0,0.0,0.0,4.899999999999999,8.5,0.0,0.0,1.0,0.0
10,0,5,4.3,0.0,0.0,0.0,0.0,4.949999999999998,4.0,0.0,0.0,1.0,0.0
10,1,5,4.8,0.0,0.0,0.0,0.0,4.949999999999998,4.5,0.0,0.0,1.0,0.0
10,2,5,5.3,0.0,0.0,0.0,0.0,4.949999999999998,5.0,0.0,0.0,1.0,0.0
10,3,5,5.8,0.0,0.0,0.0,0.0,4.949999999999998,5.5,0.0,0.0,1.0,0.0
10,4,5,6.3,0.0,0.0,0.0,0.0,4.949999999999998,6.0,0.0,0.0,1.0,0.0
10,5,5,6.8,0.0,0.0,0.0,0.0,4.949999999999998,6.5,0.0,0.0,1.0,0.0
10,6,5,7.3,0.0,0.0,0.0,0.0,4.949999999999998,7.0,0.0,0.0,1.0,0.0
10,7,5,7.8,0.0,0.0,0.0,0.0,4.949999999999998,7.5,0.0,0.0,1.0,0.0
