data_id,trial,plan_iters,plan_time,best_cost,success_metric,maneuverability_metric
0,0,680,60,0.09211350481652959,8.176781342941091e-05,0.9631519336927014
1,0,670,60,0.052293421715921364,0.0,0.958865874581636
2,0,670,60,0.07682413092619217,0.0,0.9245867819123339
3,0,640,60,0.05650397152078425,0.050026871911910804,0.8860597207532707
4,0,680,60,0.04192398102188107,0.002178021972880725,0.822354907619346
5,0,640,60,0.03209201649171266,0.006394734484416024,0.8059126164921515
6,0,610,60,0.005040147981649812,0.01856279568221659,0.7218102649778866
7,0,550,60,0.038716872263329705,0.8247724522178856,0.952950456255768
8,0,530,60,0.002212028452627149,0.7370728370030427,0.8078175895244242
9,0,480,60,0.0006631974334060965,0.6591694068285572,0.8462852768330829
10,0,480,60,0.014092091445377923,0.6349773720964978,0.5671361372628153
11,0,530,60,0.058052254117444996,0.9526838909816777,0.9622254653891967
12,0,470,60,0.028672647473854587,0.9773079101736827,0.9448047794481861
13,0,530,60,0.07587870333124332,0.9827848731200896,0.9475490637626091
14,0,630,60,0.29482464286279253,0.9865024756678884,0.9777534362901996
15,0,630,60,0.8379714915710184,0.989816421401143,0.9781020606962155
16,0,810,60,1.4366797352434089,0.486171181299576,0.9919779800285188
17,0,790,60,1.5043101615410808,0.7629148539541456,0.9907852795889429
18,0,950,60,1.9168119347897157,0.3878942709002121,0.995597796953267
19,0,940,60,1.581736968999484,0.4427580020467686,0.9971339839153495
20,0,980,60,1.8237014462296706,0.49171692388662613,0.9947216512608897
data_id,trial,plan_iters,plan_time,best_cost,success_metric,maneuverability_metric
0,0,690,60,0.10155413652005466,1.7946382457651436e-05,0.9520494983804885
1,0,660,60,0.0689834836321978,7.807530899410953e-05,0.9607641066621356
2,0,680,60,0.06886547895288518,0.0,0.9179987560102979
3,0,680,60,0.03545145991982833,0.0013849752287245231,0.8969912448218252
4,0,670,60,0.1896162705749426,0.0023611347992207594,0.9188072084071524
5,0,640,60,0.0068514520440012775,0.0003061686215074969,0.8605435252258075
6,0,580,60,0.025512442114001256,0.19009864429768508,0.949760224350527
7,0,540,60,0.07970639096323263,0.22129028599741685,0.919251016506384
8,0,620,60,0.0370227840063343,0.2273999210747161,0.9727508168031395
9,0,590,60,0.0026185664979751014,0.0,0.5218997909204672
10,0,490,60,0.014093024245251459,0.0007465910990067586,0.8931513153292063
11,0,580,60,0.0032382878722663775,0.0,0.9095371003726301
12,0,580,60,0.01648957583825282,0.0,0.9770819890840353
13,0,530,60,0.010558714293742916,0.0017223983963840818,0.9443017529801129
14,0,570,60,0.002135853821775757,0.0,0.9758589857254021
15,0,540,60,0.03155475028746015,0.0,0.9738090007873232
16,0,640,60,0.14579633387875068,0.0,0.9778113200930268
17,0,540,60,0.7934680097955433,0.010044551828436062,0.9722367733199015
18,0,670,60,0.7226891261259833,0.0009363100327797672,0.9844714288946955
19,0,570,60,0.8336073007701045,0.046403050962690984,0.9847254093130677
20,0,610,60,0.7838513685420961,0.010355843825210258,0.9860094886652908
data_id,trial,plan_iters,plan_time,best_cost,success_metric,maneuverability_metric
0,0,690,60,0.11904945622544849,0.0,0.9423551173931841
1,0,690,60,0.036278676110352376,0.0,0.9361601312023324
2,0,690,60,0.00652018818593178,0.0,0.9351945243396199
3,0,650,60,0.02192758344055907,0.0007730570418093908,0.9636786108807469
4,0,680,60,0.027371309833925713,0.0,0.9650141984330258
5,0,680,60,0.0582639327574371,0.0,0.9720334157058569
6,0,650,60,0.04147237907796918,0.0,0.9569657688933505
7,0,570,60,0.0035165911888063806,4.087112176130758e-05,0.9281583700959781
8,0,580,60,0.05591249607799301,0.002055618594412361,0.9341817408842663
9,0,610,60,0.10781567959988811,0.0,0.9686542932843484
10,0,670,60,0.056756477590023544,0.0,0.9953131482163093
11,0,560,60,0.049411703584982314,0.0,0.9452207664253277
12,0,620,60,1.2787401719115653e-05,0.0,0.0
13,0,560,60,5.818043024468896e-05,0.0,0.0
14,0,630,60,0.0003570138749184443,0.0,0.0
15,0,640,60,1e-05,0.0,0.0
16,0,480,60,1e-05,0.0,0.0
17,0,510,60,1e-05,0.0,0.0
18,0,440,60,1e-05,0.0,0.0
19,0,450,60,1e-05,0.0,0.0
20,0,490,60,1e-05,0.0,0.0
