data_id,trial,plan_iters,plan_time,best_cost,success_metric,maneuverability_metric
0,0,2530,90,inf,0.011447550528356625,0.6381617416054095
1,0,2270,90,inf,0.0568995002026786,0.8801167045953073
2,0,2590,90,inf,0.02950794269984587,0.8943709602008514
3,0,2200,90,inf,0.1468632599656082,0.8164039066270771
4,0,2200,90,inf,0.10914978902234321,0.7827687241450563
5,0,2180,90,inf,0.12425398905159542,0.817926039329995
6,0,2330,90,inf,0.3812713310178027,0.7666085803278797
7,0,2720,90,inf,0.3674223811855437,0.8115405450187223
8,0,1930,90,11.5482038252998,0.4819256041171962,0.5277471244827722
9,0,1850,90,6.930194806784192,0.6029177500527853,0.8275820386382569
10,0,2200,90,7.903621031193523,0.5181130172419294,0.9883271051919392
11,0,2100,90,5.5349122667487896,0.7063320025238536,0.9004954817140491
12,0,1900,90,6.157614136050535,0.8596003137512894,0.9654210246015227
13,0,2050,90,6.454611389658882,0.8954928516701518,0.9517253520192626
14,0,1670,90,4.35347152062506,0.7443032754465115,0.7370855786565258
15,0,1690,90,4.057473898585927,0.8784793552900569,0.8462102548384347
16,0,1920,90,5.858995666054593,0.5556098141956568,0.9408495095873627
17,0,2150,90,6.0604640408244626,0.9758603089993433,0.9547953636831075
18,0,1860,90,4.727604575969787,0.8211601132313391,0.9268293108925317
19,0,2040,90,4.872910274993142,0.9608242139585511,0.9586671557378652
20,0,2220,90,5.6285266454630625,0.9694341227576732,0.9755026361892797
data_id,trial,plan_iters,plan_time,best_cost,success_metric,maneuverability_metric
0,0,2530,90,inf,0.04162607365356017,0.6183897213135507
1,0,2450,90,inf,0.023602980291099154,0.6843650137369204
2,0,2490,90,inf,0.02849131649154469,0.6809490283940032
3,0,2630,90,inf,0.013349029611197442,0.669494462564465
4,0,2390,90,inf,0.01739974334642853,0.588328804287967
5,0,2240,90,inf,0.026048493460638172,0.6693422459058489
6,0,2930,90,inf,0.17563030674228677,0.5561202733488444
7,0,2820,90,inf,0.0309742104786528,0.4643366728943046
8,0,2780,90,26.823551059274106,0.02538992163875768,0.92450628893581
9,0,2010,90,9.057777702232949,0.048078510675134536,0.6689517098153925
10,0,1860,90,6.660861093466261,0.000966748230010461,0.5984150100480833
11,0,1800,90,5.971431729273011,0.018654124842426394,0.7822454446918596
12,0,1940,90,6.923040472066505,0.002365798431690817,0.7304712394903223
13,0,2060,90,4.563421173253695,0.02855970737252138,0.38320945986207544
14,0,2200,90,5.933597154630972,0.00297420698057848,0.5856168044540823
15,0,2340,90,5.571421609549836,0.02868968423,0.8031974211842592
data_id,trial,plan_iters,plan_time,best_cost,success_metric,maneuverability_metric
0,0,1980,90,inf,0.002434973832271006,0.709138839437109
1,0,2820,90,inf,0.006862667851556208,0.5190598906482458
2,0,2840,90,inf,0.004787514079455422,0.5065496599581578
3,0,2500,90,inf,0.002961641581718589,0.8228772990359224
4,0,2570,90,inf,0.016264746509321616,0.5001221903722628
5,0,2570,90,inf,0.02214339662766511,0.546903284938355
6,0,2950,90,inf,0.009749523168842929,0.5536447493188188
7,0,2500,90,inf,0.030747862580957602,0.5593183528759195
8,0,2730,90,inf,0.015219086058001808,0.4234174930998167
9,0,2330,90,inf,0.024041390975152902,0.6293908980070935
10,0,2110,90,5.0810165296409195,0.012048790263408495,0.5062128669415745
11,0,2050,90,10.389136473730346,0.018347250796401277,0.6648950544199633
12,0,2190,90,6.498985186863936,3.9840737089883824e-05,0.17408689210528983
13,0,2360,90,9.703778015549917,0.019549912481398486,0.020446256338069513
14,0,2080,90,14.187382126527988,0.012041306401147372,0.002777256052080901
15,0,1980,90,6.381169972533018,0.010945682799899333,0.02314562014536936
16,0,2130,90,7.380320100473868,0.018796292384635642,0.08043226330242914
17,0,1520,90,6.0556298405300275,0.01793876346992148,0.1538454582173735
18,0,1750,90,7.724556808931517,0.003811384753457135,0.16820738501904886
19,0,1500,90,7.2336307967849,0.009363979058696093,0.12441878564458708
20,0,1890,90,7.018021984345975,0.0057166967200206285,0.015892973092770823
