data_id,trial,plan_iters,plan_time,best_cost,success_metric,maneuverability_metric
0,0,8310,60,5.966012515788029,0.004220568706945618,0.8803092655820601
1,0,8200,60,6.706167407542886,0.020230193297770087,0.6915417717429306
2,0,8350,60,7.069871893842332,0.04616742855049988,0.6207594960835685
3,0,8280,60,6.784029856942439,0.06084823990629989,0.5478763149864173
4,0,8280,60,5.719972176424924,0.06549766141609287,0.4706437444158873
5,0,8370,60,5.897624050417049,0.12480201423517753,0.47793491202668137
6,0,8310,60,5.7828999377862464,0.19835020405770384,0.36130424749242607
7,0,8400,60,6.56176095188282,0.3016348080511557,0.3412944137526184
8,0,8340,60,6.954135856951456,0.39443194149646627,0.27675249963975723
9,0,8390,60,5.767969152655687,0.4672423336430608,0.3234763313218104
10,0,8320,60,5.305141071543871,0.6220911080529201,0.4624951041718798
11,0,8320,60,5.889354090541705,0.6743228540428523,0.9278399752714508
12,0,8250,60,5.1643473338126356,0.6904434089107062,0.9210374452665732
13,0,8320,60,4.901747201310791,0.7042603083969886,0.931676859829546
14,0,8260,60,5.130638867540468,0.6736832082223532,0.950526788507415
15,0,8310,60,5.317294110667118,0.9126075056562477,0.9785220693402819
16,0,8250,60,4.914634616767459,0.8185833230992705,0.9261183973146054
17,0,8150,60,4.449971123588297,0.8399429438674909,0.9345733168685956
18,0,8160,60,5.6213179147862675,0.8627720474471685,0.9287542381530898
19,0,8200,60,5.304867719426246,0.8319707985472565,0.9231091423690959
20,0,8230,60,5.401170280273023,0.8579621161423926,0.9192028019729386
data_id,trial,plan_iters,plan_time,best_cost,success_metric,maneuverability_metric
0,0,8340,60,6.57106164573815,0.0039925791666912585,0.873245957018148
1,0,8420,60,5.768639892605913,0.01612152926203302,0.7219041743434066
2,0,8240,60,5.696014239952704,0.020152436905384444,0.5867461097902309
3,0,8310,60,4.4915704971148385,0.024459457393429425,0.6170371472751757
4,0,8370,60,6.7547350955709105,0.02967148298050781,0.4878504965506695
5,0,8420,60,5.939245974840019,0.1255871154836281,0.4360112490616632
6,0,8420,60,5.7481513286928205,0.0709823028036663,0.4488503664511033
7,0,8270,60,6.179352461025531,0.04147664714275204,0.43279772301590347
8,0,8330,60,6.727085014908198,0.0471848157869295,0.5354203758732131
9,0,8420,60,6.533990539800782,0.02180760018180955,0.7087374046868322
10,0,8350,60,6.992869965911418,0.04243874941876227,0.7116488745710592
11,0,8250,60,5.865196536862416,0.00836812986888745,0.8063432989590961
12,0,8270,60,4.694076175958269,0.022305235605155495,0.7951078688232966
13,0,8310,60,5.315110229252182,0.008125465905511315,0.8321190569974564
14,0,8300,60,5.499794160331407,0.00282043906879257,0.8796296739062566
15,0,8320,60,5.444553682397596,0.013014756451760269,0.827431552299507
16,0,8350,60,5.424908344059696,0.011861897854063134,0.8223304562680666
17,0,7920,60,4.70198687449431,0.00455844657800642,0.8121731382828092
18,0,7960,60,4.943719228912978,0.019665708430269088,0.8088115374272073
19,0,7930,60,5.2505234921288695,0.02857042092099513,0.7596787289085307
20,0,7920,60,5.276473637227015,0.030396291796164637,0.7935250352245082
data_id,trial,plan_iters,plan_time,best_cost,success_metric,maneuverability_metric
0,0,8270,60,6.8797985852935835,0.0032412100772393447,0.8714568058351508
1,0,8330,60,6.396145082117357,0.008246633845149993,0.7193228052358266
2,0,8290,60,5.884834785173892,0.006065904204812323,0.7306059469163757
3,0,8340,60,5.806383958113783,0.00828596813117977,0.7132079970227863
4,0,8350,60,6.572182684821035,0.005188832270555624,0.6929557892684929
5,0,8310,60,5.48375743827601,0.01075528832172792,0.683337497472637
6,0,8330,60,6.090495569386478,0.004828672530586823,0.7612219052859865
7,0,8330,60,5.966093032249538,0.012180467494264399,0.7872629696266498
8,0,8320,60,5.800659348627594,0.02496420791972002,0.7798220774958158
9,0,8290,60,6.47395311556373,0.017070907293684077,0.8273619794775992
10,0,8330,60,6.099866271019114,0.00956014139714127,0.8224748604834062
11,0,8290,60,5.000702898887727,0.016744415387708735,0.74378495108627
12,0,8260,60,6.558437469961873,0.007311341883107029,0.7078647984420157
13,0,8300,60,5.777698831466913,0.009896987502847376,0.580579238730774
14,0,8370,60,6.012771114750981,0.009392610619145293,0.35459974786574244
15,0,8420,60,5.312731291438526,0.008173205451688505,0.08750496193070534
16,0,7980,60,5.417686963954353,0.008758446915627032,0.12159176088593471
17,0,7950,60,6.094043090875266,0.009286821699309855,0.10492439480147131
18,0,8020,60,5.869791397268661,0.0063243949889702855,0.09127893892524652
19,0,7920,60,6.549877437914722,0.0036113814942107334,0.10270082527079549
20,0,7970,60,5.895359013459311,0.008846736247820283,0.11738616144011216
