data_id,trial,plan_iters,plan_time,best_cost,success_metric,maneuverability_metric
0,0,57300,3,1.496106173802278,None,None
1,0,65250,3,1.3909648534077375,None,None
2,0,63940,3,1.4514254502621444,None,None
3,0,58410,3,1.5338527904319905,None,None
4,0,62600,3,1.5087923780957901,None,None
5,0,60940,3,1.507172617039644,None,None
6,0,55230,3,1.6640824187676835,None,None
7,0,59500,3,1.4152287485598996,None,None
8,0,55660,3,1.5687285261654162,None,None
9,0,55860,3,1.592088655999144,None,None
10,0,55060,3,1.5728597246465403,None,None
11,0,49780,3,1.5572753890994733,None,None
12,0,61920,3,1.5943198030452235,None,None
13,0,66500,3,1.4405957307508768,None,None
14,0,83410,3,1.5079953764033063,None,None
15,0,91860,3,1.4165511591312647,None,None
16,0,35340,3,2.8574390794105335,None,None
17,0,38660,3,2.777804517015659,None,None
18,0,52930,3,2.746613255512329,None,None
19,0,38890,3,2.9662194837642333,None,None
20,0,40280,3,2.9340432272354824,None,None
data_id,trial,plan_iters,plan_time,best_cost,success_metric,maneuverability_metric
0,0,50170,3,1.795560778157728,None,None
1,0,58470,3,1.1967838617566668,None,None
2,0,61470,3,1.2792792599787044,None,None
3,0,62360,3,1.320706920585051,None,None
4,0,66510,3,1.307625130169279,None,None
5,0,70060,3,1.089026691622295,None,None
6,0,56450,3,1.3043265376959516,None,None
7,0,64480,3,1.5726895028735501,None,None
8,0,61730,3,1.309205083169606,None,None
9,0,58920,3,1.4043125195949606,None,None
10,0,75960,3,1.1082795721874938,None,None
11,0,71830,3,1.0425078949499165,None,None
12,0,91960,3,0.7892265400832253,None,None
13,0,93230,3,0.6850452613142441,None,None
14,0,86130,3,0.6254504416149514,None,None
15,0,80380,3,0.7856980682154657,None,None
16,0,104510,3,0.45580206434404325,None,None
17,0,63850,3,1.3291237076384805,None,None
18,0,55500,3,1.3997680526725573,None,None
19,0,61100,3,1.4208098670418514,None,None
20,0,58600,3,1.582474214478369,None,None
data_id,trial,plan_iters,plan_time,best_cost,success_metric,maneuverability_metric
0,0,63000,3,1.4448895460550144,None,None
1,0,81180,3,0.8874294411406751,None,None
2,0,95970,3,0.8706312942793418,None,None
3,0,58310,3,1.4529524845117265,None,None
4,0,82200,3,1.0552619162124608,None,None
5,0,64270,3,0.8023188494218143,None,None
6,0,67110,3,0.8968503960574571,None,None
7,0,86950,3,0.5979004538508544,None,None
8,0,94270,3,0.7266618657387698,None,None
9,0,87070,3,0.6118849876567323,None,None
10,0,125780,3,0.6338375347927249,None,None
11,0,114300,3,0.340919850543734,None,None
12,0,132120,3,0.12610692681355629,None,None
13,0,164210,3,0.14633647055153057,None,None
14,0,157700,3,0.12353243813902222,None,None
15,0,146600,3,0.12245470484589194,None,None
16,0,123910,3,0.18749192679340926,None,None
17,0,144730,3,0.17567980198159974,None,None
18,0,146530,3,0.07967776605659697,None,None
19,0,158270,3,0.20572753881501524,None,None
20,0,130180,3,0.14468699448883066,None,None
