data_id,trial,plan_iters,plan_time,best_cost,success_metric,maneuverability_metric
0,0,60400,5,2.1668216625275707,None,None
0,0,89000,5,1.3896521522241834,None,None
0,0,98930,5,1.7191708802563739,None,None
0,0,88240,5,1.638692067952243,None,None
0,0,123640,5,1.2341335678684422,None,None
0,0,101250,5,1.22718153035361,None,None
0,0,108370,5,1.1447881492243075,None,None
0,0,157040,5,0.8475206919054722,None,None
0,0,157040,5,0.5730096142748143,None,None
0,0,261900,5,0.26921347859820777,None,None
1,0,74600,5,1.9487085963499258,None,None
1,0,120440,5,1.0378537720215397,None,None
1,0,113370,5,1.2615168844020759,None,None
1,0,184290,5,0.8927338878381123,None,None
1,0,123830,5,1.0949286483345184,None,None
1,0,136330,5,0.8153611088607162,None,None
1,0,178940,5,0.5667546602175855,None,None
1,0,337720,5,0.22708032752708482,None,None
1,0,103240,5,1.446786299567156,None,None
1,0,99660,5,1.2547434816917746,None,None
2,0,67280,5,1.9971018236627978,None,None
2,0,118770,5,1.0820974245989892,None,None
2,0,113630,5,1.0550051036060413,None,None
2,0,122420,5,1.1614477221869062,None,None
2,0,139940,5,0.9038451138297016,None,None
2,0,136770,5,0.8991157360360148,None,None
2,0,179190,5,0.5864782780943306,None,None
2,0,226120,5,0.40350655163031424,None,None
2,0,300400,5,0.1363806369692118,None,None
2,0,335860,5,0.09580009352506808,None,None
3,0,75610,5,2.0238311903720505,None,None
3,0,101190,5,1.5505073176553579,None,None
3,0,106420,5,1.294952589722129,None,None
3,0,111140,5,1.342415240432057,None,None
3,0,139940,5,1.1148223792711425,None,None
3,0,123360,5,0.8864840258688216,None,None
3,0,177120,5,0.7154503170884522,None,None
3,0,177790,5,0.5438217534492424,None,None
3,0,117830,5,1.3838983891962708,None,None
3,0,108710,5,1.1627943493618387,None,None
4,0,82770,5,2.072826895940757,None,None
4,0,89650,5,1.6020612011926412,None,None
4,0,98950,5,1.6078004810387727,None,None
4,0,104090,5,1.2162735363844401,None,None
4,0,119740,5,1.2945960465410122,None,None
4,0,199200,5,1.1043891937266177,None,None
4,0,125010,5,1.71570256121466,None,None
4,0,365480,5,0.1769929897486077,None,None
4,0,384780,5,0.21838349745447205,None,None
4,0,290420,5,0.15991428745895578,None,None
5,0,67100,5,2.2858410260494813,None,None
5,0,90120,5,1.8027838284271236,None,None
5,0,97650,5,1.4693274618949077,None,None
5,0,111780,5,1.3483342731677528,None,None
5,0,91510,5,1.4968424802366087,None,None
5,0,111900,5,1.3528424489981685,None,None
5,0,115250,5,1.5267221366242616,None,None
5,0,293410,5,1.2475385280882356,None,None
5,0,86550,5,inf,None,None
5,0,101860,5,2.656335484191268,None,None
6,0,61420,5,2.1110336313453466,None,None
6,0,113070,5,1.4710085237635322,None,None
6,0,102620,5,1.3521767909448847,None,None
6,0,96310,5,1.5364475498409276,None,None
6,0,100320,5,1.5700734757135473,None,None
6,0,93890,5,1.2528757984096506,None,None
6,0,104340,5,1.4201410856128804,None,None
6,0,112790,5,1.2274690503768904,None,None
6,0,180890,5,0.9798406275870226,None,None
6,0,236660,5,0.42489256866208985,None,None
7,0,77940,5,2.0540229906396172,None,None
7,0,102730,5,1.355016137425799,None,None
7,0,87330,5,1.570240788785215,None,None
7,0,108710,5,1.385310580557245,None,None
7,0,88460,5,1.5803282026250391,None,None
7,0,99360,5,1.4258926125668427,None,None
7,0,99650,5,1.397790504897362,None,None
7,0,115050,5,1.3783394941348923,None,None
7,0,192270,5,1.1196730898957117,None,None
7,0,117960,5,2.3931933404459715,None,None
8,0,66610,5,2.200154253623277,None,None
8,0,96950,5,1.3895006123354001,None,None
8,0,95620,5,1.406701178383505,None,None
8,0,98210,5,1.5547743755480798,None,None
8,0,99210,5,1.3514987705049653,None,None
8,0,92850,5,1.3579841039476879,None,None
8,0,120950,5,1.5760986952442442,None,None
8,0,85360,5,2.6518589238285584,None,None
8,0,70630,5,2.7638339463412676,None,None
8,0,97220,5,2.598954701641651,None,None
9,0,64040,5,2.1145263268616032,None,None
9,0,84640,5,1.442576289709334,None,None
9,0,94700,5,1.5246685274283995,None,None
9,0,121730,5,1.3537536636063447,None,None
9,0,114760,5,0.9369748152311596,None,None
9,0,111210,5,0.961916852795568,None,None
9,0,181840,5,0.774649010641081,None,None
9,0,267970,5,0.43955913292104914,None,None
9,0,313040,5,0.11450334477759072,None,None
9,0,262170,5,0.10678683599631592,None,None
10,0,74740,5,2.0647667734411987,None,None
10,0,96560,5,1.3461975090518539,None,None
10,0,120630,5,1.293597814049752,None,None
10,0,94440,5,1.661270500533177,None,None
10,0,105840,5,1.240882192630328,None,None
10,0,96720,5,1.181161893097202,None,None
10,0,115650,5,0.9731823398824366,None,None
10,0,135930,5,0.7699444219785819,None,None
10,0,192570,5,0.6294400290439078,None,None
10,0,290830,5,0.10727982928349528,None,None
11,0,90520,5,1.846948169767698,None,None
11,0,92880,5,1.5084841802018298,None,None
11,0,107990,5,1.060415186849276,None,None
11,0,137730,5,1.0426472964635451,None,None
11,0,148350,5,1.1378992359483053,None,None
11,0,169490,5,0.875701698128592,None,None
11,0,343620,5,0.10516155312287559,None,None
11,0,387730,5,0.09359182535372933,None,None
11,0,384830,5,0.1283051965021925,None,None
11,0,358030,5,0.10431150990037143,None,None
12,0,70820,5,2.1551855320399222,None,None
12,0,109750,5,1.476199170925006,None,None
12,0,89240,5,1.453559844158714,None,None
12,0,89840,5,1.5530289774025836,None,None
12,0,92890,5,1.517402987849965,None,None
12,0,114530,5,1.421618105460754,None,None
12,0,137310,5,1.4463463495591915,None,None
12,0,70700,5,2.80678794197109,None,None
12,0,72420,5,2.882762908633036,None,None
12,0,80530,5,2.7734118993746377,None,None
13,0,70710,5,2.07625999238623,None,None
13,0,105840,5,1.2782459089433449,None,None
13,0,114870,5,1.3505684872630859,None,None
13,0,93980,5,1.2743536896493919,None,None
13,0,111490,5,1.3381437627110568,None,None
13,0,179640,5,1.073282982994537,None,None
13,0,142330,5,1.947226969188732,None,None
13,0,111090,5,1.60205202210248,None,None
13,0,313990,5,0.10556391230085178,None,None
13,0,400220,5,0.09467385516669297,None,None
14,0,70290,5,1.9004624738499107,None,None
14,0,92500,5,1.4275658952876702,None,None
14,0,116800,5,1.0971556356492442,None,None
14,0,104790,5,1.123532132424098,None,None
14,0,130690,5,0.9575223901399491,None,None
14,0,164240,5,0.7972211640022894,None,None
14,0,174700,5,0.7060781505884518,None,None
14,0,227600,5,0.37303094460256525,None,None
14,0,166610,5,0.7308007758253263,None,None
14,0,127440,5,0.8887699255243148,None,None
15,0,71940,5,2.025124459952481,None,None
15,0,109900,5,0.9247058282097239,None,None
15,0,109700,5,1.1775087050921493,None,None
15,0,132340,5,0.9744497693162889,None,None
15,0,142560,5,0.8822915450150305,None,None
15,0,162320,5,0.7188166356391482,None,None
15,0,196770,5,0.5191010745964432,None,None
15,0,135130,5,1.0706901700282991,None,None
15,0,125230,5,1.3016702940083589,None,None
15,0,120920,5,1.3058662662368052,None,None
16,0,76640,5,1.9714528191292309,None,None
16,0,104570,5,1.174969325809647,None,None
16,0,110790,5,1.3554898228215961,None,None
16,0,94340,5,1.3877343105087754,None,None
16,0,103310,5,1.190657584904597,None,None
16,0,130130,5,0.8865450858121068,None,None
16,0,193700,5,0.7995483539532651,None,None
16,0,285100,5,0.5151840675538812,None,None
16,0,122800,5,1.2755577186375573,None,None
16,0,122990,5,1.025630845386164,None,None
17,0,63440,5,2.1246148013548902,None,None
17,0,91100,5,1.474602232200554,None,None
17,0,96490,5,1.550272503072488,None,None
17,0,93000,5,1.4557238846547964,None,None
17,0,105850,5,1.2850870675415536,None,None
