data_id,trial,plan_iters,plan_time,best_cost,success_metric,maneuverability_metric
0.010,0,6060,10,0.6456624090589335,0.0,0.9995749529935343
0.010,0,5940,10,0.1466633562792018,0.0,0.9994757057177919
0.010,0,7960,10,0.010231569178258994,0.0,1.0
0.010,0,9820,10,0.0006174362617762748,0.0,0.8572459872843365
0.010,0,9330,10,0.00208590310999348,0.0,1.0
0.010,0,8490,10,0.0005118444151597699,0.0,1.0
0.010,0,9490,10,1.3096295004731348e-05,0.0,0.0
0.010,0,4790,10,0.26072646447854786,0.0,1.0
0.010,0,4780,10,0.3598050336212244,0.0,0.9997749638819996
0.010,0,3960,10,0.34132624392623684,0.0,0.9997240844352218
1,0,5600,10,0.7764237656537222,0.0,0.9998875552533267
1,0,6070,10,0.09722035864371438,0.0,0.9956798154932468
1,0,6780,10,0.06356926726010302,0.0,1.0
1,0,8540,10,0.022342522315427785,0.0,0.9709443079077407
1,0,9710,10,0.012519714582785868,0.0,0.9717660557129729
1,0,6680,10,0.05270230988326838,0.03470373265457643,1.0
1,0,5460,10,0.05251918289733802,0.9460014263858576,1.0
1,0,5610,10,0.010435728732107795,0.9892839140186382,1.0
1,0,6510,10,0.02548943025652721,0.8609022304885244,0.9967461017830277
1,0,10130,10,0.00010307365725630306,1.0,0.0
2,0,4780,10,0.8667339469058757,0.0,1.0
2,0,4780,10,0.08517640640828934,0.0,1.0
2,0,8300,10,0.01858532436463925,0.0,0.9723085851068342
2,0,5660,10,0.07239364017039455,0.06455725363330461,1.0
2,0,4730,10,0.02187742111415578,0.9041526416912218,0.9907642318460302
2,0,3580,10,0.04714843373379908,0.9920164231016607,1.0
2,0,4620,10,0.836960908706018,0.8611788884998187,1.0
2,0,4390,10,0.8575132698537964,0.8621729130057193,0.9997794336757022
2,0,4490,10,0.9240788726534207,0.9104949603586151,0.99983409283594
2,0,4660,10,0.8830777888342735,0.8620034579934699,0.9997264597989547
3,0,5550,10,0.8033137759809384,0.0,0.9996808275215572
3,0,5020,10,0.11368445288709214,0.0,1.0
3,0,7170,10,0.011371967811693575,0.0,1.0
3,0,8730,10,0.02191680318364936,0.0,1.0
3,0,6890,10,0.007659802378551428,0.9204911779134615,1.0
3,0,3310,10,0.20369562936168126,0.9195522065513675,1.0
3,0,3780,10,0.8109192624788084,0.9967307989353549,0.9995373591657792
3,0,4060,10,1.098315690862512,0.9682932959203386,0.9999505256457792
3,0,4690,10,1.26072980415683,0.9718633105625701,0.999932636310245
3,0,4090,10,1.0681712491133386,0.9775958490227225,0.9999439299155849
4,0,5230,10,0.7409900672645248,0.0,0.9998660749899357
4,0,5750,10,0.12990546287490864,0.0,0.9990143543114265
4,0,8260,10,0.03190404461744217,0.0,0.9938420706408916
4,0,9680,10,0.000581592738508178,0.0,1.0
4,0,8360,10,0.0012065606455130063,0.0,0.9001760959204408
4,0,8550,10,8.392427692244806e-05,0.0,1.0
4,0,9400,10,9.881097921789726e-05,0.0,0.0
4,0,7480,10,8.855070069662243e-05,0.0,0.0
4,0,5150,10,0.00011494035895728578,0.49991379473163616,0.0
4,0,6340,10,4.3887073561532024e-05,0.0,0.0
5,0,5160,10,0.7830465323346946,0.0,0.9998649711612508
5,0,5650,10,0.09417727201790387,0.0,0.9975717810370356
5,0,6530,10,0.04322303200155985,0.0,1.0
5,0,4960,10,0.02062374911401331,0.4489713479550307,0.9768341631573136
5,0,4120,10,10,0.9937918837166188,1.0
5,0,3570,10,0.9080311442623857,1.0,0.9998176513672674
5,0,4420,10,1.2202538825783638,0.9722958879532302,0.9998272804817112
5,0,4720,10,1.1346215387824174,0.9781688446288938,0.999797501513727
5,0,4450,10,1.0506605118558547,0.9908076784727786,0.9998402257423116
5,0,4060,10,1.1839076082181859,0.97906116692661,1.0
6,0,5930,10,0.6966446352067923,0.0,0.9997398722191403
6,0,6360,10,0.11302476731610292,0.0,0.9992376783531944
6,0,6960,10,0.03160705268785934,0.0,1.0
6,0,8140,10,0.01443670864739806,0.0,0.9759262532024741
6,0,5830,10,0.014196930108187832,0.8942015553960597,1.0
6,0,3620,10,0.7823851481701471,0.9720699776068167,0.9994061820014626
6,0,3690,10,1.321389993184872,0.9979451442640332,0.9999452102693921
6,0,3540,10,1.1692621281802111,0.9939034618222475,1.0
6,0,4310,10,1.022974102336909,0.9952664618124116,0.9998655691839586
6,0,4250,10,1.296636129536806,0.9891141563330258,0.9999341186050059
7,0,5110,10,0.6844366885198503,0.0,0.9991158734601472
7,0,5540,10,0.12220969503796171,0.0,1.0
7,0,8120,10,0.034392623398063656,0.0,1.0
7,0,9400,10,0.00944635281184687,0.0,1.0
7,0,9440,10,0.0011591074772170809,0.0,1.0
7,0,8890,10,0.0007856814615657183,0.0,0.9883472749855498
7,0,10010,10,1.5799469349729806e-05,0.0,0.0
7,0,3640,10,0.10279254324635975,0.0,1.0
7,0,5160,10,0.10653953354514326,0.0,0.9994619257818117
7,0,4280,10,0.09607705434070736,0.0,1.0
8,0,5140,10,0.8181918061638168,0.0,0.999903990446878
8,0,5650,10,0.14239080405990615,0.0,0.9993966762129243
8,0,8010,10,0.014923848904067429,0.0,1.0
8,0,9310,10,0.0040503383421820974,0.0,0.9934249453948659
8,0,10860,10,0.002123517003833805,0.0,1.0
8,0,7470,10,0.005434944140424559,0.0,0.9914489540337347
8,0,9690,10,2.4886003434460837e-05,0.0,0.0
8,0,7980,10,2.9283892436558962e-05,0.0,1.0
8,0,9470,10,1e-05,0.0,0.0
8,0,10100,10,1e-05,0.0,0.0
9,0,5060,10,0.774006318911782,0.0,0.9997800429042885
9,0,5350,10,0.13137048935482692,0.0,0.9993993755292733
9,0,6030,10,0.10522850570155991,0.0,1.0
9,0,8850,10,0.013376628728078745,0.0,1.0
9,0,9810,10,0.005602063084893119,0.0,1.0
9,0,10210,10,0.004260807262499992,0.0,1.0
9,0,8200,10,0.0008705997560550218,0.0,1.0
9,0,8460,10,0.0014744087847931228,0.0,0.9945405804706619
9,0,9300,10,1e-05,0.0,0.0
9,0,4910,10,0.29805742245301053,0.0,0.9995750803254436
10,0,4740,10,0.7815363932077847,0.0,1.0
10,0,6420,10,0.050100756244326874,0.0,0.9952851153231994
10,0,8640,10,0.007209814483963273,0.0,0.9602969744810197
10,0,9650,10,0.005714078631787724,0.0,1.0
10,0,10930,10,0.00016850461398287597,0.0,0.6000926155940665
10,0,11830,10,1.8479478333259026e-05,0.0,0.0
10,0,12430,10,1e-05,0.0,0.0
10,0,9740,10,1e-05,0.0,0.0
10,0,6960,10,1e-05,0.0,0.0
10,0,9610,10,1e-05,0.0,0.0
11,0,5350,10,0.8002833362921462,0.0,0.9995350593105146
11,0,5040,10,0.18560453992780937,0.0,1.0
11,0,6480,10,0.04199152416981991,0.0,1.0
11,0,5360,10,0.04272624819246581,0.41464676077244517,1.0
11,0,3440,10,0.6884855029944154,0.974003765523271,0.999759999288641
11,0,3650,10,1.1534799591276939,0.9992433129571479,0.9999267061081192
