data_id,trial,plan_iters,plan_time,best_cost,success_metric,maneuverability_metric
0,0,500,10000,inf,0.0,0.9879344068895053
1,0,500,10000,inf,0.0,0.5048001497724879
2,0,500,10000,inf,0.07192319554586965,0.7445756014872511
3,0,500,10000,inf,0.0,0.9779177811079085
4,0,500,10000,inf,7.259961335152032e-05,0.9442333860508998
5,0,500,10000,inf,0.0,0.9282511701457308
6,0,500,10000,inf,0.0,0.9721447335454974
7,0,500,10000,inf,0.0,0.8870916882050968
8,0,500,10000,inf,0.0002277155099297965,0.7520122146403967
9,0,500,10000,inf,0.0,0.9485184190104486
10,0,500,10000,inf,0.0,0.9726106795360419
11,0,500,10000,inf,0.0,0.36850840720581113
12,0,500,10000,inf,0.1619959576982932,0.562341385829207
13,0,500,10000,inf,0.0,0.3255883310402794
14,0,500,10000,inf,0.0,0.9469115669682566
15,0,500,10000,inf,0.0,0.9154532398861907
16,0,500,10000,inf,0.048872667414010675,0.4241062581887638
17,0,500,10000,inf,0.0,0.6543942120326605
18,0,500,10000,inf,0.0,0.9899513591608161
19,0,500,10000,inf,2.2024557420795822e-05,0.9441821204751708
20,0,500,10000,inf,0.0,0.6008284381380293
21,0,500,10000,inf,0.02516129516315796,0.24047310634188734
22,0,500,10000,inf,0.004190460455595228,0.9188134816997792
23,0,500,10000,inf,1.095076827850611e-05,0.9629978797381584
24,0,500,10000,inf,0.0,0.02716622027999127
25,0,500,10000,inf,0.0,0.07238960817016171
26,0,500,10000,inf,0.0,0.9999635750210744
27,0,500,10000,inf,0.0,0.04535170470259964
28,0,500,10000,inf,0.0008104800200513499,0.15148613017743595
29,0,500,10000,inf,0.0015098728599782776,0.07927147158841952
30,0,500,10000,inf,0.04774699472719585,0.7568247820890034
31,0,500,10000,inf,0.03015495782580096,0.0753373515892376
32,0,500,10000,inf,5.707646029921648e-05,0.3099297735599197
33,0,500,10000,inf,0.0,0.8669467938239976
34,0,500,10000,inf,0.0,0.9995606492570683
35,0,500,10000,inf,0.0,0.9998897728239419
36,0,500,10000,inf,0.0,0.031304976102476845
37,0,500,10000,inf,0.0,0.02333022673483698
38,0,500,10000,inf,0.0048177576596989775,0.019768468074597756
39,0,500,10000,inf,0.019837001640534962,0.6963054369962505
40,0,500,10000,inf,0.037998120923220885,0.01739583651414789
41,0,500,10000,inf,0.0035710583327654317,0.7545038283782531
42,0,500,10000,inf,0.0,0.38762148085895076
43,0,500,10000,inf,0.0,1.0
44,0,500,10000,inf,0.0,0.974289519812062
45,0,500,10000,inf,0.0,0.06032229460012706
46,0,500,10000,inf,0.0016612640635040436,0.7602743584878202
47,0,500,10000,inf,0.0006421656397412567,0.8065471176486971
48,0,500,10000,inf,0.016862129683398213,0.42245644516291947
49,0,500,10000,inf,0.09266400803251713,0.39023283273522413
50,0,500,10000,inf,0.10806361151993712,0.3373954471779722
51,0,500,10000,inf,0.07964880764301356,0.290572047730137
52,0,500,10000,inf,0.19951541210101703,0.0
53,0,500,10000,inf,0.00019617654470084614,0.0
54,0,500,10000,inf,0.0,0.0
55,0,500,10000,inf,0.20622146233849772,0.0
56,0,500,10000,inf,0.14401919116565742,0.002103863627700653
57,0,500,10000,inf,0.0,0.0
58,0,500,10000,inf,0.0,0.8587783384608473
59,0,500,10000,inf,0.0,0.844113840970793
60,0,500,10000,inf,0.004245461439291871,0.5284171665210335
61,0,500,10000,inf,0.0,0.9652498084093889
62,0,500,10000,inf,0.0006957971062835641,0.9254860282531637
63,0,500,10000,inf,0.0,0.8740468964233262
64,0,500,10000,inf,0.01365108728290179,0.9462931688906824
65,0,500,10000,inf,0.012987077328801904,0.0
66,0,500,10000,inf,0.02717866022441993,0.0
67,0,500,10000,inf,0.0,0.9906234710029178
68,0,500,10000,inf,0.1864273860918145,0.0
69,0,500,10000,inf,0.029645767881650072,0.022522818200719774
70,0,500,10000,inf,0.0,0.9567336967686009
71,0,500,10000,inf,0.0,0.8235345482329899
72,0,500,10000,inf,0.0,0.983550323302644
73,0,500,10000,inf,0.0,0.9747103025372217
74,0,500,10000,inf,0.0,0.9838106679650559
75,0,500,10000,inf,0.0010567402525608518,0.9048253583636423
76,0,500,10000,inf,0.00016266145486880048,0.9074268881119706
77,0,500,10000,inf,0.0038195508711892055,0.938395022656796
78,0,500,10000,inf,0.004489746856554111,0.9219489964247172
79,0,500,10000,inf,0.007079089532680013,0.0031128807034509487
80,0,500,10000,inf,0.0012335474202648834,0.0
81,0,500,10000,inf,0.0,0.9636059355958863
82,0,500,10000,inf,0.0,0.9985585589760729
83,0,500,10000,inf,0.01768752483716906,0.0
84,0,500,10000,inf,0.007195442776729939,0.0
85,0,500,10000,inf,0.0,0.9134202874599902
86,0,500,10000,inf,0.001336907308177568,0.7313750250345481
87,0,500,10000,inf,0.0006084699969613785,0.9709468326977044
88,0,500,10000,inf,0.0,0.8969346378652752
89,0,500,10000,inf,0.0,0.9012553100819501
90,0,500,10000,inf,0.04305604487378898,0.8363100758267626
91,0,500,10000,inf,0.0,0.7882248233480933
92,0,500,10000,inf,0.0009242365371724761,0.8915523890069851
93,0,500,10000,inf,0.0,0.9534907246279363
94,0,500,10000,inf,0.002212434960318924,0.9244013600515291
95,0,500,10000,inf,0.0,0.9797477915908392
96,0,500,10000,inf,0.0,0.9482147244609512
97,0,500,10000,inf,0.0028100626046683457,0.0
98,0,500,10000,inf,0.0011452919681104383,0.07745560210474955
99,0,500,10000,inf,0.0,0.9137508871519391
0,0,500,10000,inf,0.0,0.935198998354956
1,0,500,10000,inf,0.0,1.0
2,0,500,10000,inf,0.0,0.9999657542214321
3,0,500,10000,inf,0.0,0.9955509274130596
4,0,500,10000,inf,0.0,0.9998043652020163
5,0,500,10000,inf,0.0,1.0
6,0,500,10000,inf,0.0,0.07757133174439212
7,0,500,10000,inf,0.0,0.9892028467471092
8,0,500,10000,inf,0.0,0.025887129413883492
9,0,500,10000,inf,0.005149473222845274,0.0
10,0,500,10000,inf,0.2175042056109935,0.16064467698735174
11,0,500,10000,inf,0.006289528058941106,0.0
12,0,500,10000,inf,0.05487060246360827,0.10457483977897053
13,0,500,10000,inf,0.02239584805299399,0.6257802812576165
14,0,500,10000,inf,0.0,0.49223434724447523
15,0,500,10000,inf,0.0,0.8946760097632527
16,0,500,10000,inf,0.0,0.9880202809915105
17,0,500,10000,inf,0.0,0.9999973800155024
18,0,500,10000,inf,0.0,0.0
19,0,500,10000,inf,0.0,0.0
20,0,500,10000,inf,0.0022716526312014443,0.0
21,0,500,10000,inf,0.008072394713973648,0.0
22,0,500,10000,inf,0.15303868172318466,0.852699972785946
23,0,500,10000,inf,0.07052456924605927,0.073166075874181
24,0,500,10000,inf,0.00038071889363098735,0.8002036098246204
25,0,500,10000,inf,0.0,0.9973931673021627
26,0,500,10000,inf,0.0,0.9594814713930833
27,0,500,10000,inf,0.0,0.0
28,0,500,10000,inf,0.0004631120272106519,0.0
29,0,500,10000,inf,0.0008220626635855612,0.010862278040584372
30,0,500,10000,inf,0.0031594368084818403,0.012896897140919239
31,0,500,10000,inf,0.052451766914293645,0.6844951101968952
32,0,500,10000,inf,0.33981322982748335,0.0
33,0,500,10000,inf,0.09142529818749597,0.9171396058501354
34,0,500,10000,inf,0.0,0.4894342578756139
35,0,500,10000,inf,0.0,0.9764679504252946
36,0,500,10000,inf,0.0,0.9809666886051047
37,0,500,10000,inf,0.0,0.9789779680400347
38,0,500,10000,inf,0.0,0.9719561740965451
39,0,500,10000,inf,0.0,0.9184638394707894
40,0,500,10000,inf,0.0,0.0
41,0,500,10000,inf,8.74546053695858e-05,0.0
42,0,500,10000,inf,0.001014005113168542,0.0042894880282507986
43,0,500,10000,inf,0.24014529801109022,0.0559344387288665
44,0,500,10000,inf,0.055056695941298806,0.3227508871745426
45,0,500,10000,inf,0.31554609317226845,0.9983400727161879
46,0,500,10000,inf,0.028751476835747726,0.5661368828546899
47,0,500,10000,inf,0.00014617888433229243,0.5733821281539885
48,0,500,10000,inf,0.0,0.9965832538081966
49,0,500,10000,inf,0.0,0.9958919427312932
50,0,500,10000,inf,0.0,0.9976838021476119
51,0,500,10000,inf,0.0,0.9844663987898906
52,0,500,10000,inf,0.0,0.7100654988054554
53,0,500,10000,inf,0.0,0.0
54,0,500,10000,inf,0.001557489762644108,0.014619261243562498
55,0,500,10000,inf,0.10105804409968262,0.5626446883689438
56,0,500,10000,inf,0.03475250894711863,0.386377346767214
57,0,500,10000,inf,0.010061622704246901,0.5578088108572538
58,0,500,10000,inf,0.0,0.27472950845755884
59,0,500,10000,inf,0.0,0.9879099957846497
60,0,500,10000,inf,0.0,0.9973360046527984
61,0,500,10000,inf,0.0,0.9978175010062232
62,0,500,10000,inf,0.0,0.9285949964395499
63,0,500,10000,inf,2.2744095367525225e-05,0.8080974040776231
64,0,500,10000,inf,0.019558034722271512,0.027634029362908485
65,0,500,10000,inf,0.03119299942126615,0.22456268799891888
66,0,500,10000,inf,0.3664489429600401,0.5965317852065739
67,0,500,10000,inf,0.1449775045672517,0.9236269307111568
68,0,500,10000,inf,0.16451227285845094,0.7569545057577878
69,0,500,10000,inf,0.029675374691419985,0.5826165712174849
70,0,500,10000,inf,0.02581910808208629,0.36279130426987416
71,0,500,10000,inf,0.02666125877398221,0.8715890604788425
72,0,500,10000,inf,0.0,0.9099497442237469
73,0,500,10000,inf,0.01684182061566865,0.7852461638253424
74,0,500,10000,inf,0.0,0.9068606747891497
75,0,500,10000,inf,0.02777817811468645,0.8167232037279724
76,0,500,10000,inf,0.0008429972952062549,0.9218882828261074
77,0,500,10000,inf,0.0,0.7945940441350808
78,0,500,10000,inf,0.0027092499474967425,0.9057470825720852
79,0,500,10000,inf,0.017862182385008515,0.9088802354210312
80,0,500,10000,inf,0.0,0.9504501291470616
81,0,500,10000,inf,0.0,0.7932259971187315
82,0,500,10000,inf,0.014712491117981352,0.9048033553856691
83,0,500,10000,inf,1.21994562710774e-05,0.9572415540494925
84,0,500,10000,inf,0.0,0.9496700762097299
85,0,500,10000,inf,0.0,0.9623728961859578
86,0,500,10000,inf,0.0032257450987260633,0.004327445413323305
87,0,500,10000,inf,0.034896426279497274,0.48902567464665425
88,0,500,10000,inf,0.13416270214145276,0.7504409175381099
89,0,500,10000,inf,0.033056233730585534,0.750252090325078
90,0,500,10000,505.1131728347983,0.17146734465722127,0.7505597443405517
91,0,500,10000,inf,0.0066385132781972235,0.8062653757733709
92,0,500,10000,inf,0.0,0.969416962210546
93,0,500,10000,inf,0.000892996873089532,0.9011847458866098
94,0,500,10000,inf,0.0,0.9888286402486384
95,0,500,10000,inf,0.0,0.9988888766634206
96,0,500,10000,inf,0.0,0.9922646368512964
