data_id,trial,plan_iters,plan_time,best_cost,success_metric,maneuverability_metric
0,0,500,10000,inf,0.0,0.9767752185959039
1,0,500,10000,inf,0.0,0.9719188505150881
2,0,500,10000,inf,0.0,0.9840324206183296
3,0,500,10000,inf,0.0,0.9995236498599114
4,0,500,10000,inf,0.0,0.9283405445844168
5,0,500,10000,inf,0.0,0.9474024092552803
6,0,500,10000,inf,0.0,0.9471321227436571
7,0,500,10000,inf,0.0,0.9744996786257555
8,0,500,10000,inf,0.0,0.9747213544959007
9,0,500,10000,inf,0.0,0.9789345514115146
10,0,500,10000,inf,0.0,0.0
11,0,500,10000,inf,0.0,0.0023839196153950803
12,0,500,10000,inf,0.000713260057086169,0.0
13,0,500,10000,inf,0.0015658933790225918,0.7648306393214679
14,0,500,10000,inf,0.0025274014541364354,0.9660878361758889
15,0,500,10000,inf,0.0,0.6976169384110353
16,0,500,10000,inf,0.0004989238934010235,0.9589119108596854
17,0,500,10000,inf,0.0,0.947353636824262
18,0,500,10000,inf,0.0,0.06731252594986126
19,0,500,10000,inf,2.1788055776242497e-05,0.8853207308251956
20,0,500,10000,inf,0.0,0.8876288422780714
21,0,500,10000,inf,0.0014318089065547004,0.8799921973315094
22,0,500,10000,inf,0.0,0.8661556257192651
23,0,500,10000,inf,0.000891942052957264,0.45501041727733316
24,0,500,10000,inf,0.0,0.04404548576663225
25,0,500,10000,inf,0.0016171619598975403,0.8529279383535928
26,0,500,10000,inf,0.022388278278777048,0.9765558658199137
27,0,500,10000,inf,0.002719855192353258,0.9771397395303283
28,0,500,10000,inf,0.006770505546926104,0.9406671077154424
29,0,500,10000,inf,0.006227050426046696,0.27334074678222453
30,0,500,10000,inf,0.016269860770825602,0.9375901653330042
31,0,500,10000,inf,0.027076184857765435,0.48287629727856407
32,0,500,10000,inf,0.002334718127933171,0.935552848658573
33,0,500,10000,inf,0.0026961722947430214,0.7627953063504642
34,0,500,10000,inf,0.0,0.8843407475641862
35,0,500,10000,inf,8.162547080855045e-05,0.8735822082062866
36,0,500,10000,inf,0.003412568402950011,0.0409825475781701
37,0,500,10000,inf,0.007268538779523128,0.6746909820526493
38,0,500,10000,inf,0.024425801655722217,0.09423759821110234
39,0,500,10000,inf,0.016369153673018243,0.9853847201954341
40,0,500,10000,inf,0.014605459129330353,0.725400506380576
41,0,500,10000,inf,0.001851734514835806,0.8969156645181102
42,0,500,10000,inf,0.0159028217412945,0.7358132983847565
43,0,500,10000,inf,0.01216954194693234,0.9624738552367657
44,0,500,10000,inf,0.011479102759872371,0.5271433969216622
45,0,500,10000,inf,0.017735449413526515,0.9958580902825133
46,0,500,10000,inf,0.0,0.8411475054566732
47,0,500,10000,inf,0.0,0.5585304530634125
48,0,500,10000,inf,0.00014730670561908426,0.9863374914262163
49,0,500,10000,inf,0.0,1.0
50,0,500,10000,inf,0.0,0.9807480558213043
51,0,500,10000,inf,0.0,1.0
52,0,500,10000,inf,0.0,1.0
53,0,500,10000,inf,0.0,1.0
54,0,500,10000,inf,0.0,1.0
55,0,500,10000,inf,0.0016149958452379145,0.2781858309823707
56,0,500,10000,inf,0.016928767008500975,0.1416103162681126
57,0,500,10000,inf,0.07755011256327336,0.7344457841222181
58,0,500,10000,inf,0.1621429452776492,0.8577741181807861
59,0,500,10000,inf,0.16347714647415626,0.672222108833614
60,0,500,10000,inf,0.7822287446475964,1.0
61,0,500,10000,inf,0.0,0.23422688558800375
62,0,500,10000,inf,0.0008849548025613871,0.9877227237418007
63,0,500,10000,inf,0.007585423440642256,0.9831447390401993
64,0,500,10000,inf,0.0024946324327996656,0.9968292076118919
65,0,500,10000,inf,0.008244751756905734,0.9846973458575395
66,0,500,10000,inf,0.001845770935336989,0.9909182165340015
67,0,500,10000,inf,0.0040977474437118525,0.9913763361180017
68,0,500,10000,inf,0.027963759457182196,0.96791031443729
69,0,500,10000,inf,0.0,1.0
70,0,500,10000,inf,0.006222141961374,0.9787850871957793
71,0,500,10000,inf,0.008275715234318309,0.9886458729585206
72,0,500,10000,inf,0.003981815389885608,0.9955721938021455
73,0,500,10000,inf,0.0028564390177812293,0.9892310939114546
74,0,500,10000,inf,0.0,1.0
75,0,500,10000,inf,0.11452635235759363,0.8262121642492997
76,0,500,10000,inf,0.9542957846619071,0.71940032321028
77,0,500,10000,inf,0.9915322478576345,0.08235763619538683
78,0,500,10000,inf,0.9966142606354632,1.0
79,0,500,10000,inf,0.9253587975989223,0.9997627045460796
80,0,500,10000,inf,0.8040850945148993,0.17628805489422694
81,0,500,10000,inf,0.7782859683988717,0.0001446582745839864
82,0,500,10000,inf,1.0,1.0
83,0,500,10000,inf,0.2906708350276359,0.00483553050321206
84,0,500,10000,inf,0.9486015510241892,0.9998224144051995
85,0,500,10000,inf,0.8806073492919141,1.0
86,0,500,10000,inf,0.8948077955601035,1.0
87,0,500,10000,inf,0.8291602515301572,1.0
88,0,500,10000,inf,0.8688319572932226,1.0
89,0,500,10000,inf,0.9602494269714388,1.0
90,0,500,10000,inf,0.9319366604042636,1.0
91,0,500,10000,inf,0.9896759920937385,1.0
92,0,500,10000,inf,0.7401459033286867,0.9998556054002788
93,0,500,10000,inf,0.9133134901431162,1.0
94,0,500,10000,inf,0.9054514800738174,1.0
95,0,500,10000,inf,0.9697941019053831,1.0
96,0,500,10000,inf,0.9041814209700394,1.0
97,0,500,10000,inf,0.8250215980650107,0.0
98,0,500,10000,inf,0.6375092302162035,0.0
99,0,500,10000,inf,0.6079198737558377,0.0
0,0,500,10000,inf,0.0,0.9707391947277773
1,0,500,10000,inf,0.0,0.9926579100888704
2,0,500,10000,inf,0.0,0.9204192047944036
3,0,500,10000,inf,1.1277695707497698e-06,0.9781107522417053
4,0,500,10000,inf,0.0,0.9313036299927703
5,0,500,10000,inf,0.0,0.9020598507773266
6,0,500,10000,inf,0.0,0.9547841745343898
7,0,500,10000,inf,0.0,0.9128924003550406
8,0,500,10000,inf,2.0659218067120545e-06,0.0
9,0,500,10000,inf,2.482004761847094e-05,0.005088635708456413
10,0,500,10000,inf,0.0004877234709763497,0.0
11,0,500,10000,inf,0.009449829071072901,0.0986946343280719
12,0,500,10000,inf,0.013722070664256493,0.9399445355355458
13,0,500,10000,inf,0.028537086536451532,0.13821329002135208
14,0,500,10000,inf,0.0004130982678337008,0.7677381780166004
15,0,500,10000,inf,1.1750536284714232e-05,0.0
16,0,500,10000,inf,0.00016082867069599276,0.5336391962250024
17,0,500,10000,inf,0.015821849524709962,0.0
18,0,500,10000,inf,0.004660566400533864,0.9241099819979467
19,0,500,10000,inf,0.0002293392751998594,0.1948160345156934
20,0,500,10000,inf,0.0004711233055446425,0.0
21,0,500,10000,inf,0.0,0.8240027244206708
22,0,500,10000,inf,0.0004647954581778885,0.0
23,0,500,10000,inf,0.0026737983288795653,0.0
24,0,500,10000,inf,0.03395526053495425,0.05371350973667499
25,0,500,10000,inf,0.07225772544147153,0.011212715351770375
26,0,500,10000,inf,0.44859959735311333,0.802366071708378
27,0,500,10000,inf,0.19676073141892308,0.912072180274381
28,0,500,10000,inf,0.01044029284873578,0.010028683670357474
29,0,500,10000,inf,0.00010872447119512065,0.8498992201345685
30,0,500,10000,inf,0.07549771310057078,0.0
31,0,500,10000,inf,0.21122184305071634,0.026647072524950244
32,0,500,10000,inf,0.12163290026427433,0.8473343905745926
33,0,500,10000,inf,0.006602538763810841,0.06976035826612081
34,0,500,10000,inf,0.0003759750023910806,0.0
35,0,500,10000,inf,0.0011692111125941413,0.8778115317985642
36,0,500,10000,inf,0.00011880740331799421,0.8913846926761989
37,0,500,10000,inf,0.0012553197613325996,0.8789363423150752
38,0,500,10000,inf,0.0,0.9275137227392837
39,0,500,10000,inf,0.0005028865638336294,0.9294450974208908
40,0,500,10000,inf,0.0,0.951378340163012
41,0,500,10000,inf,6.81538208147368e-05,0.808243867408762
42,0,500,10000,inf,0.002774413161824166,0.7519238694109406
43,0,500,10000,inf,0.0,0.9249728729578485
44,0,500,10000,inf,0.0,0.8869096284478267
45,0,500,10000,inf,0.023973404616748975,0.0
46,0,500,10000,inf,0.11786595294784588,0.0
47,0,500,10000,inf,0.30337497614292025,0.0004038098330859663
48,0,500,10000,inf,0.24196914082892793,0.989311482341585
49,0,500,10000,inf,0.02974342167153919,0.2688163548981398
50,0,500,10000,inf,0.030792640162993597,0.7203134761158771
51,0,500,10000,inf,0.036243557338494325,0.5259779473030219
52,0,500,10000,inf,0.1659072692819561,0.3685572373023315
53,0,500,10000,inf,0.015132666711470342,0.1623504263383173
54,0,500,10000,inf,0.0,0.0
55,0,500,10000,inf,0.0,0.9172689278283909
56,0,500,10000,inf,0.0,0.7839181110744214
57,0,500,10000,inf,0.017981605764800884,0.9087902091061573
58,0,500,10000,inf,0.06034008836892393,0.0
59,0,500,10000,inf,0.16607986635783645,0.0001925215689699833
60,0,500,10000,inf,0.6783978567276251,0.011235722102162171
61,0,500,10000,inf,0.4951013429803527,0.6343954707306529
62,0,500,10000,inf,0.7285120822618795,0.8210193286903148
63,0,500,10000,inf,0.29079525177087673,0.7176232129248905
64,0,500,10000,inf,0.7960515109301497,0.1617632838598153
65,0,500,10000,inf,0.7488106435877782,0.0
66,0,500,10000,inf,0.9728966207512044,0.4799503662801726
67,0,500,10000,inf,0.9826639750104931,0.9940597490249814
68,0,500,10000,inf,0.9890375458120894,1.0
69,0,500,10000,inf,0.8067418570638702,0.0013413165570903551
70,0,500,10000,inf,0.4173374100484623,0.0
71,0,500,10000,inf,0.03447302033780428,0.8656037198025403
72,0,500,10000,inf,0.007409544787685328,0.994433866503479
73,0,500,10000,inf,0.04775503095393292,0.721307040490546
74,0,500,10000,inf,0.0744724980811527,0.9176471381390896
