data_id,trial,plan_iters,plan_time,best_cost,success_metric,maneuverability_metric
0,0,500,10000,inf,0.0,0.9883251573327061
1,0,500,10000,inf,3.6258735151211066e-07,0.9487895385054975
2,0,500,10000,inf,0.0,0.9867507389756935
3,0,500,10000,inf,0.0,0.952111311561091
4,0,500,10000,inf,0.0,0.9627924233448312
5,0,500,10000,inf,1.4730073822624043e-06,0.9760563136610797
6,0,500,10000,inf,0.0,0.9232954485983753
7,0,500,10000,inf,0.0,0.9757768426846843
8,0,500,10000,inf,0.0,0.9969766115351129
9,0,500,10000,inf,0.0,0.9496680888101117
10,0,500,10000,inf,0.0,0.948717653921208
11,0,500,10000,inf,0.0,0.9676431569308378
12,0,500,10000,inf,0.0,0.7942166592108925
13,0,500,10000,inf,0.0,0.7608698533152594
14,0,500,10000,inf,0.0,0.9667040060079245
15,0,500,10000,inf,0.0,0.9526576200958458
16,0,500,10000,inf,1.0447155999792284e-06,0.9734152350548715
17,0,500,10000,inf,0.0,0.9762211539865514
18,0,500,10000,inf,0.0,0.968396171534862
19,0,500,10000,inf,0.0,0.9780709528722342
20,0,500,10000,inf,0.0,0.9129828666012779
21,0,500,10000,inf,0.0,0.9894980292758543
22,0,500,10000,inf,0.0,0.0
23,0,500,10000,inf,0.0,0.0
24,0,500,10000,inf,2.490265922758492e-09,0.01368384597794814
25,0,500,10000,inf,4.3665711550520577e-07,0.03326940372948306
26,0,500,10000,inf,0.0023508992747551124,0.9518995851418242
27,0,500,10000,inf,0.00483961816492874,0.9886103974008621
28,0,500,10000,inf,0.0,0.3813320274707077
29,0,500,10000,inf,0.6828743583532595,0.9986116425687894
30,0,500,10000,inf,0.8091319040859811,0.9986965951884593
31,0,500,10000,inf,0.0012225188917497011,0.00022429955496450216
32,0,500,10000,inf,0.0,0.8847295634138929
33,0,500,10000,inf,0.012091197619543078,0.9493292207475896
34,0,500,10000,inf,0.0038241676975568958,0.9175373085306442
35,0,500,10000,inf,0.0009723358662510429,0.9890543587648573
36,0,500,10000,inf,0.0,0.9655547038116461
37,0,500,10000,inf,0.0,0.9978741052645821
38,0,500,10000,inf,0.0,0.9849864835242669
39,0,500,10000,inf,0.007110534116125932,0.8710827350047805
