data_id,trial,plan_iters,plan_time,best_cost,success_metric,maneuverability_metric
0,0,500,10000,inf,0.0,0.9159682942026474
1,0,500,10000,inf,0.0,0.9794820673583322
2,0,500,10000,inf,0.0,0.951315093475854
3,0,500,10000,inf,1.0040657294027836e-06,0.9287656036602814
4,0,500,10000,inf,0.0,0.0
5,0,500,10000,inf,0.0,0.0
6,0,500,10000,inf,0.00010669165392716072,0.0
7,0,500,10000,inf,0.006799814962451145,0.1968874125768585
8,0,500,10000,inf,0.34250170135104385,0.6704644701679301
9,0,500,10000,inf,0.25724806521739463,0.7854397426829247
10,0,500,10000,inf,0.055285531634053,0.026963400925489878
11,0,500,10000,inf,0.0,0.0
12,0,500,10000,inf,0.0037854962849872657,0.6101092041839036
13,0,500,10000,inf,0.00056172529378413,0.008365145877541336
14,0,500,10000,inf,0.13790379895775526,0.7616732285039288
15,0,500,10000,inf,0.23706057113173393,0.02821147625411613
16,0,500,10000,inf,0.0013869312373144733,0.6296261894507613
17,0,500,10000,inf,0.0,0.9720129103390893
18,0,500,10000,inf,0.0,0.08933705676091219
19,0,500,10000,inf,0.0025737591066914375,0.06408496347162895
20,0,500,10000,inf,0.009833088851005017,0.0
21,0,500,10000,inf,0.030578409443171996,0.0
22,0,500,10000,inf,0.34840066083535487,0.9118841510416964
23,0,500,10000,inf,0.33894186054761555,0.8719290515628889
24,0,500,10000,inf,0.40366354378499675,0.01758980508130681
25,0,500,10000,inf,0.5914297289745111,0.8847635652029009
26,0,500,10000,inf,0.58864430332948,0.8194042124330259
27,0,500,10000,inf,0.4301175862594484,0.9953040165898055
28,0,500,10000,inf,0.22949540883184943,0.6739272200042687
29,0,500,10000,inf,0.2491800758007371,0.4994783897735877
30,0,500,10000,inf,0.05279406170013202,0.5228688486833212
31,0,500,10000,inf,0.03547650200702467,0.6286726653736283
32,0,500,10000,inf,0.040919168929615404,0.676797237200706
33,0,500,10000,inf,0.3000996444880828,0.8060771179648873
34,0,500,10000,inf,0.22571960032146907,0.9749537026564428
35,0,500,10000,inf,0.0898367944838414,0.7337492838336089
36,0,500,10000,inf,0.02054037196729358,0.4231823076416139
37,0,500,10000,inf,0.11408759468286095,0.19057334587109098
38,0,500,10000,inf,0.2145772975162156,0.7049915931927909
39,0,500,10000,inf,0.7202683885189053,0.9040369474725989
40,0,500,10000,inf,0.46546827851759853,0.9812506340994324
41,0,500,10000,inf,0.13664512864818,0.7245993307865977
42,0,500,10000,inf,0.14822180348166297,0.17393018746713929
43,0,500,10000,inf,0.26234803196990086,0.37701466368124814
44,0,500,10000,inf,0.6958263860105574,0.7151342140434982
45,0,500,10000,inf,0.8021666757876512,0.9050177975852036
46,0,500,10000,inf,0.8377331272907312,0.8335447366830767
47,0,500,10000,inf,0.9199468541073592,0.8508712983112046
48,0,500,10000,inf,0.5445388504176157,0.9243095242279252
49,0,500,10000,inf,0.47194859421296037,0.34539330219911935
50,0,500,10000,inf,0.0011268252028442966,0.9785102200731666
51,0,500,10000,inf,0.03720051026488607,0.9591554332675619
52,0,500,10000,inf,0.0006208722788530741,0.9978537895461458
53,0,500,10000,inf,0.005203777287260116,0.9879758503649174
