data_id,trial,plan_iters,plan_time,best_cost,capture_exists_score,capture_score,success_exists_score,success_score,runtime
0,0,300,10000,inf,0.8991954340504396,0.008217436385327152,0.010476215526723398,0.0,0.8665986061096191
1,0,300,10000,inf,0.9662992892374295,0.057694930519622566,0.7717803614929238,0.0,0.6196930408477783
2,0,300,10000,inf,0.9803652276428027,0.09012023236335093,0.5089224062052582,0.0,0.7346377372741699
3,0,300,10000,inf,1.0,0.10485225613718588,0.7783590755617542,0.0,0.6959757804870605
4,0,300,10000,inf,0.9905042217225831,0.05695162095389099,0.8871804415251642,0.0,0.6810259819030762
5,0,300,10000,inf,0.8089777303082497,0.027125178106637317,0.8948645961973095,0.0,0.5631194114685059
6,0,300,10000,inf,0.9970493317019341,0.12373100987094758,0.9759852644972989,0.1637574367955435,0.6280746459960938
7,0,300,10000,inf,0.9810520987077783,0.09074528965186658,1.0,0.22842932142230743,0.6273984909057617
8,0,300,10000,inf,0.9857288277421835,0.04705564094668257,1.0,0.24480927892676177,0.6288235187530518
9,0,300,10000,inf,0.9922753636023582,0.42530269508551277,1.0,0.6966197962893139,0.5980031490325928
10,0,300,10000,inf,0.8991747334550154,0.030701548025713888,0.032022752604884186,0.0,0.7679233551025391
11,0,300,10000,inf,0.8915094631150899,0.0049517442641535524,0.42714723372337726,0.0,0.6346771717071533
12,0,300,10000,inf,1.0,1.0,0.0,0.0,1.2050793170928955
13,0,300,10000,inf,1.0,0.3733233051653346,0.8921048949631167,0.40827970953075254,0.579190731048584
14,0,300,10000,inf,0.4333659058513777,0.00656742922912226,0.0,0.0,0.47283291816711426
15,0,300,10000,inf,0.9916735800614769,0.006175027865283057,1.0,0.0,0.5705008506774902
16,0,300,10000,inf,1.0,0.0,0.0,0.0,0.3611326217651367
17,0,300,10000,inf,1.0,0.0,1.0,0.0,0.3655283451080322
18,0,300,10000,inf,1.0,0.0,1.0,0.0,0.3083779811859131
19,0,300,10000,inf,0.31608675677870246,0.004693419652498866,0.2994042023043789,0.0,0.480593204498291
20,0,300,10000,inf,0.3690957454909469,0.011443610672970903,0.0,0.0,0.6721987724304199
21,0,300,10000,inf,0.9222434865709389,0.0,0.34657558617944295,0.0,0.7088336944580078
22,0,300,10000,inf,1.0,0.0038503645263211653,0.4993745989326628,0.0,0.9471652507781982
23,0,300,10000,inf,1.0,0.003836685481322478,0.4610603723660399,0.0,0.7836775779724121
24,0,300,10000,inf,1.0,0.025772443469438692,0.9939605082225346,0.0,0.6674764156341553
25,0,300,10000,inf,1.0,0.004295426761865671,1.0,0.0,0.6057956218719482
26,0,300,10000,inf,0.9697135106705524,0.005364590692100551,1.0,0.07555212297120065,0.6331877708435059
27,0,300,10000,inf,0.9564004754002027,0.004459608488224594,1.0,0.0,0.5851879119873047
28,0,300,10000,inf,0.22552562689636457,0.004336281721882168,0.16575461428406923,0.0,0.4742295742034912
29,0,300,10000,inf,0.8894254546984619,0.005095472774753679,0.9888485559504556,0.044494003029070826,0.6022324562072754
30,0,300,10000,inf,0.9258366022430995,0.022385762316273313,0.5172866162656571,0.0,0.675936222076416
31,0,300,10000,inf,0.8106221525830686,0.0,0.2363526986730201,0.0,0.6829049587249756
32,0,300,10000,inf,0.9672955987761671,0.023439319153390686,0.10842390925129197,0.0,0.7456855773925781
33,0,300,10000,inf,0.9943156770834305,0.14119381463615793,0.5138134409275772,0.0,0.853538990020752
34,0,300,10000,inf,0.970258619580726,0.14953678268525686,0.8847567016914681,0.2806849185386902,0.6387693881988525
35,0,300,10000,inf,0.9764930303791206,0.10086417406389957,0.907107702836042,0.006974926321810433,0.6521627902984619
36,0,300,10000,inf,0.988065526469146,0.0934715842262178,0.986033709851574,0.11834057555376364,0.6629915237426758
37,0,300,10000,inf,0.9957394518486694,0.031353489208986715,1.0,0.07657118468393259,0.5496566295623779
38,0,300,10000,inf,0.9951267273109364,0.2084102707153391,1.0,0.38789712197144904,0.6050429344177246
39,0,300,10000,inf,0.8798422875639695,0.13002334092373774,0.9946122998740967,0.3529673368297664,0.5037221908569336
40,0,300,10000,inf,0.920463659601614,0.041718582263591,0.06679812072872149,0.0,0.8269062042236328
41,0,300,10000,inf,0.9079572411003544,0.004806827321085121,0.18668939629928372,0.0,0.7201690673828125
42,0,300,10000,inf,0.9402310877324151,0.13965582299539295,0.47989072026340984,0.0,0.653435468673706
43,0,300,10000,inf,0.9941878857681399,0.10492084467964481,0.7501766341265226,0.0,0.7734110355377197
44,0,300,10000,inf,0.9549280439903295,0.02379390973802615,0.9637862926704345,0.0,0.6544985771179199
45,0,300,10000,inf,0.9549356907850887,0.2245344176527931,0.9381869584196181,0.3664220305779177,0.6512432098388672
