data_id,trial,plan_iters,plan_time,best_cost,capture_exists_score,capture_score,success_exists_score,success_score,runtime
0,0,300,10000,inf,1.0,0.8101652966204616,0.0,0.0,1.0200355052947998
1,0,300,10000,inf,0.9895845881765699,0.0,0.0,0.0,1.0550265312194824
2,0,300,10000,inf,0.9950172535614209,0.8135210515604511,0.0,0.0,0.8686072826385498
3,0,300,10000,inf,0.9997284209862755,0.8520968106225657,0.002284443624661292,0.0,0.9134728908538818
4,0,300,10000,inf,0.9933648564745079,0.26841524800382915,0.022977309461270967,0.0,1.1065621376037598
5,0,300,10000,inf,1.0,0.6432091744481989,0.17251716900704117,0.004947294968663868,0.9839866161346436
6,0,300,10000,inf,1.0,0.8404266148073276,0.8057579767371379,0.13546006268861252,1.2912447452545166
7,0,300,10000,inf,1.0,1.0,0.9873092265248441,0.7695071561543315,1.7210538387298584
8,0,300,10000,inf,1.0,0.9897748745602611,1.0,1.0,1.5109682083129883
9,0,300,10000,inf,1.0,0.0,1.0,1.0,2.2228174209594727
10,0,300,10000,inf,1.0,0.9418828994000549,0.0,0.0,0.9165608882904053
11,0,300,10000,inf,1.0,0.0,0.0,0.0,1.0249454975128174
12,0,300,10000,inf,0.9701980046104446,0.8555286823005981,0.00038142119001849384,0.0,0.8873257637023926
13,0,300,10000,inf,0.9959179373961774,0.7699915972435569,0.0036240493520575123,0.0,0.9210939407348633
14,0,300,10000,inf,0.9990484232210008,0.9432007668370708,0.02236358621451362,0.003261720933179993,1.0158538818359375
15,0,300,10000,inf,1.0,0.8903478337429908,0.06531721954340863,0.0027264545531533644,0.9547533988952637
16,0,300,10000,inf,1.0,0.2238227683642456,0.7761772316357544,0.23230125021416675,1.347599983215332
17,0,300,10000,inf,1.0,0.31200273086832364,1.0,0.6832579929936015,1.600782871246338
18,0,300,10000,inf,1.0,1.0,1.0,0.3202708654071839,1.2110183238983154
19,0,300,10000,inf,1.0,1.0,1.0,0.5580423684122118,1.262073040008545
20,0,300,10000,inf,1.0,0.006156751211581703,0.0,0.0,0.9322013854980469
21,0,300,10000,inf,0.9454633000403867,0.0,0.0,0.0,1.0121276378631592
22,0,300,10000,inf,0.9917449576496142,0.675581250855687,0.0002481101862086277,0.0,0.8217165470123291
23,0,300,10000,inf,0.991571940506029,0.5196956688117337,0.01047744912709836,0.0,1.0615510940551758
24,0,300,10000,inf,0.9994825670830334,0.26017682952313065,0.08045295539892361,0.0,0.7807753086090088
25,0,300,10000,inf,1.0,0.9684016353898646,0.2754064081569976,0.06860314636906027,1.275700569152832
26,0,300,10000,inf,1.0,0.6885523315562639,0.5135878004802237,0.25167663001105756,1.4759232997894287
27,0,300,10000,inf,1.0,0.9921441369787265,1.0,0.7130040478616667,1.5993609428405762
28,0,300,10000,inf,1.0,1.0,1.0,0.9629617997861499,1.6956274509429932
29,0,300,10000,inf,1.0,0.0408262908574569,1.0,0.8962010769946483,1.801630973815918
30,0,300,10000,inf,1.0,0.008004493687983194,0.0,0.0,0.9777388572692871
