data_id,trial,plan_iters,plan_time,best_cost,capture_exists_score,capture_score,success_exists_score,success_score,runtime
0,0,300,10000,inf,1.0,0.006600497674450115,0.0,0.0,0.2374579906463623
1,0,300,10000,inf,0.5715264787625303,0.0,0.0,0.0,0.2843024730682373
2,0,300,10000,inf,0.973817892505341,0.9058430403884122,0.0,0.0,0.270618200302124
3,0,300,10000,inf,0.9595573146546869,0.8522232533126327,0.05506505429347108,0.03931793323724797,0.2613661289215088
4,0,300,10000,inf,1.0,0.5552596000012338,0.32955530665549615,0.19006473415648026,0.3214757442474365
5,0,300,10000,inf,1.0,0.38647060503443964,0.5739660268283304,0.36583235659763,0.33350658416748047
6,0,300,10000,inf,1.0,0.0,0.992596135900751,0.8503896500884591,0.3615875244140625
7,0,300,10000,inf,1.0,0.4084832861741773,1.0,1.0,0.5713138580322266
8,0,300,10000,inf,1.0,0.9703966718058717,1.0,1.0,0.5831034183502197
9,0,300,10000,inf,1.0,0.9967224519750854,1.0,1.0,0.5520706176757812
10,0,300,10000,inf,1.0,0.0,0.0,0.0,0.2411637306213379
11,0,300,10000,inf,0.837401401301535,0.0,0.0,0.0,0.2595853805541992
12,0,300,10000,inf,0.9220847978200336,0.8001168938130903,0.021023502704823782,0.002095798516741327,0.22600507736206055
13,0,300,10000,inf,1.0,0.9472801044216904,0.07008375107719189,0.04425815958327267,0.2567782402038574
14,0,300,10000,inf,1.0,1.0,0.3364661787612143,0.3005019460296668,0.33941650390625
15,0,300,10000,inf,1.0,1.0,0.7735703848807532,0.6806696211119205,0.407512903213501
16,0,300,10000,inf,1.0,1.0,1.0,1.0,0.4930694103240967
17,0,300,10000,inf,1.0,1.0,1.0,1.0,0.624103307723999
18,0,300,10000,inf,1.0,1.0,1.0,1.0,0.6153848171234131
19,0,300,10000,inf,1.0,1.0,1.0,1.0,0.600846529006958
20,0,300,10000,inf,1.0,1.0,0.0,0.0,0.2653939723968506
21,0,300,10000,inf,0.8976901410190018,0.0,0.0,0.0,0.277393102645874
22,0,300,10000,inf,0.9883225735880169,0.8819641120521459,0.0,0.0,0.25362229347229004
23,0,300,10000,inf,0.9986918136867123,0.7436109707340608,0.0434477109482766,0.0,0.23450517654418945
24,0,300,10000,inf,1.0,0.43486653959237564,0.17952407573893525,0.0,0.26901745796203613
25,0,300,10000,inf,1.0,0.0,0.5681889710140109,0.0,0.3422873020172119
26,0,300,10000,inf,1.0,0.0,0.929789412713809,0.0,0.3636298179626465
27,0,300,10000,inf,1.0,0.0,1.0,0.0,0.43274593353271484
28,0,300,10000,inf,1.0,0.21503547978732016,1.0,0.0,0.5552031993865967
29,0,300,10000,inf,1.0,0.1175931286995704,1.0,0.0,0.5662698745727539
30,0,300,10000,inf,1.0,1.0,0.0,0.0,0.21704483032226562
31,0,300,10000,inf,0.9379238602109541,0.0,0.0,0.0,0.24066829681396484
32,0,300,10000,inf,0.7610836846126355,0.7610836846126352,0.013644847851115083,0.009922958911500229,0.2081141471862793
33,0,300,10000,inf,1.0,1.0,0.11198713102905555,0.09553363892284122,0.23124027252197266
34,0,300,10000,inf,1.0,1.0,0.4012010565159696,0.3143871526884429,0.31821179389953613
35,0,300,10000,inf,1.0,1.0,0.8790673412235651,0.7442724389239396,0.4220609664916992
36,0,300,10000,inf,1.0,1.0,1.0,1.0,0.563640832901001
37,0,300,10000,inf,1.0,1.0,1.0,1.0,0.551563024520874
38,0,300,10000,inf,1.0,1.0,1.0,1.0,0.5337622165679932
39,0,300,10000,inf,1.0,1.0,1.0,1.0,0.5668022632598877
40,0,300,10000,inf,1.0,0.016138808970194693,0.0,0.0,0.2490711212158203
41,0,300,10000,inf,0.8995202393921807,0.0,0.0,0.0,0.24138760566711426
42,0,300,10000,inf,0.8410176471659984,0.5051539007012863,0.029213313098605642,0.0,0.23812389373779297
43,0,300,10000,inf,0.9583116359465974,0.889272211861308,0.09883357641229484,0.05087032492994438,0.2469322681427002
44,0,300,10000,inf,1.0,0.6508370539096081,0.24293130799060525,0.08529379981915942,0.2742948532104492
45,0,300,10000,inf,1.0,0.22797262357445203,0.5734410374819603,0.332094643488312,0.32772207260131836
46,0,300,10000,inf,1.0,0.0,0.9928444623941037,0.7887900455577366,0.3127567768096924
47,0,300,10000,inf,1.0,0.00792858601236187,1.0,1.0,0.32445430755615234
48,0,300,10000,inf,1.0,0.0,1.0,1.0,0.6392362117767334
49,0,300,10000,inf,1.0,0.0,1.0,1.0,0.6261265277862549
50,0,300,10000,inf,1.0,1.0,0.0,0.0,0.37624502182006836
51,0,300,10000,inf,1.0,0.0,0.0,0.0,0.3057527542114258
52,0,300,10000,inf,0.9915872538282514,0.6204143327170885,0.08068304379738633,0.0,0.27370643615722656
53,0,300,10000,inf,1.0,0.9017386176901325,0.11881384611066192,0.0,0.29709506034851074
54,0,300,10000,inf,1.0,0.8533112536945118,0.2544218181913781,0.0,0.2849886417388916
