data_id,trial,plan iters,plan time,best cost
0.0,0,33390,12,0.6528894864365454
1.0,0,37660,12,0.611047122241025
2.0,0,35870,12,0.6502969688694821
3.0,0,33180,12,0.5700179132292174
4.0,0,35680,12,0.6386604432364311
5.0,0,36100,12,0.5611425009033457
6.0,0,36450,12,0.5590018340476034
7.0,0,35040,12,0.6232385374944638
8.0,0,36330,12,0.5407004844905318
9.0,0,29300,12,0.6334083549454155
10.0,0,30270,12,0.6213344900736583
11.0,0,34980,12,0.5374117794924838
12.0,0,33950,12,0.5569092565948882
13.0,0,57210,12,5.867364514053362
14.0,0,33020,12,0.6808682746861382
15.0,0,36390,12,0.5584410769679805
16.0,0,34900,12,0.5815947230397029
17.0,0,44750,12,0.6358216287881593
18.0,0,46790,12,0.5238920280887065
19.0,0,42970,12,0.6235723829776315
20.0,0,45810,12,0.513172446830606
21.0,0,40370,12,0.5947174716555002
22.0,0,42450,12,0.5127575488478756
23.0,0,44540,12,0.5113666826418796
24.0,0,49340,12,0.3804170369339132
25.0,0,51770,12,0.38241800570710605
26.0,0,51110,12,0.3974473120409969
27.0,0,36630,12,0.5625421937287358
28.0,0,37420,12,0.541522239659988
29.0,0,38360,12,0.47906923743608776
30.0,0,34420,12,0.4927602398535579
31.0,0,36450,12,0.4255000186520082
32.0,0,40930,12,0.3959548116146031
33.0,0,44660,12,0.3352893391326924
34.0,0,39920,12,0.540349484101095
35.0,0,42010,12,0.6107605108108013
36.0,0,45750,12,0.5018605976430067
37.0,0,38530,12,0.4778510469648858
38.0,0,49740,12,0.33219598367076564
39.0,0,161450,12,0.0012316250676668553
40.0,0,166180,12,0.005137837507772593
41.0,0,165070,12,0.001414798128989022
42.0,0,168670,12,0.0016002930335471603
43.0,0,169040,12,0.00211658882533724
44.0,0,59470,12,3.5016059982620193
45.0,0,66400,12,3.7029384353296853
46.0,0,56140,12,3.4343159750066334
47.0,0,62770,12,3.202030467306849
48.0,0,74380,12,2.733264821236936
49.0,0,70730,12,2.3791509578159262
50.0,0,73590,12,3.0044778931052294
51.0,0,52850,12,3.5826527551214524
52.0,0,52580,12,3.285942394938939
53.0,0,68570,12,3.097019043293701
54.0,0,66300,12,2.473824117883072
55.0,0,69070,12,3.029809125410616
56.0,0,61340,12,2.8861667074168462
57.0,0,82140,12,2.5529600930906717
58.0,0,67570,12,2.58614331937972
59.0,0,65660,12,2.7780916155912254
60.0,0,39100,12,0.5099827488419689
61.0,0,37900,12,0.5259839212630778
62.0,0,39780,12,0.46061379941840275
63.0,0,37610,12,0.3980396263996878
64.0,0,41780,12,0.37906718659229477
65.0,0,40400,12,0.4178083553802153
66.0,0,45440,12,0.31861142848197543
67.0,0,74640,12,0.23358823056377256
68.0,0,85290,12,0.16526243331380952
69.0,0,97880,12,0.1007624882871424
70.0,0,148110,12,0.04985950221321729
71.0,0,166660,12,0.0030066338970676275
72.0,0,168040,12,0.0038101492510543068
73.0,0,169140,12,0.009224258080358923
74.0,0,36440,12,0.737193512085931
75.0,0,38030,12,0.9288247381059647
76.0,0,35430,12,0.7786226106407917
77.0,0,33430,12,0.8491223376471585
78.0,0,32250,12,0.8440788279524635
79.0,0,40360,12,0.7303962574331841
80.0,0,36550,12,0.7177919941045505
81.0,0,33830,12,0.705298910100876
82.0,0,33630,12,0.8560019743510279
83.0,0,39200,12,2.648936142637944
84.0,0,153420,12,inf
85.0,0,40220,12,0.6408304063600541
86.0,0,38440,12,0.5967805697177423
87.0,0,42560,12,0.5443828423596042
88.0,0,42430,12,0.6358027104947017
89.0,0,45390,12,0.5813322900207085
90.0,0,42490,12,0.6251798771489965
91.0,0,46470,12,0.5357581566772073
92.0,0,41860,12,0.5854165852126081
93.0,0,41210,12,0.5845375323480366
94.0,0,48670,12,0.4740814105057467
95.0,0,46960,12,0.572191263552938
96.0,0,44330,12,0.5234608956740651
97.0,0,45230,12,0.5977658142168386
98.0,0,42620,12,0.5673956217803265
99.0,0,40200,12,0.631004660667178
100.0,0,46000,12,0.5295574717301157
101.0,0,44940,12,0.5404121425034107
102.0,0,37670,12,0.5702497205715396
