data_id,trial,plan iters,plan time,best cost
0,0,31280,20,1.0302740711260334
1,0,31110,20,1.0601230753968856
2,0,27510,20,1.0225332102085314
3,0,28950,20,1.0289489503610796
4,0,31980,20,0.9999043999169912
5,0,28780,20,1.0350540359450042
6,0,30850,20,1.0346586397760182
7,0,31250,20,0.9646173816961003
8,0,32160,20,0.9145623473160137
9,0,28660,20,0.9667011560144956
10,0,28850,20,1.0061936596553147
11,0,27950,20,0.9849221474374416
12,0,31250,20,1.0121233832101881
13,0,49960,20,5.300303611842698
14,0,36330,20,0.9074261661075758
15,0,33060,20,0.8593160199703067
16,0,31640,20,0.8478593984203681
17,0,30010,20,1.7045884559915683
18,0,32870,20,1.560284258699955
19,0,29360,20,1.7866259588141145
20,0,30200,20,1.5892115334106858
21,0,24800,20,1.8016886064358055
22,0,29030,20,1.427314814626094
23,0,24380,20,1.637446669985545
24,0,27810,20,1.4321320868565384
25,0,29480,20,1.5564841183043279
26,0,27220,20,1.2708783889704254
27,0,25980,20,1.3321878340827493
28,0,28360,20,1.2944733914940034
29,0,26400,20,1.3285182752067355
30,0,23180,20,1.2294922478207764
31,0,25910,20,1.1956040897276035
32,0,24950,20,1.1062942464050713
33,0,26250,20,1.1534082908735912
34,0,21540,20,inf
35,0,27680,20,1.6631202445968527
36,0,25720,20,1.6455693535436224
37,0,26090,20,1.5435632465911096
38,0,25900,20,1.327183859867135
39,0,201570,20,0.004430156708776331
40,0,205060,20,0.001036107077146032
41,0,210240,20,0.004048259563459946
42,0,209570,20,0.0016339425823529978
43,0,208380,20,0.0034467099466552746
44,0,86100,20,3.1515793864476107
45,0,77880,20,3.4144704951437057
46,0,81530,20,3.3532311901421603
47,0,81650,20,2.887369256162885
48,0,89520,20,2.77048235325152
49,0,69980,20,3.3371433749587642
50,0,90130,20,2.534033625818883
51,0,80030,20,2.864422793507664
52,0,79290,20,2.656753178032559
53,0,79290,20,2.8223599521307676
54,0,72960,20,3.325144570751536
55,0,90670,20,2.5325158359830744
56,0,75400,20,3.1076136631493045
57,0,77950,20,2.692537577800884
58,0,72120,20,3.019564699391694
59,0,62210,20,3.587381753136733
60,0,33130,20,0.9690089166615046
61,0,31180,20,0.9896566638079829
62,0,33030,20,0.8979630695510153
63,0,31450,20,0.8610311622250191
64,0,30110,20,0.8108860898354376
65,0,29830,20,0.7604552067967112
66,0,32400,20,0.7401402396178107
67,0,81380,20,0.24633534680793984
68,0,87240,20,0.2126974195413469
69,0,102580,20,0.15094055179553226
70,0,137290,20,0.10251082855430002
71,0,164050,20,0.05223615613931219
72,0,212420,20,0.0018440387780335997
73,0,212030,20,0.00199356850629946
74,0,38110,20,1.2104793745122455
75,0,31810,20,1.3659792608993442
76,0,36310,20,1.2306441264501573
77,0,37390,20,1.2412778528490103
78,0,27850,20,1.589237805818164
79,0,29420,20,1.1039239009809603
80,0,30890,20,1.4412529434869459
81,0,33960,20,1.1035045457750312
82,0,36240,20,1.237416639071885
83,0,34710,20,1.2569230235485875
84,0,188840,20,inf
85,0,32060,20,1.6740331533237158
86,0,29700,20,1.4827790306732087
87,0,26730,20,1.769111855887933
88,0,29430,20,1.6691132872427603
89,0,30630,20,1.9268057880424196
90,0,31880,20,1.5680720411510976
91,0,32190,20,1.504208494799259
92,0,29670,20,1.6218278356978855
93,0,35470,20,1.4863039642341391
94,0,30420,20,1.6253221385648087
95,0,28720,20,1.6683750983171832
96,0,35100,20,1.4366422239946082
97,0,33050,20,1.4937247358744996
98,0,27790,20,1.6833573983331522
99,0,33840,20,1.4600905584322397
100,0,27620,20,1.7230886579849627
101,0,27280,20,1.4575036960492282
102,0,28260,20,1.6035662556385315
103,0,29900,20,1.4186735423118237
104,0,34070,20,1.49822608504852
105,0,38270,20,1.4720233397965719
106,0,32470,20,1.5897492632136334
107,0,30860,20,1.5524878741479808
108,0,32690,20,1.478301927710331
109,0,37920,20,1.4056909660251635
110,0,34770,20,1.3813407123808596
111,0,35370,20,1.4230015291984741
112,0,29130,20,1.5935832523695963
113,0,30870,20,1.5652237042649815
114,0,33770,20,1.413750615981329
115,0,31590,20,1.659530884356448
116,0,38190,20,1.4365715771143368
117,0,32960,20,1.5505066987124616
118,0,31940,20,1.4352032895482127
119,0,64310,20,0.4121137391966989
120,0,64200,20,0.39925886336034716
121,0,71650,20,0.358825729983759
122,0,57180,20,0.3411907003218523
123,0,59150,20,0.34496960497939383
124,0,53520,20,0.3766693001883781
125,0,67120,20,0.3292586581109767
126,0,57050,20,0.34955475503959776
127,0,70380,20,0.2826041714334097
128,0,59050,20,0.310558043321032
129,0,84980,20,0.26512846989191047
130,0,68970,20,0.2744679467409194
131,0,70360,20,0.2854160039640019
132,0,35710,20,1.4742250877666256
133,0,187160,20,inf
134,0,27260,20,1.6766959274539417
135,0,29630,20,1.3524587496013467
136,0,28660,20,1.0781216159692553
137,0,26720,20,1.0610604301007627
138,0,35110,20,2.00648333755058
139,0,39390,20,1.2606820749475849
140,0,29000,20,1.3673845075809
141,0,32610,20,1.2969252355537622
142,0,33110,20,1.2481851321102706
143,0,28390,20,1.0860684195761023
144,0,30770,20,1.0319485021699055
145,0,63420,20,inf
146,0,65700,20,inf
147,0,72920,20,inf
148,0,64760,20,inf
149,0,75480,20,inf
150,0,69940,20,inf
151,0,76650,20,inf
152,0,67790,20,inf
153,0,76820,20,inf
154,0,77000,20,inf
155,0,51940,20,0.9951515083091145
156,0,51610,20,1.2186531260082407
157,0,52000,20,1.23128069092555
158,0,47810,20,1.199890065603101
159,0,55690,20,1.1465399958039593
160,0,58590,20,1.2442283632480178
161,0,52320,20,1.200406543151882
162,0,225070,20,inf
163,0,226150,20,inf
164,0,227440,20,inf
165,0,36040,20,0.7094885808207035
166,0,35050,20,0.6851532409705792
167,0,36060,20,0.6529601645782622
168,0,33650,20,0.5919483856570538
169,0,36030,20,0.5280068938222876
170,0,39320,20,0.4963952807101354
171,0,38340,20,0.46893617404331345
172,0,28020,20,1.17029944609414
173,0,27160,20,1.2311641368933743
174,0,30700,20,1.0837036713469201
175,0,27220,20,1.138496223418176
176,0,27390,20,1.1578228237861437
177,0,40660,20,0.6761428144033299
178,0,36650,20,0.6650286839169228
179,0,39710,20,0.5739737860566269
180,0,34110,20,0.8425642550334922
181,0,197590,20,inf
182,0,47640,20,4.57370555541178
183,0,39420,20,5.284348969759628
184,0,225740,20,inf
185,0,53060,20,0.5992397208525181
186,0,52400,20,0.46663443679043826
187,0,51150,20,0.46343677972697384
188,0,50250,20,0.3713109864045314
189,0,55690,20,0.3386846443700736
190,0,74370,20,0.2368221265844731
191,0,228240,20,inf
192,0,228500,20,inf
193,0,224830,20,inf
194,0,67950,20,0.3417277472298889
195,0,66450,20,0.36690548170352333
196,0,64570,20,0.38146444742272045
197,0,51130,20,0.5728365388161997
198,0,198120,20,inf
199,0,42560,20,5.393417738171994
200,0,46530,20,5.272940482052269
201,0,44430,20,5.993460326702033
202,0,47330,20,6.328563229601312
203,0,53920,20,6.28287150204173
204,0,50610,20,5.9001500860034355
205,0,90670,20,0.24655605797732555
206,0,123690,20,0.1362806681446837
207,0,176060,20,0.03873057254912733
208,0,42170,20,0.5915986810002766
209,0,38950,20,0.512255803821265
210,0,40050,20,0.43950707148864987
211,0,51150,20,0.31308925401804427
212,0,37510,20,1.7685373947008718
213,0,32710,20,2.13780364376673
214,0,207260,20,inf
215,0,43010,20,3.362136658757549
216,0,46840,20,2.8311655362542645
217,0,33420,20,1.5662189713168166
218,0,28050,20,1.434214985593977
219,0,30510,20,1.1590974237889886
220,0,30060,20,1.2100867545055503
221,0,30730,20,1.2015923957336494
222,0,30650,20,1.2106748157852756
223,0,31400,20,1.2689784928574857
224,0,28390,20,1.2538572127080303
225,0,32760,20,1.2094710666904382
226,0,30670,20,1.2471786941670024
227,0,26930,20,1.5935392239150576
228,0,23380,20,1.5975232806257111
229,0,24200,20,1.4807759599314543
230,0,28340,20,1.3606408545928346
231,0,26220,20,1.346947587854997
232,0,32620,20,1.854923866414297
233,0,28830,20,1.9285006441175485
234,0,34320,20,2.047871982587624
235,0,37040,20,1.6879920259125165
236,0,33700,20,2.0803496946706352
237,0,28590,20,2.1050083054808044
238,0,29340,20,2.0367471989761903
239,0,33950,20,2.3013688032889905
240,0,36940,20,2.19587610281397
241,0,37170,20,2.202164820404047
242,0,37350,20,1.9738420212450423
243,0,28750,20,2.1088300552320023
244,0,31420,20,1.425811182616096
245,0,27960,20,1.470559478090133
246,0,30180,20,1.4106819942023678
247,0,188220,20,inf
248,0,45520,20,4.534936549998963
249,0,44080,20,4.482138397179636
250,0,49720,20,3.7973778715844
251,0,49730,20,3.629979394834524
252,0,45610,20,3.6434518714081268
253,0,39370,20,3.96906753640582
254,0,49260,20,2.5477467571092056
255,0,48180,20,3.614347105051744
256,0,46150,20,3.33691526134293
257,0,46750,20,3.3657455040042468
258,0,51320,20,3.4945896933800187
259,0,47320,20,3.047493361774891
260,0,26840,20,1.7345103053251092
261,0,26590,20,1.7661890610479436
262,0,33050,20,1.5442246074724348
263,0,33920,20,2.0212217210433057
264,0,228950,20,inf
265,0,38990,20,1.1204437262883382
266,0,34290,20,1.1368827492284308
267,0,42510,20,1.446103259318622
268,0,38590,20,1.9755039278166504
269,0,45510,20,0.971469952649022
270,0,62570,20,0.3687987938487715
271,0,48860,20,0.8808373075396981
272,0,47630,20,0.5779121369373325
273,0,45550,20,0.6959960847391631
274,0,63980,20,0.3146272267509111
275,0,56850,20,0.3377390212660512
276,0,59950,20,0.3085006015931136
277,0,58210,20,0.2952572825880435
278,0,54360,20,0.2928725980621682
279,0,63280,20,0.2792086706405656
280,0,60870,20,0.2577556441900447
281,0,34910,20,1.6992591833245303
282,0,30770,20,1.794701824575942
283,0,38050,20,1.4574209410187224
284,0,32200,20,1.3614229619693425
285,0,39140,20,1.360930531510189
286,0,35300,20,1.3902601437391728
287,0,45850,20,1.2257593901282173
288,0,37480,20,1.3667019405962886
289,0,46790,20,1.1623453616686117
290,0,38490,20,1.1444113817597814
291,0,35710,20,1.1894735002137748
292,0,32770,20,1.133960036665937
293,0,33020,20,1.142002379858538
294,0,40020,20,1.0859391340860474
295,0,37700,20,1.9253973292304796
296,0,32440,20,0.8768282392910893
297,0,31020,20,0.8983457007538058
298,0,19490,20,inf
299,0,18720,20,inf
300,0,19400,20,inf
301,0,20320,20,inf
302,0,19420,20,inf
303,0,18910,20,inf
304,0,17630,20,inf
305,0,19660,20,inf
306,0,21320,20,inf
307,0,21240,20,inf
308,0,19880,20,inf
309,0,20690,20,inf
310,0,20010,20,inf
311,0,18370,20,inf
312,0,19980,20,inf
313,0,21110,20,9.524175997761947
314,0,23650,20,21.67609748925702
315,0,23430,20,27.108088096379507
316,0,25250,20,11.018803982465377
317,0,192700,20,inf
318,0,21800,20,28.800435411295396
319,0,20720,20,inf
320,0,24270,20,31.80657955793363
321,0,22870,20,inf
322,0,26000,20,19.455338864382828
323,0,23830,20,inf
324,0,24070,20,inf
325,0,51370,20,1.7293136743678117
326,0,47420,20,1.8844868573793236
327,0,48460,20,1.5940153218081015
328,0,49030,20,1.4629185464796512
329,0,50960,20,1.7321839110186792
330,0,49820,20,1.3876343807500577
331,0,47350,20,1.4970480850995824
332,0,50080,20,1.538859435711955
333,0,50610,20,1.6350879956594344
334,0,50050,20,1.5958422937660002
335,0,51520,20,1.5154822210127545
336,0,50810,20,1.573340008979954
337,0,50300,20,1.3015592509487877
338,0,52130,20,1.4780892799649354
339,0,31610,20,inf
340,0,41740,20,inf
341,0,33760,20,inf
342,0,34170,20,inf
343,0,39230,20,inf
344,0,52070,20,3.514928774023895
345,0,46170,20,3.2118841431622527
346,0,51590,20,3.750462806105516
347,0,33250,20,2.4915513626382433
348,0,30500,20,2.4052551380795446
349,0,26930,20,1.8138759793496437
350,0,30740,20,1.3032410231792815
351,0,24600,20,1.3525439446957948
352,0,26330,20,1.3856164824563728
353,0,31570,20,1.233159503330506
354,0,25920,20,1.1709236320381518
355,0,27490,20,1.1038098166512365
356,0,28720,20,1.0351854737493063
357,0,21700,20,24.294178578044935
358,0,19560,20,inf
359,0,20470,20,inf
360,0,20590,20,inf
361,0,72470,20,0.40659406316305563
362,0,87970,20,0.9529792841188832
363,0,158720,20,inf
364,0,28490,20,1.3843215451546536
365,0,30470,20,1.1290893306542187
366,0,29420,20,1.1866091688028464
367,0,29980,20,1.1350151723780408
368,0,40010,20,0.7201764731880439
369,0,37830,20,0.6127436493926999
370,0,38060,20,0.5925949598334628
371,0,226070,20,inf
372,0,33090,20,1.9428696834388703
373,0,29080,20,1.8098323403366967
374,0,32930,20,1.40315644369797
375,0,39720,20,1.3514468513565638
376,0,209110,20,0.0031260900512088056
377,0,208460,20,0.0022617644423157954
378,0,67970,20,0.37756338034906956
379,0,61700,20,0.35810892439384834
380,0,53210,20,0.43777636951606735
381,0,36940,20,3.8106266977593544
382,0,40820,20,2.6955785139244406
383,0,36670,20,2.116631390155039
384,0,227020,20,inf
385,0,39130,20,0.6225211711346578
386,0,40380,20,0.5623123304583566
387,0,42680,20,0.5462218243141785
388,0,212070,20,0.003679849806803893
389,0,209060,20,0.004424395000502611
390,0,22200,20,inf
391,0,22540,20,inf
392,0,20350,20,inf
393,0,22830,20,inf
394,0,25160,20,inf
395,0,230680,20,inf
396,0,30140,20,1.3852745232704315
397,0,28860,20,1.3408333267538035
398,0,28450,20,1.4791647104363763
399,0,198880,20,inf
400,0,32710,20,1.7663312157789854
401,0,25720,20,10.679792475049654
402,0,19830,20,inf
403,0,23950,20,23.416102590713425
404,0,37420,20,0.8247957752724759
405,0,39740,20,0.7910427979005779
406,0,38870,20,0.7628312819545714
407,0,38010,20,0.7533050442457638
408,0,40530,20,0.6495445116868572
409,0,52210,20,3.127578418916752
410,0,40380,20,2.1713122844025947
411,0,32650,20,0.9863084532312157
412,0,33530,20,0.94506482130167
413,0,38680,20,0.8369926078174722
414,0,36320,20,0.7616098449528577
415,0,33240,20,0.6558118993893614
416,0,25080,20,1.2967453717261943
417,0,26500,20,1.2804196746353462
418,0,27130,20,1.2899588465673881
419,0,24210,20,1.1592538715315255
420,0,26700,20,1.181405577210682
421,0,26130,20,1.1436828389442386
422,0,23670,20,1.1089789045575997
423,0,39320,20,2.291783168601896
424,0,44260,20,3.0182011314266632
425,0,158010,20,inf
426,0,25810,20,1.7903013741326945
427,0,28600,20,1.721838483289024
428,0,26410,20,1.6593825820280137
429,0,32440,20,1.5829727922030647
430,0,33170,20,1.4888544795279697
431,0,30300,20,1.5418359650909395
432,0,29770,20,1.5599247100137719
433,0,29630,20,1.5702408001087236
434,0,27810,20,1.7389379069174073
435,0,27930,20,1.5071183363668608
436,0,28760,20,1.6915729361827057
437,0,29370,20,1.8657802744731646
438,0,34220,20,1.2239661798578754
439,0,34030,20,1.1038814756290642
440,0,25540,20,1.162166084767959
441,0,229570,20,inf
442,0,30170,20,1.0520475828367761
443,0,33740,20,0.9842637459579441
444,0,33840,20,0.8727875073760973
445,0,32670,20,0.9156430831703485
446,0,35600,20,1.7837779270916754
447,0,35780,20,1.54568151697652
448,0,33340,20,1.7378368349793532
449,0,33350,20,1.818366030097486
450,0,28890,20,1.9831944888665536
451,0,29930,20,1.751963293088838
452,0,24220,20,1.831211925202239
453,0,29970,20,1.59363206833298
454,0,30570,20,1.5810119965345586
